Grapheme	mapping	frequency
a	a	1268
i	i	829
e	e	827
ɾ	ɾ	755
l	l	647
t	t	619
m	m	562
n	n	560
s	s	472
k	k	433
ɯ	ɯ	418
ɑ	ɑ	363
d	d	362
j	j	362
u	u	348
o	o	334
b	b	308
ʃ	ʃ	299
z	z	249
ɫ	ɫ	228
c	c	216
y	y	205
ː	ː	201
ʒ	ʒ	179
p	p	153
ɛ	ɛ	153
h	h	123
ɡ	ɡ	111
v	v	98
f	f	95
t͡	t͡	87
r	r	71
d͡	d͡	68
ɟ	ɟ	54
ø	ø	41
œ	œ	29
ɔ	ɔ	22
ɰ	ɰ	21
‿	‿	20
ɪ	ɪ	20
æ	æ	16
ɣ	ɣ	14
ʊ	ʊ	11
ä	ä	9
ʌ	ʌ	8
ə	ə	8
ʔ	ʔ	8
ɨ	ɨ	6
ʲ	ʲ	6
á	á	5
β	β	5
ɾ̝̊	ɾ̝̊	5
ŋ	ŋ	4
ʏ	ʏ	4
t̪	t̪	3
d̪	d̪	3
ɑ̟	ɑ̟	2
x	x	2
ʑ	ʑ	2
ɛ́	ɛ́	2
ʐ	ʐ	1
ó	ó	1
ɯ́	ɯ́	1
ɯ̞	ɯ̞	1
ɾ̥	ɾ̥	1
ɑ́	ɑ́	1
a̟	a̟	1
ʋ	ʋ	1
ý	ý	1
ǿ	ǿ	1
ú	ú	1
ɤ	ɤ	1
z̟	z̟	1
í	í	1
ɹ	ɹ	1
ʰ	ʰ	1
ʀ	ʀ	1
ç	ç	1
w	w	1
