Grapheme	mapping	frequency
a	a	1283
i	i	830
e	e	827
ɾ	ɾ	761
t	t	709
l	l	647
m	m	562
n	n	560
s	s	472
d	d	433
k	k	433
ɯ	ɯ	420
ɑ	ɑ	366
j	j	362
u	u	349
o	o	335
b	b	308
ʃ	ʃ	299
z	z	250
ɫ	ɫ	228
c	c	217
y	y	206
ː	ː	201
ʒ	ʒ	179
͡	͡	155
ɛ	ɛ	155
p	p	153
h	h	123
ɡ	ɡ	111
v	v	98
f	f	95
r	r	71
ɟ	ɟ	54
ø	ø	42
œ	œ	29
ɔ	ɔ	22
ɰ	ɰ	21
‿	‿	20
ɪ	ɪ	20
æ	æ	16
́	́	14
ɣ	ɣ	14
ʊ	ʊ	11
̈	̈	9
ʌ	ʌ	8
ə	ə	8
ʔ	ʔ	8
̪	̪	6
ɨ	ɨ	6
ʲ	ʲ	6
β	β	5
̝	̝	5
̊	̊	5
ŋ	ŋ	4
̟	̟	4
ʏ	ʏ	4
x	x	2
ʑ	ʑ	2
ʐ	ʐ	1
̞	̞	1
̥	̥	1
ʋ	ʋ	1
ɤ	ɤ	1
ɹ	ɹ	1
ʰ	ʰ	1
ʀ	ʀ	1
̧	̧	1
w	w	1
