Grapheme	mapping	frequency
a	a	1166
e	e	821
i	i	799
ɾ	ɾ	755
l	l	639
t	t	619
m	m	561
n	n	560
s	s	472
k	k	433
ɯ	ɯ	416
j	j	362
d	d	360
ɑ	ɑ	334
o	o	332
u	u	330
b	b	308
z	z	249
ɫ	ɫ	228
c	c	215
ʃ	ʃ	212
y	y	204
p	p	153
ɛ	ɛ	152
h	h	123
ʒ	ʒ	111
ɡ	ɡ	111
aː	aː	102
v	v	98
f	f	95
t͡ʃ	t͡ʃ	87
r	r	71
d͡ʒ	d͡ʒ	68
ɟ	ɟ	54
ø	ø	39
iː	iː	30
ɑː	ɑː	29
œ	œ	29
ɔ	ɔ	21
ɰ	ɰ	21
‿	‿	20
ɪ	ɪ	20
uː	uː	18
æ	æ	16
ɣ	ɣ	14
ʊ	ʊ	11
ä	ä	8
ə	ə	8
ʔ	ʔ	8
ʌ	ʌ	7
eː	eː	6
ɨ	ɨ	6
á	á	5
β	β	5
ɾ̝̊	ɾ̝̊	5
ŋ	ŋ	4
ʏ	ʏ	4
lʲ	lʲ	4
lː	lː	4
t̪	t̪	3
d̪	d̪	3
ɑ̟	ɑ̟	2
x	x	2
ʑ	ʑ	2
dʲ	dʲ	2
oː	oː	2
ɯː	ɯː	2
ɛ́	ɛ́	2
øː	øː	2
ʐ	ʐ	1
ó	ó	1
ɯ́	ɯ́	1
ɯ̞	ɯ̞	1
ɾ̥	ɾ̥	1
äː	äː	1
ɑ́	ɑ́	1
a̟	a̟	1
ʋ	ʋ	1
ʌː	ʌː	1
ý	ý	1
ǿ	ǿ	1
ɛː	ɛː	1
ú	ú	1
ɤ	ɤ	1
z̟	z̟	1
yː	yː	1
í	í	1
ɹ	ɹ	1
cʰ	cʰ	1
ɔː	ɔː	1
ʀ	ʀ	1
ç	ç	1
mː	mː	1
w	w	1
