Grapheme	mapping	frequency
"
"	"
"	14536
 	 	12254
n	n	11208
h	h	9013
t	t	6313
g	g	5385
i	i	5192
c	c	5001
m	m	2915
u	u	2843
a	a	2483
đ	đ	1918
o	o	1810
b	b	1721
á	á	1693
p	p	1621
l	l	1567
r	r	1507
ư	ư	1297
k	k	1150
à	à	1147
s	s	1076
v	v	1001
y	y	960
ạ	ạ	938
d	d	907
ô	ô	832
â	â	811
ê	ê	773
ế	ế	763
ả	ả	724
ố	ố	704
ộ	ộ	665
ệ	ệ	608
ơ	ơ	574
í	í	571
ấ	ấ	552
x	x	534
q	q	518
ậ	ậ	509
ờ	ờ	449
ó	ó	443
ầ	ầ	438
ị	ị	437
ắ	ắ	435
ú	ú	428
ọ	ọ	417
ì	ì	403
ồ	ồ	397
ụ	ụ	388
ớ	ớ	382
ứ	ứ	370
ă	ă	352
e	e	329
ợ	ợ	323
ự	ự	315
ề	ề	311
ổ	ổ	272
ã	ã	265
ò	ò	252
ù	ù	250
ể	ể	248
ủ	ủ	236
ử	ử	217
ặ	ặ	206
é	é	206
ở	ở	198
ĩ	ĩ	198
ữ	ữ	182
ừ	ừ	182
ỏ	ỏ	174
ỉ	ỉ	157
ẩ	ẩ	146
è	è	137
ẻ	ẻ	115
ễ	ễ	114
ẹ	ẹ	108
ẫ	ẫ	105
ũ	ũ	103
ý	ý	82
ằ	ằ	80
ỡ	ỡ	80
ỗ	ỗ	77
õ	õ	55
ẳ	ẳ	47
ẽ	ẽ	32
f	f	16
ỷ	ỷ	12
ẵ	ẵ	12
ỵ	ỵ	11
ỳ	ỳ	9
ỹ	ỹ	3
'	'	2
w	w	2
z	z	1
