Grapheme	mapping	frequency
ː	ː	2006
a	a	996
i	i	785
í	í	704
n	n	632
u	u	606
ú	ú	507
l	l	482
o	o	469
s	s	433
ʰ	ʰ	415
e	e	390
m	m	372
á	á	342
ɓ	ɓ	280
t	t	248
w	w	239
ɡ	ɡ	235
ɠ	ɠ	235
z	z	230
ǃ	ǃ	215
d	d	207
î	î	197
é	é	188
k	k	178
b	b	173
p	p	152
ɬ	ɬ	138
ó	ó	127
ᵑ	ᵑ	116
â	â	114
m̩	m̩	114
ʱ	ʱ	98
ǀ	ǀ	97
ʃ	ʃ	94
ɲ	ɲ	89
û	û	84
ḿ̩	ḿ̩	82
j	j	74
v	v	64
ǁ	ǁ	64
ɮ	ɮ	63
f	f	62
ô	ô	53
ʒ	ʒ	48
ᶢ	ᶢ	46
ê	ê	42
h	h	20
ì	ì	10
ɦ	ɦ	9
x	x	5
r	r	3
ʔ	ʔ	2
ò	ò	2
ŋ	ŋ	2
à	à	2
ù	ù	2
ǔ	ǔ	2
ꜜ	ꜜ	1
ǎ	ǎ	1
ɔ̀	ɔ̀	1
