Grapheme	mapping	frequency
⁵	⁵	348121
¹	¹	227000
²	²	104522
³	³	102868
t	t	78286
⁴	⁴	76969
͡	͡	75547
⁻	⁻	70434
n	n	67155
̯	̯	56717
ɕ	ɕ	54371
a	a	53767
ʰ	ʰ	53212
ŋ	ŋ	51638
i	i	50813
ʂ	ʂ	46643
j	j	46518
ʊ	ʊ	44310
̈	̈	40797
w	w	38621
ɑ	ɑ	38034
u	u	28231
ɛ	ɛ	28215
ʈ	ʈ	26672
ɪ	ɪ	23416
p	p	23313
ɤ	ɤ	21650
s	s	21400
k	k	20906
̩	̩	19508
⁽	⁽	19248
⁾	⁾	19248
l	l	18685
ʐ	ʐ	17412
x	x	15617
o	o	14061
ə	ə	13978
e	e	13477
m	m	12551
ɔ	ɔ	11581
f	f	10065
y	y	9987
z	z	8682
ɥ	ɥ	7304
ɻ	ɻ	6251
ˀ	ˀ	5548
̥	̥	1881
d	d	1618
ʷ	ʷ	1366
̃	̃	897
æ	æ	354
ɚ	ɚ	240
b	b	182
v	v	182
ʲ	ʲ	107
g	g	102
̊	̊	102
ʑ	ʑ	90
ɖ	ɖ	81
ː	ː	57
⁰	⁰	29
̍	̍	5
