Grapheme	mapping	frequency
a	a	23954
t	t	22589
ː	ː	21588
n	n	20420
ə	ə	14928
s	s	14545
l	l	13912
ɪ	ɪ	11811
ɛ	ɛ	10763
k	k	10537
ʁ	ʁ	10359
f	f	9560
ʃ	ʃ	7778
m	m	7231
b	b	6785
i	i	6647
ɡ	ɡ	6118
p	p	6044
ç	ç	5711
ʊ	ʊ	5697
o	o	5593
ɪ̯	ɪ̯	5583
e	e	5213
d	d	5103
ɐ	ɐ	4846
v	v	4783
z	z	4747
ɔ	ɔ	4529
ɐ̯	ɐ̯	4040
ʀ	ʀ	3748
t͡	t͡	3391
h	h	3235
ŋ	ŋ	3181
n̩	n̩	2709
u	u	2606
ʊ̯	ʊ̯	2383
ʔ	ʔ	2149
y	y	1609
ʏ	ʏ	1477
r	r	1426
x	x	1314
l̩	l̩	1070
i̯	i̯	890
ø	ø	757
j	j	684
œ	œ	589
χ	χ	438
ʏ̯	ʏ̯	276
ʒ	ʒ	186
p͡	p͡	181
ŋ̩	ŋ̩	134
m̩	m̩	117
u̯	u̯	59
ʰ	ʰ	41
ã	ã	39
d͡	d͡	37
ɱ̩	ɱ̩	36
ɔ̃	ɔ̃	31
ɑ	ɑ	26
ɹ	ɹ	25
ˑ	ˑ	21
ŋ̍	ŋ̍	19
w	w	18
æ	æ	17
õ	õ	14
ɛ̃	ɛ̃	13
ɑ̃	ɑ̃	13
s̯	s̯	13
t͜	t͜	12
a̯	a̯	12
ä	ä	11
o̯	o̯	11
ɘ	ɘ	8
θ	θ	8
a͜	a͜	7
‿	‿	6
ɾ	ɾ	6
d̥	d̥	5
b̥	b̥	4
ɡ̊	ɡ̊	4
n̩̩	n̩̩	4
f̩	f̩	3
ɒ	ɒ	3
y̆	y̆	3
ə̯	ə̯	2
ʲ	ʲ	2
ɪ̆	ɪ̆	2
ɐ̯̯	ɐ̯̯	2
y̯	y̯	2
ʌ	ʌ	2
ɜ	ɜ	2
ɪ̯̯	ɪ̯̯	2
œ̃	œ̃	2
ɸ	ɸ	2
e̯	e̯	2
z̥	z̥	1
ˀ	ˀ	1
ʼ	ʼ	1
a͡	a͡	1
n̪	n̪	1
ɲ	ɲ	1
ɕ	ɕ	1
ɦ	ɦ	1
̩	̩	1
̯	̯	1
p͜	p͜	1
f̯	f̯	1
e̝	e̝	1
ʎ̞	ʎ̞	1
ʋ	ʋ	1
ɔ͜	ɔ͜	1
ɝ	ɝ	1
ü	ü	1
c	c	1
ɛ̯	ɛ̯	1
