Grapheme	mapping	frequency
a	a	22893
t	t	21841
ː	ː	20427
n	n	19380
ə	ə	14472
s	s	13710
l	l	13292
ɪ	ɪ	11392
ɛ	ɛ	10353
k	k	10129
ʁ	ʁ	9957
f	f	9332
ʃ	ʃ	7582
m	m	6872
b	b	6619
i	i	6213
ɡ	ɡ	5963
p	p	5744
ç	ç	5619
ʊ	ʊ	5516
ɪ̯	ɪ̯	5502
e	e	4918
o	o	4909
d	d	4842
ɐ	ɐ	4736
v	v	4647
z	z	4490
ɔ	ɔ	4339
ɐ̯	ɐ̯	3930
ʀ	ʀ	3599
h	h	3148
ŋ	ŋ	3110
t͡	t͡	3064
n̩	n̩	2664
u	u	2478
ʊ̯	ʊ̯	2348
ʔ	ʔ	2079
y	y	1582
ʏ	ʏ	1467
r	r	1331
x	x	1301
l̩	l̩	1062
ø	ø	725
j	j	654
œ	œ	586
χ	χ	434
ʏ̯	ʏ̯	275
p͡	p͡	174
ŋ̩	ŋ̩	133
m̩	m̩	115
u̯	u̯	54
ʰ	ʰ	41
ɱ̩	ɱ̩	35
ŋ̍	ŋ̍	19
t͜	t͜	10
ɘ	ɘ	6
ɑ	ɑ	4
ɡ̊	ɡ̊	4
ɒ	ɒ	3
õ	õ	3
d̥	d̥	3
ɛ̃	ɛ̃	2
ɐ̯̯	ɐ̯̯	2
y̯	y̯	2
a͡	a͡	1
b̥	b̥	1
p͜	p͜	1
ʋ	ʋ	1
