Grapheme	mapping	frequency
t	t	25992
a	a	24024
n	n	23134
ː	ː	21588
ɪ	ɪ	17398
l	l	14982
ə	ə	14930
s	s	14558
̯	̯	13284
ɛ	ɛ	10777
k	k	10537
ʁ	ʁ	10359
f	f	9564
ɐ	ɐ	8888
ʊ	ʊ	8080
ʃ	ʃ	7778
i	i	7537
m	m	7348
b	b	6789
p	p	6226
ɡ	ɡ	6122
c	c	5712
̧	̧	5711
o	o	5618
e	e	5216
d	d	5145
v	v	4783
z	z	4748
ɔ	ɔ	4561
̩	̩	4078
ʀ	ʀ	3748
͡	͡	3610
ŋ	ŋ	3334
h	h	3235
u	u	2666
ʔ	ʔ	2149
ʏ	ʏ	1753
y	y	1614
r	r	1426
x	x	1314
ø	ø	757
j	j	684
œ	œ	591
χ	χ	438
ʒ	ʒ	186
̃	̃	112
ʰ	ʰ	41
ɑ	ɑ	39
ɱ	ɱ	36
ɹ	ɹ	25
͜	͜	21
ˑ	ˑ	21
̍	̍	19
w	w	18
æ	æ	17
̈	̈	12
̥	̥	10
ɘ	ɘ	8
θ	θ	8
‿	‿	6
ɾ	ɾ	6
̆	̆	5
̊	̊	4
ɒ	ɒ	3
ʲ	ʲ	2
ʌ	ʌ	2
ɜ	ɜ	2
ɸ	ɸ	2
ˀ	ˀ	1
ʼ	ʼ	1
̪	̪	1
ɲ	ɲ	1
ɕ	ɕ	1
ɦ	ɦ	1
̝	̝	1
ʎ	ʎ	1
̞	̞	1
ʋ	ʋ	1
ɝ	ɝ	1
