Grapheme	mapping	frequency
ɪ	ɪ	45062
ə	ə	44181
t	t	26593
n	n	26096
s	s	23429
ɹ	ɹ	21943
l	l	21138
k	k	19788
d	d	17705
m	m	13264
p	p	11403
ɛ	ɛ	10986
ʊ	ʊ	10156
æ	æ	9518
i	i	9044
b	b	8886
a	a	8541
e	e	7902
z	z	7243
f	f	7199
iː	iː	6843
ɒ	ɒ	6839
ʃ	ʃ	6290
ɡ	ɡ	5680
ʌ	ʌ	5197
v	v	4742
uː	uː	4502
j	j	4063
ŋ	ŋ	3992
ɑː	ɑː	3729
w	w	3454
ʒ	ʒ	3196
ɔː	ɔː	3151
h	h	3102
θ	θ	1828
ɜː	ɜː	1798
o	o	1139
ɔ	ɔ	995
d͡ʒ	d͡ʒ	836
u	u	685
ɑ	ɑ	657
t͡ʃ	t͡ʃ	555
l̩	l̩	482
ð	ð	443
r	r	427
n̩	n̩	307
ɚ	ɚ	266
əː	əː	237
ɛː	ɛː	169
ɪ̯	ɪ̯	124
ɫ	ɫ	109
ʍ	ʍ	98
ɜ	ɜ	89
m̩	m̩	72
ɝ	ɝ	70
ʊ̯	ʊ̯	67
aː	aː	31
ʔ	ʔ	23
ɪː	ɪː	22
oː	oː	15
eː	eː	14
æː	æː	12
ɝː	ɝː	7
