Grapheme	mapping	frequency
ɪ	ɪ	45580
ə	ə	44878
t	t	27503
n	n	26798
s	s	23755
ɹ	ɹ	22212
l	l	21857
ː	ː	20793
k	k	20014
d	d	18719
i	i	16082
m	m	13510
p	p	11526
ɛ	ɛ	11333
ʊ	ʊ	10343
æ	æ	9638
b	b	9009
a	a	8688
e	e	8019
z	z	7335
f	f	7274
ɒ	ɒ	6951
ʃ	ʃ	6925
ɡ	ɡ	5744
u	u	5258
ʌ	ʌ	5257
v	v	4800
ɑ	ɑ	4494
ɔ	ɔ	4190
j	j	4123
ʒ	ʒ	4079
ŋ	ŋ	4022
w	w	3499
h	h	3139
ɜ	ɜ	1897
θ	θ	1850
͡	͡	1431
o	o	1206
̩	̩	887
ð	ð	444
r	r	442
ɚ	ɚ	274
ɨ	ɨ	238
̯	̯	233
ɫ	ɫ	110
ʍ	ʍ	98
̃	̃	94
x	x	90
ɝ	ɝ	84
̆	̆	52
ɵ	ɵ	34
ɘ	ɘ	29
ʔ	ʔ	26
ʰ	ʰ	22
ɐ	ɐ	19
χ	χ	14
y	y	13
ʁ	ʁ	12
̈	̈	11
ʉ	ʉ	11
ɾ	ɾ	10
ˑ	ˑ	9
c	c	9
̧	̧	7
ʲ	ʲ	6
ʈ	ʈ	5
̄	̄	5
ø	ø	5
ʀ	ʀ	4
ᵊ	ᵊ	4
ɲ	ɲ	4
̪	̪	3
ɕ	ɕ	3
ɖ	ɖ	3
̂	̂	3
̬	̬	3
ɬ	ɬ	3
̞	̞	3
ɱ	ɱ	3
↓	↓	2
̚	̚	2
̝	̝	2
ɽ	ɽ	2
,	,	2
ʏ	ʏ	1
ˡ	ˡ	1
ʙ	ʙ	1
ɻ	ɻ	1
ˀ	ˀ	1
̥	̥	1
œ	œ	1
ɦ	ɦ	1
ʳ	ʳ	1
̙	̙	1
ɭ	ɭ	1
ʷ	ʷ	1
ɯ	ɯ	1
́	́	1
ɣ	ɣ	1
q	q	1
~	~	1
˞	˞	1
