Grapheme	mapping	frequency
"
"	"
"	58071
e	e	47202
a	a	40922
i	i	36527
n	n	29541
r	r	29539
o	o	29137
t	t	28528
s	s	27223
l	l	23097
c	c	19499
u	u	15826
d	d	13981
m	m	13082
h	h	12671
p	p	12635
g	g	11464
b	b	9746
y	y	8573
f	f	5845
v	v	4515
k	k	4456
w	w	3914
z	z	1954
x	x	1531
j	j	1178
q	q	978
'	'	344
é	é	124
è	è	25
ü	ü	24
ö	ö	22
ç	ç	18
ñ	ñ	17
ë	ë	15
á	á	14
ä	ä	13
æ	æ	12
ó	ó	10
ê	ê	10
í	í	8
œ	œ	7
â	â	7
ô	ô	7
ú	ú	4
ï	ï	4
č	č	3
ı	ı	3
ø	ø	3
ṭ	ṭ	2
ʼ	ʼ	2
ū	ū	2
ń	ń	2
ő	ő	2
à	à	2
ā	ā	2
ù	ù	2
õ	õ	2
å	å	2
ð	ð	2
ǃ	ǃ	2
ț	ț	1
ř	ř	1
ą	ą	1
ğ	ğ	1
î	î	1
ō	ō	1
ē	ē	1
ș	ș	1
ł	ł	1
ę	ę	1
