Grapheme	mapping	frequency
ɪ	ɪ	39653
ə	ə	35696
t	t	25486
n	n	25179
ɹ	ɹ	22798
s	s	22531
l	l	20717
k	k	18632
d	d	16315
i	i	15659
m	m	12668
ː	ː	11620
æ	æ	11023
ɛ	ɛ	10731
p	p	10721
ʊ	ʊ	9762
b	b	9346
ɑ	ɑ	7655
e	e	7536
a	a	7421
z	z	6975
f	f	6669
ʃ	ʃ	6437
o	o	5640
ɡ	ɡ	5420
u	u	5032
v	v	4544
ɔ	ɔ	4512
ʌ	ʌ	4306
ʒ	ʒ	3862
ŋ	ŋ	3761
ɚ	ɚ	3592
j	j	3472
w	w	3345
h	h	3008
ɒ	ɒ	2405
θ	θ	1792
͡	͡	1463
ɝ	ɝ	1318
̩	̩	1113
ɜ	ɜ	657
r	r	470
ð	ð	419
ɨ	ɨ	282
̯	̯	227
ʍ	ʍ	105
ɾ	ɾ	96
x	x	74
̃	̃	68
ɫ	ɫ	61
̈	̈	44
ɵ	ɵ	41
ʔ	ʔ	28
ʰ	ʰ	24
ɘ	ɘ	20
̆	̆	18
̬	̬	18
χ	χ	15
˞	˞	13
ɐ	ɐ	12
ʁ	ʁ	10
y	y	10
ʉ	ʉ	10
ᵊ	ᵊ	8
c	c	6
ʲ	ʲ	6
̪	̪	5
ʈ	ʈ	5
̄	̄	5
ˑ	ˑ	4
̧	̧	4
ɕ	ɕ	3
ɻ	ɻ	3
ɲ	ɲ	3
ɖ	ɖ	3
ʷ	ʷ	3
̂	̂	3
ɬ	ɬ	3
,	,	3
ɱ	ɱ	3
ʏ	ʏ	2
↓	↓	2
ɽ	ɽ	2
̞	̞	2
q	q	2
ˡ	ˡ	1
ʀ	ʀ	1
ʙ	ʙ	1
̚	̚	1
ˀ	ˀ	1
̝	̝	1
œ	œ	1
ø	ø	1
ɦ	ɦ	1
ʳ	ʳ	1
ɭ	ɭ	1
ɯ	ɯ	1
́	́	1
̥	̥	1
ɣ	ɣ	1
~	~	1
