Grapheme	mapping	frequency
ɪ	ɪ	760
ə	ə	569
t	t	535
n	n	503
k	k	442
ʰ	ʰ	428
s	s	400
ɹ	ɹ	400
ɾ	ɾ	394
i	i	309
d	d	291
l	l	281
p	p	269
m	m	249
ɑ	ɑ	238
ɫ	ɫ	235
ː	ː	231
ɛ	ɛ	225
æ	æ	220
ɚ	ɚ	216
ʊ	ʊ	214
b	b	205
e	e	198
̯	̯	194
̩	̩	165
a	a	162
f	f	153
o	o	141
ʌ	ʌ	133
ʃ	ʃ	120
ʔ	ʔ	114
w	w	114
u	u	97
ŋ	ŋ	97
ɡ	ɡ	92
̥	̥	89
j	j	89
ɔ	ɔ	85
z	z	82
̃	̃	82
̠	̠	77
̈	̈	74
v	v	71
h	h	67
θ	θ	58
̚	̚	53
͡	͡	53
ʒ	ʒ	50
ɨ	ɨ	48
ɝ	ɝ	43
ɐ	ɐ	36
ʷ	ʷ	31
̊	̊	28
ɒ	ɒ	27
̪	̪	25
ɱ	ɱ	22
ɜ	ɜ	16
̟	̟	16
˞	˞	14
c	c	12
̧	̧	12
ˀ	ˀ	11
ʉ	ʉ	11
̆	̆	10
x	x	9
˔	˔	8
ᵊ	ᵊ	6
ɻ	ɻ	6
̝	̝	6
ɵ	ɵ	6
r	r	5
̞	̞	5
̰	̰	5
ʲ	ʲ	5
ˑ	ˑ	5
ɯ	ɯ	4
̬	̬	4
χ	χ	4
⁓	⁓	3
ð	ð	3
̹	̹	3
ɘ	ɘ	3
ɦ	ɦ	3
ʍ	ʍ	3
~	~	2
ɽ	ɽ	2
˦	˦	2
˨	˨	2
ʁ	ʁ	2
ø	ø	2
ʼ	ʼ	2
ɸ	ɸ	2
ˠ	ˠ	2
ǀ	ǀ	2
y	y	2
ɖ	ɖ	1
ʏ	ʏ	1
ˡ	ˡ	1
̙	̙	1
ˤ	ˤ	1
ɕ	ɕ	1
ʟ	ʟ	1
q	q	1
̍	̍	1
˥	˥	1
˩	˩	1
ʱ	ʱ	1
᷈	᷈	1
ⁿ	ⁿ	1
