Grapheme	mapping	frequency
ɑ	ɑ	76043
i	i	63679
t̪	t̪	56457
e̞	e̞	50176
s̠	s̠	49928
ː	ː	48889
k	k	43462
n	n	42151
l	l	38905
u	u	37261
o̞	o̞	35061
r	r	27861
m	m	24535
æ	æ	20648
i̯	i̯	19773
p	p	18698
ʋ	ʋ	17124
y	y	12600
ʔ	ʔ	11372
h	h	10444
j	j	8691
n̪	n̪	5157
d	d	4938
u̯	u̯	4402
ø̞	ø̞	3851
o̞̯	o̞̯	3499
ŋ	ŋ	3045
ɦ	ɦ	2995
e̞̯	e̞̯	2482
x	x	2133
ɡ	ɡ	1736
ø̞̯	ø̞̯	1303
ç	ç	1272
t	t	1259
f	f	1214
b	b	1158
y̯	y̯	1109
k̚	k̚	332
t̪̚	t̪̚	259
p̚	p̚	217
ʃ	ʃ	154
w	w	40
ʒ	ʒ	20
z	z	15
b̚	b̚	4
ɡ̚	ɡ̚	3
ɤ	ɤ	2
c	c	1
d̚	d̚	1
ʙ	ʙ	1
