Grapheme	mapping	frequency
ɑ	ɑ	68706
i	i	59178
t̪	t̪	49906
e̞	e̞	48656
s̠	s̠	48548
n	n	39690
k	k	37792
l	l	34446
o̞	o̞	34352
u	u	32337
r	r	27168
m	m	23482
i̯	i̯	19760
æ	æ	17652
ʋ	ʋ	16928
p	p	16691
ʔ	ʔ	11372
y	y	11098
h	h	10442
j	j	8460
ɑː	ɑː	7337
t̪ː	t̪ː	6551
kː	kː	5670
n̪	n̪	5157
d	d	4926
uː	uː	4924
iː	iː	4501
lː	lː	4459
u̯	u̯	4402
ø̞	ø̞	3752
o̞̯	o̞̯	3499
æː	æː	2996
ɦ	ɦ	2995
ŋ	ŋ	2593
e̞̯	e̞̯	2478
nː	nː	2461
x	x	2133
pː	pː	2007
ɡ	ɡ	1715
e̞ː	e̞ː	1520
yː	yː	1502
s̠ː	s̠ː	1380
ø̞̯	ø̞̯	1303
ç	ç	1272
t	t	1259
b	b	1147
f	f	1133
y̯	y̯	1109
mː	mː	1053
o̞ː	o̞ː	709
rː	rː	693
ŋː	ŋː	452
k̚	k̚	332
t̪̚	t̪̚	259
jː	jː	231
p̚	p̚	217
ʋː	ʋː	196
ʃ	ʃ	151
ø̞ː	ø̞ː	99
fː	fː	81
w	w	40
ɡː	ɡː	21
ʒ	ʒ	20
z	z	15
i̯ː	i̯ː	13
dː	dː	12
bː	bː	11
e̞̯ː	e̞̯ː	4
b̚	b̚	4
ɡ̚	ɡ̚	3
ʃː	ʃː	3
hː	hː	2
ɤ	ɤ	2
c	c	1
d̚	d̚	1
ʙː	ʙː	1
