iso639_3;data_type;text_type;transcription_type;tokens;resource_setting;transcription_convention;path-pdf;path-ortho;path-transcription;link;last_accessed;availability;language_variety;language_name;100LC;script;notes_on_source;notes;;;;;;;;
aar;text file;word list;Broad;715;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Afar;false;Latin;;;;;;;;;;
abk;text file;full text;unk;20;low;;;;;https://en.wikipedia.org/wiki/Abkhaz_language;15.07.2021;0;;Abkhazian;true;;;;;;;;;;;
abk;online;full text, word list;unk;300’000;high;scientific transliteration;;;;https://clarino.uib.no/abnc/page?page-id=palag-main-page;14.07.2021;0;;Abkhazian;true;;;;;;;;;;;
acw;text file;word list;Broad;1’090;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Hijazi Arabic;false;Arabic;;;;;;;;;;
acw;text file;word list;Narrow;167;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Hijazi Arabic;false;Arabic;;;;;;;;;;
ady;text file;word list;Narrow;5’123;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;"Adygei; Adyghe";false;Cyrillic;;;;;;;;;;
ady;text file;word list;Narrow;4’895;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;"Adygei; Adyghe";false;Cyrillic;;;;;;;;;;
aey;pdf;full text;unk;109;low;IPA;other_data/amele.pdf;other_data/aey-orthographic.txt;other_data/aey.txt;https://www.sil.org/resources/archives/42321;;0;;Amele;true;Latin;;;;;;;;;;
afb;text file;word list;Broad;528;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Gulf Arabic;false;Arabic;;;;;;;;;;
afr;text file;word list;Broad;1’685;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Afrikaans;false;Latin;;;;;;;;;;
afr;image;full text (the north wind and the sun);;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;;Afrikaans;false;;;;;;;;;;;
afr;text file;word list;Broad;1’659;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Afrikaans;false;Latin;;;;;;;;;;
afr;text file;full text (the north wind and the sun);Broad;;;IPA;;theNorthWindAndTheSun/afr-orthographic.txt;theNorthWindAndTheSun/afr-broad.txt;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/afrikaans/2A6D5AC1AE493D1CCE3C1EFF6E0FEE77#article;11.08.2021;1;;Afrikaans;false;;;;;;;;;;;
afr;text file;full text (the north wind and the sun);Narrow;;;IPA;;theNorthWindAndTheSun/afr-orthographic.txt;theNorthWindAndTheSun/afr-narrow.txt;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/afrikaans/2A6D5AC1AE493D1CCE3C1EFF6E0FEE77#article;11.08.2021;1;;Afrikaans;false;;;;;;;;;;;
afr;text file;word list;Narrow;121;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Afrikaans;false;Latin;;;;;;;;;;
ajp;text file;word list;Broad;155;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;South Levantine Arabic;false;Arabic;;;;;;;;;;
akk;text file;word list;Broad;199;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;19.10.2021;0;;Akkadian;false;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
amp;pdf;full text;unk;;;IPA;alamblak.pdf;;;;;;;Alamblak;true;;;;;;;;;;;
ale;text file;word list;Broad;104;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Aleut;false;Latin;;;;;;;;;;
ang;text file;word list;Broad;8’854;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Old English (ca. 450-1100);false;Latin;;;;;;;;;;
ang;text file;word list;Narrow;4’341;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Old English (ca. 450-1100);false;Latin;;;;;;;;;;
aot;text file;word list;Broad;140;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Atong (India);false;Latin;;;;;;;;;;
ape;;;;;;;;;;;;;;Bukiyip;true;;;;;;;;;;;
apu;;;;;;;;;;;;;;Apurinã;true;;;;;;;;;;;
apw;text file;word list;Narrow;158;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Western Apache;false;Latin;;;;;;;;;;
ara;text file;word list;Broad;7’279;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Arabic;false;Arabic;;;;;;;;;;
arc;text file;word list;Broad;1’156;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;"Imperial Aramaic (700-300 BCE); Official Aramaic (700-300 BCE)";false;Hebrew;;;;;;;;;;
ary;text file;word list;Broad;1’309;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Moroccan Arabic;false;Arabic;;;;;;;;;;
arn;pdf;full text (the north wind and the sun);broad;79;low;IPA;theNorthWindAndTheSun/mapudungun.pdf;theNorthWindAndTheSun/arn-orthographic.txt;theNorthWindAndTheSun/arn-broad.txt;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/mapudungun/344B2E4440607BD0B521E8DECF98BAFF;11.08.2021;1;;Mapudungun;true;;;;;;;;;;;
arn;pdf;full text (the north wind and the sun);narrow;79;low;IPA;theNorthWindAndTheSun/mapudungun.pdf;theNorthWindAndTheSun/arn-orthographic.txt;theNorthWindAndTheSun/arn-narrow.txt;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/mapudungun/344B2E4440607BD0B521E8DECF98BAFF;11.08.2021;1;;Mapudungun;true;;;;;;;;;;;
arz;text file;word list;Broad;113;low;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Egyptian Arabic;true;Arabic;WikiPron Data, mined from Wiktionary;;;;;;;;;
arz;pdf;full text (the north wind and the sun);unk;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;spoken Cairene;Egyptian Arabic;true;;;;;;;;;;;
asm;text file;word list;Broad;2’350;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Assamese;false;Bengali;;;;;;;;;;
ast;text file;word list;Narrow;133;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Asturian;false;Latin;;;;;;;;;;
ayl;text file;word list;Broad;157;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Libyan Arabic;false;Arabic;;;;;;;;;;
aze;text file;word list;Broad;259;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Azerbaijani;false;Latin;;;;;;;;;;
ayz;;;;;;;;;;;;;;Maybrat-Karon;true;;;;;;;;;;;
aze;text file;word list;Narrow;2’821;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Azerbaijani;false;Latin;;;;;;;;;;
aze;text file;word list;Narrow;2’635;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Azerbaijani;false;Latin;;;;;;;;;;
bak;text file;word list;Broad;108;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bashkir;false;Cyrillic;;;;;;;;;;
bak;text file;word list;Narrow;2’049;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bashkir;false;Cyrillic;;;;;;;;;;
ban;text file;word list;Broad;186;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Balinese;false;Balinese;;;;;;;;;;
bcl;text file;word list;Broad;100;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Central Bikol;false;Latin;;;;;;;;;;
bdq;text file;word list;Broad;161;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bahnar;false;Latin;;;;;;;;;;
ben;image;full text (the north wind and the sun);;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Calcutta colloquial;Bengali;false;;;;;;;;;;;
bel;text file;word list;Narrow;3’203;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Belarusian;false;Cyrillic;;;;;;;;;;
ben;text file;word list;Broad;792;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bengali;false;Bengali;;;;;;;;;;
ben;text file;word list;Narrow;168;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bengali;false;Bengali;;;;;;;;;;
