㐁	tʰ j ɛ n
㐆	i n
㐌	i
㐖	ɕ j ɛ
㐖毒	ɕ j ɛ t u
㐨	ɕ y
㐩	ɕ i ŋ
㐭	l i n
㐱	ʈ ʂ ə n
㐲	t a ɪ̯
㐸	t ɕʰ j ɛ n
㐻	n e ɪ̯
㐼	ʈ ʂʰ ɤ ŋ
㑁	ʈ ʂ w ɔ
㑂	pʰ ɑ ŋ
㑃	ˀɑ ʊ̯
㑉	s u
㑊	i
㑋	t ɕʰ j ʊ ŋ
㑌	kʰ w ɑ ŋ
㑍	l e ɪ̯
㑎	n ɑ ʊ̯
㑐	ʂ u
㑓	t ɕ y n
㑗	ʂ ə n
㑙	t j ɛ
㑚	n w ɔ
㑛	s u
㑜	i
㑝	l ʊ ŋ
㑟	p ɤ ŋ
㑣	l ä n
㑥	i
㑦	l i
㑧	t ɕ i
㑨	y
㑮	x w ə n
㑯	ɕ y
㑰	x w e ɪ̯
㑱	ʐ ɑ ʊ̯
㑳	ʈ ʂ u
㑵	x ä n
㑶	ɕ i
㑸	j ɑ ʊ̯
㑻	m ä
㑼	l ɥ ɛ
㑾	ɕ j ɑ ʊ̯
㑿	ʈ ʂ ɑ ʊ̯
㒀	ʈ ʂ ä
㒁	y
㒂	ʈ ʂ w ɔ
㒃	ˀɤ ɻ
㒄	ʐ ä n
㒅	t ɕʰ i
㒆	ʈ ʂʰ ʐ̩
㒇	u
㒈	x ä n
㒊	s ɤ
㒍	l e ɪ̯
㒎	s ä
㒐	ɕ y n
㒑	x w e ɪ̯
㒓	tʰ ä
㒔	ʂ u
㒕	j ɑ ŋ
㒙	m j ɛ n
㒚	w ə n
㒛	t j ɑ ʊ̯
㒜	y
㒝	w ä
㒞	t ɕ y n
㒟	n j ɑ ʊ̯
㒠	ɕ j ɛ
㒡	j o ʊ̯
㒤	ʈ ʂʰ ɤ
㒥	f ɤ ŋ
㒦	l e ɪ̯
㒧	l i
㒬	w ɑ ŋ
㒴	k u
㒸	s w e ɪ̯
㒼	m ä n
㒽	t ɕʰ ɥ ɛ n
