ँ	ə̃
ं	ə̃ ɳ
अँकवैया	ə̃ ŋ k w ə̯ i j äː
अँगड़ाई	ə̃ ŋ ɡ ɽ äː iː
अँगरेज़	ə̃ ŋ ɡ ɾ eː z
अँगरेज़ी	ə̃ ŋ ɡ ɾ eː z iː
अँगहीन	ə̃ ŋ ɡʱ ĩː n̪
अँगिया	ə̃ ŋ ɡ i j äː
अँगीठी	ə̃ ŋ ɡ iː ʈʰ iː
अँगूठी	ə̃ ŋ ɡ uː ʈʰ iː
अँग्रेज़	ə̃ ŋ ɡ ɾ eː z
अँग्रेज़ी	ə̃ ŋ ɡ ɾ eː z iː
अँटना	ə̃ ɳ ʈ n̪ äː
अँतड़ी	ə̃ n̪ t̪ ɽ iː
अंक	ə̃ ŋ k
अंकगणित	ə̃ ŋ k ɡ ə ɳ ɪ t̪
अंकन	ə̃ ŋ k ə̃ n̪
अंकनी	ə̃ ŋ k n̪ iː
अंकल	ə̃ ŋ k ə l̪
अंकारा	ə̃ ŋ k äː ɾ äː
अंकित	ə̃ ŋ k ɪ t̪
अंकुर	ə̃ ŋ k ʊ ɾ
अंकुरित	ə̃ ŋ k ʊ ɾ ɪ t̪
अंकुश	ə̃ ŋ k ʊ ʃ
अंग	ə̃ ŋ ɡ
अंगच्छेद	ə̃ ŋ ɡ ə t̚ t ʃʰ eː d̪
अंगड़ाई	ə̃ ŋ ɡ ɽ äː iː
अंगदान	ə̃ ŋ ɡ d̪ ä̃ː n̪
अंगन	ə̃ ŋ ɡ ə̃ n̪
अंगना	ə̃ ŋ ɡ ə n̪ äː
अंगसंग	ə̃ ŋ ɡ s̪ ə̃ ŋ ɡ
अंगहीन	ə̃ ŋ ɡʱ ĩː n̪
अंगार	ə̃ ŋ ɡ äː ɾ
अंगारा	ə̃ ŋ ɡ äː ɾ äː
अंगिया	ə̃ ŋ ɡ i j äː
अंगीकार	ə̃ ŋ ɡ iː k äː ɾ
अंगुल	ə̃ ŋ ɡ ʊ l̪
अंगुली	ə̃ ŋ ɡ ʊ l̪ iː
अंगूठा	ə̃ ŋ ɡ uː ʈʰ äː
अंगूठी	ə̃ ŋ ɡ uː ʈʰ iː
अंगूर	ə̃ ŋ ɡ uː ɾ
अंगूरी	ə̃ ŋ ɡ uː ɾ iː
अंगोछा	ə̃ ŋ ɡ oː t ʃʰ äː
अंगोट	ə̃ ŋ ɡ oː ʈ
अंगोला	ə̃ ŋ ɡ oː l̪ äː
अंग्रेज	ə̃ ŋ ɡ ɾ eː z
अंग्रेज़	ə̃ ŋ ɡ ɾ eː z
अंग्रेज़ियत	ə̃ ŋ ɡ ɾ eː z i j ə t̪
अंग्रेज़ी	ə̃ ŋ ɡ ɾ eː z iː
अंग्रेजी	ə̃ ŋ ɡ ɾ eː z iː
अंचल	ə̃ n̪ t ʃ ə l̪
अंछर	ə̃ n̪ t ʃʰ ə ɾ
अंजन	ə̃ n̪ d ʒ ə̃ n̪
अंजाम	ə̃ n̪ d ʒ ä̃ː m
अंजीर	ə̃ n̪ d ʒ iː ɾ
अंजु	ə̃ n̪ d ʒ uː
अंटार्कटिका	ə̃ ɳ ʈ äː ɾ k ʈ ɪ k äː
अंटार्टिका	ə̃ ɳ ʈ äː ɾ ʈ ɪ k äː
अंडकोष	ə̃ ɳ ɖ k oː ʃ
अंडमान	ə̃ ɳ ɖ m ä̃ː n̪
अंडा	ə̃ ɳ ɖ äː
अंडोरा	ə̃ ɳ ɖ oː ɾ äː
अंत	ə̃ n̪ t̪
अंतःक्षेप	ə̃ n̪ t̪ ə ɦ k ʃ eː p
अंतड़ी	ə̃ n̪ t̪ ɽ iː
अंतर	ə̃ n̪ t̪ ə ɾ
अंतरंगता	ə̃ n̪ t̪ ə ɾ ə̃ ŋ ɡ t̪ äː
अंतरजाल	ə̃ n̪ t̪ ə ɾ d ʒ äː l̪
अंतरण	ə̃ n̪ t̪ ɾ ə̃ ɳ
अंतरराष्ट्रीय	ə̃ n̪ t̪ ə ɾ ɾ äː ʃ ʈ ɾ iː j
अंतरराष्ट्रीयता	ə̃ n̪ t̪ ə ɾ ɾ äː ʃ ʈ ɾ iː j t̪ äː
अंतरा	ə̃ n̪ t̪ ɾ äː
अंतराल	ə̃ n̪ t̪ ə ɾ äː l̪
अंतरिक्ष	ə̃ n̪ t̪ ɾ ɪ k ʃ
अंतरिम	ə̃ n̪ t̪ ɾ ɪ̃ m
अंतर्कालीन	ə̃ n̪ t̪ ə ɾ k äː l̪ ĩː n̪
अंतर्गत	ə̃ n̪ t̪ ə ɾ ɡ ə t̪
अंतर्जातीय	ə̃ n̪ t̪ ə ɾ d ʒ äː t̪ iː j
अंतर्जाल	ə̃ n̪ t̪ ə ɾ d ʒ äː l̪
अंतर्देशीय	ə̃ n̪ t̪ ə ɾ d̪ eː ʃ iː j
अंतर्धान	ə̃ n̪ t̪ ə ɾ d̪ʱ ä̃ː n̪
