a_còng	ʔ aː k a w ŋ m
a_di_đà_phật	ʔ aː z i ʔ ɗ aː f ə t̚ ʔ
a_dua	ʔ aː z u ə
a_hoàn	ʔ aː h w aː n
a_lịch_sơn	ʔ aː l ï k̟̚ ʔ s əː n
a_lịch_sơn_đắc_lộ	ʔ aː l ï k̟̚ ʔ s əː n ʔ ɗ a k̚ l o ʔ
a_móc	ʔ aː m a w k p̚
a_phiến	ʔ aː f i ə n
a_phú_hãn	ʔ aː f u h aː nˀ
a_tu_la	ʔ aː t u l aː
ace	ʔ a j ŋ̟ t ɕ i ʔ ʔ ɛ m
actini	ʔ aː k̚ t i n i
adn	ʔ aː ʔ ɗ e ʔ ɛ n
agon	ʔ aː ɣ ə w ŋ m
ai	ʔ aː j
ai_ai	ʔ aː j ʔ aː j
ai_cập	ʔ aː j k ə p̚ ʔ
ai_dè	ʔ aː j z ɛ
ai_lao	ʔ aː j l aː w
ai_nấy	ʔ aː j n ə j
alexanđê	ʔ aː l ɛ k̚ s aː n ʔ ɗ e
am	ʔ aː m
am_hiểu	ʔ aː m h i ə w
am_tường	ʔ aː m t ɨ ə ŋ
ambrôsiô	ʔ aː m ʔ ɓ ɹ o s i ʔ o
amerixi	ʔ aː m e ɹ i s i
amoni	ʔ aː m o n i
an	ʔ aː n
an_bài	ʔ aː n ʔ ɓ aː j
an_giang	ʔ aː n z aː ŋ
an_huy	ʔ aː n h w i
an_khang_thịnh_vượng	ʔ aː n x aː ŋ tʰ ï ŋ ʔ v ɨ ə ŋ ʔ
an_lành	ʔ aː n l a j ŋ̟
an_lê_mân	ʔ aː n l e m ə n
an_lạc	ʔ aː n l aː k̚ ʔ
an_nam	ʔ aː n n aː m
an_nhiên	ʔ aː n ɲ i ə n
an_nhàn	ʔ aː n ɲ aː n
an_ninh	ʔ aː n n ï ŋ
an_phong	ʔ aː n f a w ŋ m
an_phận	ʔ aː n f ə n ʔ
an_sinh	ʔ aː n s ï ŋ
an_toàn	ʔ aː n t w aː n
an_toàn_là_trên_hết	ʔ aː n t w aː n l aː t ɕ e n h e t̚
an_toàn_đệ_nhất	ʔ aː n t w aː n ʔ ɗ e ʔ ɲ ə t̚
an_toạ	ʔ aː n t w aː ʔ
an_trú	ʔ aː n t ɕ u
an_táng	ʔ aː n t aː ŋ
an_tâm	ʔ aː n t ə m
an_tôn	ʔ aː n t o n
an_tử	ʔ aː n t ɨ
an_ủi	ʔ aː n ʔ u j
ancol	ʔ aː n k o n
ang	ʔ aː ŋ
anh	ʔ a j ŋ̟
anh_chàng	ʔ a j ŋ̟ t ɕ aː ŋ
anh_chị_em	ʔ a j ŋ̟ t ɕ i ʔ ʔ ɛ m
anh_chồng	ʔ a j ŋ̟ t ɕ ə w ŋ m
anh_cát_lợi	ʔ a j ŋ̟ k aː t̚ l əː j ʔ
anh_cả	ʔ a j ŋ̟ k aː
anh_em	ʔ a j ŋ̟ ʔ ɛ m
anh_hai	ʔ a j ŋ̟ h aː j
anh_hùng	ʔ a j ŋ̟ h ʊ w ŋ m
anh_hùng_bàn_phím	ʔ a j ŋ̟ h ʊ w ŋ m ʔ ɓ aː n f i m
anh_hùng_rơm	ʔ a j ŋ̟ h ʊ w ŋ m z əː m
anh_ngữ	ʔ a j ŋ̟ ŋ ɨˀ
anh_quốc	ʔ a j ŋ̟ k u ə k̚
anh_rể	ʔ a j ŋ̟ z e
anh_trai	ʔ a j ŋ̟ t ɕ aː j
anh_vợ	ʔ a j ŋ̟ v əː ʔ
anh_yêu_em	ʔ a j ŋ̟ ʔ i ə w ʔ ɛ m
anh_đào	ʔ a j ŋ̟ ʔ ɗ aː w
anh_ấy	ʔ a j ŋ̟ ʔ ə j
anphongsô	ʔ aː n f a w ŋ m s o
anphonsô	ʔ aː n f ɔ n s o
anrê	ʔ aː n z e
antimon	ʔ aː n t i m ɔ n
antôn	ʔ aː n t o n
anê	ʔ aː n n e
ao	ʔ aː w
