'n	ə AK n
'ne	n ə AK
'nem	n ə AK m
'nen	n ə AK n
'ner	n ɐ BE
'türlich	t yː AH ɐ̯ l ɪ AK ç
a	ʔ aː AD
aa	aː AD
aachen	aː AD x ə AK n
aachener	aː AD x ə AK n ɐ BE
aachenerin	aː AD x ə AK n ə AK ʁ ɪ AK n
aad	aː AD ʔ aː AD d eː AF
aake	aː AD k ə AK
aakerbeere	aː AD k ɐ BE b eː AF ʁ ə AK
aal	aː AD l
aalartig	aː AD l ʔ aː AD ɐ̯ t ɪ AK ç
aalauge	aː AD l a AC ʊ̯ BC ɡ ə AK
aale	ʔ aː AD l ə AK
aalen	aː AD l ə AK n
aales	ʔ aː AD l ə AK s
aalfang	ɑː AD l f a AC ŋ k
aalfell	aː AD l f ɛ AK l
aalfett	aː AD l f ɛ AK t
aalfischer	aː AD l f ɪ AK ʃ ɐ BE
aalförmig	aː AD l f œ AI ʁ m ɪ AK ç
aalglatt	aː AD l ɡ l a AC t
aalgleich	aː AD l ɡ l a AC ɪ̯ BB ç
aalhaut	aː AD l h AA a AC ʊ̯ BC t
aalkorb	aː AD l k ɔ AI ʁ p
aalleiter	aː AD l l a AC ɪ̯ BB t ɐ BE
aalmolch	aː AD l m ɔ AI l ç
aalmutter	aː AD l m ʊ AI t ɐ BE
aalmuttern	aː AD l m ʊ AI t ɐ BE n
aalquappe	aː AD l k v a AC p ə AK
aalraupe	aː AD l ʁ a AC ʊ̯ BC p ə AK
aalreuse	aː AD l ʁ ɔ AI ɪ̯ BB z ə AK
aalräucherei	aː AD l ʁ ɔ AI ɪ̯ BB ç ə AK ʁ a AC ɪ̯ BB
aals	ʔ aː AD l s
aalspeer	aː AD l ʃ p eː AF ɐ̯
aalstechen	aː AD l ʃ t ɛ AK ç n̩
aalstrich	aː AD l ʃ t ʁ ɪ AK ç
aalsuppe	aː AD l z ʊ AI p ə AK
aaltierchen	aː AD l t iː AF ɐ̯ ç ə AK n
aalähnlich	aː AD l ɛː AM n l ɪ AK ç
aar	aː AD ɐ̯
aargau	aː AD ɐ̯ ɡ a AC ʊ̯ BC
aargauer	aː AD ɐ̯ ɡ a AC ʊ̯ BC ɐ BE
aaron	ʔ aː AD ʀ ɔ AI n
aas	aː AD s
aase	aː AD z ə AK
aasen	aː AD z ə AK n
aaser	aː AD z ɐ BE
aasfressend	aː AD s f ʁ ɛ AK s n̩ t
aasfresser	aː AD s f ʀ ɛ AK s ɐ BE
aasig	aː AD z ɪ AK ç
aasjäger	aː AD s j AB ɛː AM ɡ ɐ BE
aasjägerei	aː AD s j AB ɛː AM ɡ ə AK ʁ a AC ɪ̯ BB
aaskäfer	aː AD s k ɛː AM f ɐ BE
aasseite	aː AD s z a AC ɪ̯ BB t ə AK
aasvogel	aː AD s f oː AH ɡ l̩
ab	a AC p
abarbeiten	a AC b a AC ʁ b a AC ɪ̯ BB t ə AK n
abartig	a AC p a AC ʁ t ɪ AK ç
abartung	a AC p ʔ aː AD ɐ̯ t ʊ AI ŋ
abbaggerung	a AC p b a AC ɡ ə AK ʀ ʊ AI ŋ
abbaubar	a AC p b a AC ʊ̯ BC b aː AD ʁ
abbaubarkeit	a AC p b a AC ʊ̯ BC b aː AD ɐ̯ k a AC ɪ̯ BB t
abbauprodukt	a AC p b a AC ʊ̯ BC p r o AG d ʊ AI k t
abbeissen	a AC p b a AC ɪ̯ BB s ə AK n
