'n	ə AL n AG
'ne	n AG ə AL
'nem	n AG ə AL m AF
'nen	n AG ə AL n AG
'ner	n AG ɐ AN
'türlich	t AC yː BA ɐ̯ l AE ɪ AL ç
a	ʔ AK aː AM
aa	aː AM
aachen	aː AM x AJ ə AL n AG
aachener	aː AM x AJ ə AL n AG ɐ AN
aachenerin	aː AM x AJ ə AL n AG ə AL ʁ AJ ɪ AL n AG
aad	aː AM ʔ AK aː AM d AC eː AM
aake	aː AM k AC ə AL
aakerbeere	aː AM k AC ɐ AN b AH eː AM ʁ AJ ə AL
aal	aː AM l AE
aalartig	aː AM l AE ʔ AK aː AM ɐ̯ t AC ɪ AL ç
aalauge	aː AM l AE a AL ʊ̯ BF ɡ AC ə AL
aale	ʔ AK aː AM l AE ə AL
aalen	aː AM l AE ə AL n AG
aales	ʔ AK aː AM l AE ə AL s AJ
aalfang	ɑː AM l AE f BC a AL ŋ AG k AC
aalfell	aː AM l AE f BC ɛ AL l AE
aalfett	aː AM l AE f BC ɛ AL t AC
aalfischer	aː AM l AE f BC ɪ AL ʃ AJ ɐ AN
aalförmig	aː AM l AE f BC œ AN ʁ AJ m AF ɪ AL ç
aalglatt	aː AM l AE ɡ AC l AE a AL t AC
aalgleich	aː AM l AE ɡ AC l AE a AL ɪ̯ AB ç
aalhaut	aː AM l AE h AA a AL ʊ̯ BF t AC
aalkorb	aː AM l AE k AC ɔ AN ʁ AJ p AH
aalleiter	aː AM l AE l AE a AL ɪ̯ AB t AC ɐ AN
aalmolch	aː AM l AE m AF ɔ AN l AE ç
aalmutter	aː AM l AE m AF ʊ AN t AC ɐ AN
aalmuttern	aː AM l AE m AF ʊ AN t AC ɐ AN n AG
aalquappe	aː AM l AE k AC v BC a AL p AH ə AL
aalraupe	aː AM l AE ʁ AJ a AL ʊ̯ BF p AH ə AL
aalreuse	aː AM l AE ʁ AJ ɔ AN ɪ̯ AB z AJ ə AL
aalräucherei	aː AM l AE ʁ AJ ɔ AN ɪ̯ AB ç ə AL ʁ AJ a AL ɪ̯ AB
aals	ʔ AK aː AM l AE s AJ
aalspeer	aː AM l AE ʃ AJ p AH eː AM ɐ̯
aalstechen	aː AM l AE ʃ AJ t AC ɛ AL ç n̩ BH
aalstrich	aː AM l AE ʃ AJ t AC ʁ AJ ɪ AL ç
aalsuppe	aː AM l AE z AJ ʊ AN p AH ə AL
aaltierchen	aː AM l AE t AC iː AM ɐ̯ ç ə AL n AG
aalähnlich	aː AM l AE ɛː AM n AG l AE ɪ AL ç
aar	aː AM ɐ̯
aargau	aː AM ɐ̯ ɡ AC a AL ʊ̯ BF
aargauer	aː AM ɐ̯ ɡ AC a AL ʊ̯ BF ɐ AN
aaron	ʔ AK aː AM ʀ BB ɔ AN n AG
aas	aː AM s AJ
aase	aː AM z AJ ə AL
aasen	aː AM z AJ ə AL n AG
aaser	aː AM z AJ ɐ AN
aasfressend	aː AM s AJ f BC ʁ AJ ɛ AL s AJ n̩ BH t AC
aasfresser	aː AM s AJ f BC ʀ BB ɛ AL s AJ ɐ AN
aasig	aː AM z AJ ɪ AL ç
aasjäger	aː AM s AJ j AB ɛː AM ɡ AC ɐ AN
