'türlich	tʰ AD yː BB ɐ̯ l AE ɪ AM ç
aach	aː AN χ AJ
aachen	äː χ AJ n̩ BI
aak	aː AN k AC
aal	ʔ AL aː AN l AE
aalbeere	aː AN l AE b AH eː AN ʁ AJ ə AM
aalen	aː AN l AE ə AM n AG
aalmutter	ʔ AL aː AN l AE m AF ʊ BA tʰ AD ɐ BA
aalmuttern	ʔ AL aː AN l AE m AF ʊ BA tʰ AD ɐ BA n AG
aare	aː AN ʀ BC ə AM
aasen	ʔ AL aː AN z AJ n̩ BI
aasfliege	aː AN s AJ f BD l AE iː AN ɡ AC ə AM
abakus	a AM b AH a AM k AC ʊ BA s AJ
abalienieren	a AM p AH ʔ AL a AM l AE i̯ AB e AM n AG iː AN ʁ AJ ə AM n AG
abandonnieren	a AM b AH a AM n AG d AC ɔ BA n AG iː AN ʀ BC ə AM n AG
abarbeiten	ʔ AL a AM p AH ʔ AL a AM ʁ AJ b AH a AM ɪ̯ AB ʔ AL n̩ BI
abart	a AM p AH ʔ AL aː AN ʁ AJ tʰ AD
abarten	a AM p AH ʔ AL aː AN ɐ̯ t AC n̩ BI
abartigkeit	a AM p AH aː AN ɐ̯ t AC ɪ AM ç k AC a AM ɪ̯ AB t AC
abasie	a AM b AH a AM z AJ iː AN
abbaggerung	ʔ AL a AM p AH b AH a AM ɡ AC ə AM ʀ BC ʊ BA ŋ AG
abballern	a AM p AH b AH a AM l AE ɐ BA n AG
abbau	a AM p AH b AH a AM ʊ̯ AK
abbaubar	ʔ AL a AM p AH b AH a AM ʊ̯ AK b AH aː AN ɐ̯
abbauen	ʔ AL a AM p AH b AH a AM ʊ̯ AK ə AM n AG
abbehalten	a AM p AH b AH ə AM h AA a AM l AE t AC n̩ BI
abberufen	a AM p AH b AH ə AM ʀ BC uː BB f BD ə AM n AG
abbestellen	ʔ AL a AM b AH ə AM ʃ AJ t AC ɛ AM l AE n̩ BI
abbezahlen	ʔ AL a AM b AH ə AM t AC s AJ aː AN l AE n̩ BI
abbiegen	a AM p AH b AH iː AN ɡ AC n AG
abbild	a AM p AH b AH ɪ AM l AE t AC
abbilden	ʔ AL a AM p̚ b̥ AH ɪ AM l AE d AC ə AM n AG
abbildung	ʔ AL a AM p̚ b̥ AH ɪ AM l AE d AC ʊ BA ŋ AG
abbildungstechnologie	ʔ AL a AM p̚ b̥ AH ɪ AM l AE d AC ʊ BA ŋ AG s AJ tʰ AD ɛ AM ç n AG o BA l AE o BA ɡ AC iː AN
abbitte	ʔ AL a AM p AH b AH ɪ AM tʰ AD ə AM
abbitten	ʔ AL a AM p AH b AH ɪ AM ʔ AL n̩ BI
abblocken	ʔ AL a AM b AH l AE ɔ BA k AC ŋ AG
abbrechen	ʔ AL a AM p AH b AH ʁ AJ ɛ AM ç ə AM n AG
abbremsen	ʔ AL a AM b AH ʁ AJ ɛ AM m AF z AJ n̩ BI
abbrennen	ʔ AL a AM b AH ʁ AJ ɛ AM n AG n̩ BI
abbröckeln	ʔ AL a AM p AH b AH ʁ AJ œ BA k AC ə AM l AE n AG
abbuchen	ʔ AL a AM b AH uː BB χ AJ n̩ BI
abbuchung	a AM p AH b AH uː BB x AJ ʊ BA ŋ AG
abbügeln	a AM p AH b AH yː BB ɡ AC l̩ BJ n AG
abdach	a AM p AH d AC a AM x AJ
abdachen	a AM p AH d AC a AM x AJ n̩ BI
abdankung	ʔ AL a AM p AH d AC a AM ŋ AG k AC ʊ BA ŋ AG
abdecken	ʔ AL a AM p AH d AC ɛ AM k AC ə AM n AG
abdrehen	a AM p AH d AC r BC eː AN ə AM n AG
abdreschen	a AM p AH d AC ʁ AJ ɛ AM ʃ AJ n̩ BI
abdriften	a AM p AH d AC ʀ BC ɪ AM f BD t AC n̩ BI
abdruck	ʔ AL a AM p AH d AC ʁ AJ ʊ BA kʰ AD
abdrängen	a AM p AH d AC ʁ AJ ɛ AM ŋ AG ə AM n AG
abeisen	ɑ AM b AH a AM ɪ̯ AB z AJ ə AM n AG
abendblatt	aː AN b AH n̩ BI t AC b AH l AE a AM t AC
abendessen	ʔ AL aː AN b AH n̩ BI t AC ʔ AL ɛ AM s AJ n̩ BI
abendkleid	aː AN b AH n̩ BI t AC k AC l AE a AM ɪ̯ AB t AC
abendmahlzeit	aː AN b AH ə AM n AG t AC m AF aː AN l AE t AC s AJ a AM ɪ̯ AB t AC
abendrot	aː AN b AH ə AM n AG d̥ AC r BC oː BB t AC
abendstern	aː AN b AH n̩ BI t AC ʃ AJ t AC ɛ AM ʁ AJ n AG
abendvorstellung	aː AN b AH n̩ BI t AC f BD oː BB ɐ̯ ʃ AJ t AC ɛ AM l AE ʊ BA ŋ AG
abenteuer	aː AN b AH ə AM n AG t AC ɔ BA ʏ̯ ɐ BA
aberkennen	a AM p AH ʔ AL ɛ AM ɐ̯ k AC ɛ AM n AG ə AM n AG
abfackeln	ʔ AL a AM p AH f BD a AM k AC l̩ BJ n AG
abfahren	a AM p AH f BD aː AN r BC ə AM n AG
abfahrt	ʔ AL a AM p AH f BD aː AN ɐ̯ t AC
abfall	a AM p AH f BD a AM l AE
abfedern	ʔ AL a AM p AH f BD eː AN d AC ɐ BA n AG
abfertigen	ʔ AL a AM p AH f BD ɛ AM ɐ̯ tʰ AD i AM ɡ AC ŋ AG
abfertigung	ʔ AL a AM p AH f BD ɛ AM ɐ̯ tʰ AD i AM ɡ AC ʊ BA ŋ AG
abfeuerung	ʔ AL a AM p AH f BD ɔ BA ʏ̯ ɐ BA ʁ AJ ʊ BA ŋ AG
abfinden	a AM p AH f BD ɪ AM n AG d AC ə AM n AG
abfindung	ʔ AL a AM p AH f BD ɪ AM n AG d AC ʊ BA ŋ AG
abflachen	ʔ AL a AM p AH f BD l AE a AM χ AJ n̩ BI
