άβλαβοσ	a AA v l a AA v o AD s
άβλαπτοσ	a AA v l a AA p t o AD s
άβλαφτοσ	a AA v l a AA f t o AD s
άγγειλα	a AA ŋ ɟ i AC l a AA
άγγελοσ	a AA ŋ ɟ e AB l o AD s
άγγελου	a AA ŋ ɟ e AB l u AE
άγγιξα	a AA ŋ ɟ i AC k s a AA
άγγισα	a AA ŋ ɟ i AC s a AA
άγια	a AA ʝ i AC a AA
άγιασ	a AA ʝ i AC a AA s
άγιασα	a AA ʝ a AA s a AA
άγιε	a AA ʝ i AC e AB
άγιεσ	a AA ʝ i AC e AB s
άγιο	a AA ʝ o AD
άγιοι	a AA ʝ i AC i AC
άγιοσ	a AA ʝ o AD s
άγιου	a AA ʝ u AE
άγιουσ	a AA ʝ u AE s
άγιων	a AA ʝ o AD n
άγκιστρο	a AA ŋ ɟ i AC s t r o AD
άγνωροσ	a AA ɣ n o AD ɾ o AD s
άγραφοσ	a AA ɣ r a AA f o AD s
άγρωστη	a AA ɣ ɾ o AD s t i AC
άγω	a AA ɣ o AD
άδενδροσ	a AA ð e AB n ð ɾ o AD s
άδεντροσ	a AA ð e AB n d ɾ o AD s
άδικη	a AA ð i AC c i AC
άε	a AA e AB
άηχοσ	a AA i AC x o AD s
άθαφτοσ	a AA θ a AA f t o AD s
άθεοσ	a AA θ e AB o AD s
άθροισα	a AA θ ɾ i AC s a AA
άκακοσ	a AA k a AA k o AD s
άκαμπτοσ	a AA k a AA m p t o AD s
άκαρποσ	a AA k a AA ɾ p o AD s
άκεφοσ	a AA c e AB f o AD s
άκησ	a AA c i AC s
άκοσμοσ	a AA k o AD z m o AD s
άκουα	a AA k u AE a AA
άκουγα	a AA k u AE ɣ a AA
άκουσα	a AA k u AE s a AA
άκουσεσ	a AA k u AE s e AB s
άκων	a AA k o AD n
άλγεβρα	a AA l ʝ e AB v ɾ a AA
άλγοσ	a AA l ɣ o AD s
άλειψα	a AA l i AC p s a AA
άλιμοσ	a AA l i AC m o AD s
άλλοθι	a AA l o AD θ i AC
άλυτοσ	a AA l i AC t o AD s
άμαθοσ	a AA m a AA θ o AD s
άμε	a AA m e AB
άμετε	a AA m e AB t e AB
άμπελοσ	a AA m b e AB l o AD s
άμπωτη	a AA m b o AD t i AC
άμυαλοσ	a AA m ɲ a AA l o AD s
άνδρε	a AA n ð ɾ e AB
άνδρο	a AA n ð ɾ o AD
άνδροσ	a AA n ð ɾ o AD s
άνδρου	a AA n ð ɾ u AE
άνδρωσα	a AA n ð ɾ o AD s a AA
άνεση	a AA n e AB s i AC
άνθιμοσ	a AA n θ i AC m o AD s
άνθρωποσ	a AA n θ ɾ o AD p o AD s
άνοιξη	a AA n i AC k s i AC
άντ'	a AA d
άντε	a AA d e AB
άντεσ	a AA d e AB s
άντεστε	a AA d e AB s t e AB
άπατο	a AA p a AA t o AD
άπειρων	a AA p i AC r o AD n
άπτομαι	a AA p t o AD m e AB
άρα	a AA ɾ a AA
άραγε	a AA ɾ a AA ʝ e AB
άραξα	a AA r a AA k s a AA
άραχλοσ	a AA ɾ a AA x l o AD s
άραχνοσ	a AA ɾ a AA x n o AD s
άργησα	a AA ɾ ʝ i AC s a AA
άργοσ	a AA ɾ ɣ o AD s
άρια	a AA ɾ i AC a AA
άρκανσασ	a AA ɾ k a AA n z a AA s
άρκτε	a AA ɾ k t e AB
άρκτοσ	a AA ɾ k t o AD s
άρμα	a AA ɾ m a AA
άρον	a AA r o AD n
άρτα	a AA ɾ t a AA
άρτοσ	a AA r t o AD s
άρχομαι	a AA r x o AD m e AB
άρχοντασ	a AA ɾ x o AD n d a AA s
άρχω	a AA r x o AD
