άγγελοσ	a AD ŋ ɟ ɛ AD l ɔ AE s
άγιε	a AD ʝ e AD
άγχοσ	a AD ŋ x ɔ AE s
άθυρμα	a AD θ i AD ɾ m a AD
άλφα	a AD l f a AD
άμεσοσ	a AD m ɛ AD s ɔ AE s
άνδρασ	a AD n ð r a AD s
άνθοσ	a AD n θ ɔ AE s
άντρασ	a AD n d r a AD s
άπαπα	a AD p a AD p a AD
άργιλοσ	a AD ɾ ʝ i AD l o AE s
άργυροσ	a AD ɾ ʝ i AD ɾ o AE s
άρησ	a AD r i AD s
άσφαλτοσ	a AD s f a AD l t o AE s
άχυρο	a AD ç i AD ɾ o AE
έαρ	e̞ AD a AD r
ένα	e̞ AD n a AD
ένασ	e̞ AD n a AD s
ένρινοσ	e AD n̪ r i AD n o AE s
έξη	ɛ AD k s i AD
έξι	ɛ AD k s i AD
έξυπνοσ	ɛ AD k s i AD p n ɔ AE s
έπιπλο	e̞ AD p i AD p l o̞ AE
ήλιο	i AD ʎ o AE
ήλιον	i AD l i AD o AE n
ήμαρτον	i AD m a AD ɾ t o AE n
ήρα	i AD r a AD
ίσισ	i AD s i AD s
αίμα	e AD m a AD
αίνιγμα	ɛ AD n i AD ɣ m a AD
αίσιοσ	ɛ AD s i AD ɔ AE s
αγάπη	a AD ɣ a AD p i AD
αγγαρεία	a AD ŋ ɡ a AD ɾ i AD a AD
αγγελία	a AD ŋ ɟ e AD l i AD a AD
αγγελτήριο	a AD ŋ ɟ e AD l t i AD r i AD o AE
αγκάθι	a AD ŋ ɡ a AD θ i AD
αγκομαχητό	a AD ŋ ɡ o AE m a AD ç i AD t o AE
αγκώνασ	a AD ŋ ɡ o AE n a AD s
αγοριού	a AD ɣ ɔ AE ɾ ʝ u AE
αγοριών	a AD ɣ ɔ AE ɾ ʝ ɔ AE n
αγριόπαπια	a AD ɣ r i AD o̞ AE p a AD p ç a AD
αγόρια	a AD ɣ ɔ AE ɾ ʝ a AD
αδύνατοσ	a AD ð i AD n a AD t o AE s
αινίγματα	ɛ AD n i AD ɣ m a AD t a AD
αινίγματοσ	ɛ AD n i AD ɣ m a AD t ɔ AE s
αινιγμάτων	ɛ AD n i AD ɣ m a AD t ɔ AE n
αινιγματικόσ	ɛ AD n i AD ɣ m a AD t i AD k ɔ AE s
ακαριαίοσ	a AD k a AD ɾ i AD ɛ AD ɔ AE s
ακούω	a AD k u AE o AE
αλάτι	a AD l a AD t i AD
αλεύρι	a AD l e AD v ɾ i AD
αμέσωσ	a AD m ɛ AD s ɔ AE s
αμίμητοσ	a AD m i AD m ɛ AD t ɔ AE s
ανάρτηση	a AD n a AD ɾ t i AD s i AD
ανακατάληψη	ɐ AE n ɐ AE k ɐ AE t ɐ AE ʎ i AD p s i AD
ανακαταλαμβάνω	ɐ AE n ɐ AE k ɐ AE t ɐ AE l ɐ AE ɱ v ɐ AE n o̞ AE
ανατομία	a AD n a AD t ɔ AE m i AD a AD
ανδροπρεπήσ	a AD n ð r o AE p r e AD p i AD s
ανθοκομία	a AD n a AD t ɔ AE m i AD a AD
ανθρωποφάγοσ	a AD n θ ɾ ɔ AE p ɔ AE f a AD ɣ ɔ AE s
αντικλεπτικόσ	a AD n d i AD k l e AD p t i AD k o AE s
ανωμαλία	a AD n ɔ AE m a AD l i AD a AD
απάτη	a AD p a AD t i AD
απατεώνασ	a AD p a AD t ɛ AD ɔ AE n a AD s
απατηλόσ	a AD p a AD t i AD l ɔ AE s
απιστία	a AD p i AD s t i AD a AD
απλόσ	a AD p l ɔ AE s
απλώσ	a AD p l ɔ AE s
απόστροφοσ	a AD p ɔ AE s t ɾ ɔ AE f ɔ AE s
απόψε	a AD p o AE p s e AD
αρχιεπίσκοποσ	a AD r ç i AD e AD p i AD s k o AE p o AE s
αρχισυντάκτησ	a AD r ç i AD s i AD n d a AD k t i AD s
ασθένεια	a AD s θ ɛ AD n i AD a AD
αστείο	a AD s t i AD ɔ AE
αστρολογία	a AD s t ɾ ɔ AE l ɔ AE ʝ i AD a AD
αυνανισμόσ	a AD v n a AD n i AD s m ɔ AE s
αυτοκίνητο	a AD f t o AE k i AD n i AD t o AE
