'bout	b a AD ʊ AF t
'cause	k ə AD z
'dswounds	d z w AC u AF n d z
'em	ɪ AD m
'emselves	ə AD m s ɛ AD l v z
'fraid	f ɹ AI e AD ɪ AD d
'ganst	ɡ æ AD n s t
'll	ə AD l
'm	ə AD m
'mong	m ʌ AD ŋ
'murica	m ɚ AK ɪ AD k ə AD
'n'	ə AD n
'nough	n ʌ AD f
'nuff	n ʌ AD f
's	ɪ AD z
'sblood	z b l ʌ AD d
'scuse	s k j AB uː AG z
'sdeath	z d ɛ AD θ
'sfar	s f ɑː AE ɹ AI
'swounds	z w AC u AF n d z
'tis	t ɪ AD z
'tisn't	t ɪ AD z n t
'tshall	t ʃ ə AD l
'tude	t j AB uː AG d
'twas	t w AC ɒ AF z
'twasn't	t w AC ɒ AF z n̩ t
'twill	t w AC ɪ AD l
'twixt	t w AC ɪ AD k s t
'ud	ə AD d
'ullo	ʌ AD l ə AD ʊ AF
'un	ʌ AD n
a	ə AD
a'n't	æ AD n t
aa	ɑː AE ɑː AE
aaad	e AD ɪ AD e AD ɪ AD e AD ɪ AD d iː AE
aaaee	e AD ɪ AD e AD ɪ AD e AD ɪ AD iː AE iː AE
aaarg	e AD ɪ AD e AD ɪ AD e AD ɪ AD ɑː AE ɹ AI d ʒ iː AE
aaav	e AD ɪ AD e AD ɪ AD e AD ɪ AD v iː AE
aaawesome	ɔː AG s ə AD m
aabh	e AD ɪ AD e AD ɪ AD b iː AE e AD ɪ AD t ʃ
aacap	e AD ɪ AD e AD ɪ AD k æ AD p
aacb	e AD ɪ AD e AD ɪ AD s iː AE b iː AE
aacbc	e AD ɪ AD e AD ɪ AD s iː AE b iː AE s iː AE
aacbp	e AD ɪ AD e AD ɪ AD s iː AE b iː AE p iː AE
aacd	e AD ɪ AD e AD ɪ AD s iː AE d iː AE
aacdp	e AD ɪ AD e AD ɪ AD s iː AE d iː AE p iː AE
aace	e AD ɪ AD e AD ɪ AD s iː AE iː AE
aach	ɑː AE k
aachen	ɑː AE k ə AD n
aachs	e AD ɪ AD e AD ɪ AD s iː AE e AD ɪ AD t ʃ ɛ AD s
aacjc	e AD ɪ AD e AD ɪ AD s iː AE d ʒ e AD ɪ AD s iː AE
aacl	e AD ɪ AD e AD ɪ AD s iː AE ɛ AD l
aacm	e AD ɪ AD e AD ɪ AD s iː AE ɛ AD m
aacpa	e AD ɪ AD e AD ɪ AD s iː AE p iː AE e AD ɪ AD
aacu	æ AD k ʊ AF
aakp	e AD ɪ AD e AD ɪ AD k e AD ɪ AD p iː AE
aalborg	ɔː AG l b ɔː AG ɹ AI
aalii	ɑː AE l iː AE iː AE
aalst	ɑː AE l s t
aam	ɔː AG m
aandblom	ɑː AE n t b l ɒ AF m
aar	ɑː AE ɹ AI
aarau	aː AE ɹ AI a AD u AF
aardvark	ɑː AE d v ɑː AE k
aardwolf	ɑː AE d w AC ʊ AF l f
aare	ɑː AE ɹ AI ə AD
aarhus	ɔː AG h AA uː AG s
