'll	ʊ BA
accend	æ AM k AC s AJ ɛ AM n AG d AC
accommodate	ə AM kʰ AD ɒ BA m AF ə AM d AC e AM ɪ AM t AC
accommodator	ə AM k AC ɒ BA m AF ə AM d AC e AM ɪ AM t AC ə AM
accreditation	ə AM k AC ɹ AB ɛ AM d AC ɪ AM t AC e AM ɪ AM ʃ AJ ə AM n AG
accuracy	æ AM k AC j AB ʊ BA r BD ə AM s AJ ɪ AM
acidophilus	æ AM s AJ ɪ AM d AC ɑ AM f BE ɪ AM l AE ə AM s AJ
adam	æ AM ɾ BI ə AM m AF
added	æ AM ɾ BI ɪ AM d AC
adelaide	æ AM d AC ɜ AM l AE æ AM ɪ̯ AB d AC
administrative	ə AM d AC m AF ɪ AM n AG ɪ AM s AJ t̠ AC ɹ̠̊ʷ ə AM tʰ AD ɪ AM v BE
aerose	i AM ɹ AB ə AM ʊ BA z AJ
agglutinin	ə AM ɡ AC l AE uː BB ʔ AL n̩ BM ɪ AM n AG
alacrity	ə AM l AE æ AM k AC ɹ AB ɨ AM t AC i AM
alban	a AM l AE b AH n̩ BM
albicant	a AM l AE b AH ɪ AM k AC n̩ BM t AC
alder	ɔː BB l AE d AC ə AM
alders	ɔː BB l AE d AC ə AM z AJ
alienation	e AM ɪ AM l AE i AM ə AM n AG e AM ɪ AM ʃ AJ ə AM n AG
alignment	ə AM ɫ AE a AM ɪ AM n AG m AF ə AM n AG t AC
allergic	ə AM l AE ɚ AM d AC ʒ AJ ɪ AM k AC
allergies	æ AM l AE ɚ AM d AC ʒ AJ i AM z AJ
allergy	æ AM l AE ɚ AM d AC ʒ AJ i AM
almanac	ɔː BB l AE m AF ə AM n AG æ AM k AC
alpha	æ AM ɫ AE f BE ə AM
alternately	ɔː BB l AE t AC ɜ AM ɹ AB n AG ə AM t AC l AE ɪ AM
am	æ AM m AF
amazing	ə AM m AF e AM ɪ̯ AB z AJ ɪ AM ŋ AG
amphibious	æ AM m AF f BE ɪ AM b AH i AM ə AM s AJ
analects	æ AM n AG ə AM l AE ɛ AM k AC t AC s AJ
andrew	æ AM n AG d AC ʒ AJ ɹ AB ʊ̈ BA u BA
angst	e AM ɪ AM ŋ AG k AC s AJ t AC
angsts	e AM ɪ AM ŋ AG k AC s AJ t AC s AJ
anthropomorphic	æ̃ BJ n̪ AG θ AJ ɹ̠ ə AM p AH ə AM m AF ɔ BA ɹ̠ f BE ɪ̈ AM k AC
apple	æ AM p AH ɫ̩
appled	æ AM p AH ɫ̩ d AC
arbitration	ɑː AN b AH ə AM t̠ AC ɹ̠ e AM ɪ AM ʃ AJ n̩ BM
aristotle	æ AM r BD ɪ AM s AJ t AC ɒ BA t AC ɫ̩
arlon	ɑː AN ɫ AE ɔː BB n AG
article	ɑː AN tʰ AD ɪ AM kʰ AD ə AM ɫ AE
atend	ə AM tʰ AD ɛ AM n AG d AC
attack	ə AM tʰ AD æ AM k AC
attar	æ AM t AC ə AM
attend	ə AM tʰ AD ɛ AM n AG d AC
attic	æ AM ɾ BI ɪ AM k AC
attraction	ə AM t AC ʃ AJ ɹ AB æ AM k AC ʃ AJ ɪ̈ AM n AG
attrition	ə AM t AC ɹ AB ɪ AM ʃ AJ ə AM n AG
augustan	ɔː BB ɡ AC ʌ AM s AJ t AC n̩ BM
aula	ɔː BB l AE a AM
availability	ə AM v BE e AM ɪ AM l AE ə AM b AH ɪ AM l AE ɪ AM t AC ɪ AM
awara	ɒ BA w AK ʌ AM ɹ AB ʌ AM
ayuh	ˀe ɪ AM ʌˀ
baa	b AH ɑː AN
babbler	b AH æ AM b AH ə AM l AE ə AM ɹ AB
back	b AH æ AM k AC
bacterial	b AH æ AM k AC t AC ɪ AM ə AM ɹ AB i AM ə AM ɫ AE
baedeker	b AH e AM ɪ AM d AC ɪ AM k AC ə AM
bagful	b AH æ AM ɡ AC f BE ʊ BA ɫ AE
baikal	b AH a AM ɪ AM k AC ɑː AN ɫ AE
bail	b AH e AM ɪ̯ AB ə AM ɫ AE
balancelle	b AH æ AM l AE ə AM n AG s AJ e AM ɫ AE
bald	b AH ɔː BB ɫ AE d AC
baldric	b AH ɔː BB ɫ AE d AC ɹ AB ɪ AM k AC
bale	b AH e AM ɪ̯ AB ə AM ɫ AE
balrog	b AH ɔː BB ɫ AE ɹ AB ɒ BA ɡ AC
balt	b AH ɔː BB l AE t AC
barn	b AH ɒ BA ə AM n AG
barrel	b AH æ AM ɹ AB ə AM ɫ AE
basal	b AH e AM ɪ AM s AJ ə AM ɫ AE
bashful	b AH æ AM ʃ AJ f BE ʊ BA ɫ AE
bashkortostan	b AH a AM ʃ AJ k AC o̞ː BB ɹ AB t AC ə AM ʉ̯ s AJ t AC æ AM n AG
bastille	b AH æ AM s AJ t AC ɪ AM ə AM ɫ AE
bath	b AH ɑː AN θ AJ
battle	b AH a AM tʰ AD ɫ̩
battlebus	b AH æ AM t AC ə AM ɫ AE b AH ʌ AM s AJ
battlement	b AH æ AM t AC ə AM ɫ AE m AF ə AM n AG t AC
bauble	b AH ɔː BB b AH ə AM ɫ AE
baulk	b AH ɔː BB ɫ AE k AC
bautzen	b AH a AM ʊ BA t AC s AJ ə AM n AG
bawl	b AH ɔː BB ɫ AE
beadle	b AH iː AN d AC ə AM ɫ AE
beagle	b AH iː AN ɡ AC ə AM ɫ AE
beared	b AH ɛː AN d AC
beatle	b AH iː AN t AC ə AM ɫ AE
beauty	b AH j AB u BA ɾ BI i AM
beazle	b AH iː AN z AJ ə AM ɫ AE
becquerel	b AH ɛ AM k AC ə AM ɹ AB ɛ AM ɫ AE
bedevil	b AH ɪ AM d AC ɛ AM v BE ə AM ɫ AE
bedight	b AH ɪ AM d AC ʌ AM ɪ AM t AC
beetle	b AH i AM ɾ BI ə AM ɫ AE
befang	b AH ə AM f BE æ AM ŋ AG
better	b AH ɛ AM tʰ AD ə AM
betther	b AH ɛ AM t̪ AC ɚ AM
betting	b AH ɛ AM ɾ BI ɪ AM ŋ AG
bidet	b AH iː AN d AC e AM ɪ AM
bill	b AH ɪ AM ɫ AE
bitey	b AH a AM ɪ̯ AB ɾ BI i AM
bitter	b AH ɪ AM ʔ AL ə AM
bitty	b AH ɪ AM ɾ BI i AM
blem	b AH l AE ɛ AM m AF
blicky	b AH l AE ɪ AM k AC i AM
bockety	b AH ɑ AM k AC ə AM t AC iː AN
bold	b AH ɒ BA ʊ BA l AE d AC
boldly	b AH ɒ BA ʊ BA l AE d AC l AE i AM
bookcase	b AH ʊ BA kː BG e AM ɪ AM s AJ
boot	b AH uː BB t AC
botanist	b AH ɒ BA t AC n̩ BM ɪ AM s AJ t AC
bother	b AH ɒ BA ð AJ ə AM ɹ AB
bottle	b AH ɒ BA t AC ɫ̩
bountiful	b AH a AM ʊ̯ AK n AG ɾ BI ə AM f BE ə AM ɫ AE
boutye	b AH ɐ BA ʏ BA t AC ʃ AJ ə AM
bowl	b AH ɔ BA ʊ BA ɫ AE
bowling	b AH ɒ BA ʊ BA ɫ AE ɪ AM ŋ AG
brakeforce	b AH ɹ AB e AM ɪ AM k AC f BE ɔː BB ɹ AB s AJ
breach	b AH ɹ AB iː AN t AC ʃ AJ
break	b AH ɹʷ e AM ɪ̯ AB k AC
brighton	b AH ɹ AB a AM ɪ̯ AB ʔ AL ə AM n AG
british	b AH ɹ AB ɪ AM ʔ AL ɪ AM ʃ AJ
buccopalatal	b AH ʌ AM kʰ AD o BA ʊː BB pʰ AI æː AN l AE ə AM ɾ BI ɫ̩
buffer	b AH ɐ BA f BE ə AM ɹ AB
bumboclaat	b AH ʌ AM m AF b AH ə AM k AC l AE ɑ AM t AC
but	b AH ɐ BA t AC
butted	b AH ʌ AM ɾ BI ɨ AM d AC
butter	b AH ʌ AM ʔ AL ɚ AM
butterfly	b AH ʌ AM ɾ BI ɚ AM f BE l AE a AM ɪ AM
butting	b AH ʌ AM ɾ BI ɪ AM ŋ AG
buttings	b AH ʌ AM ɾ BI ɪ AM ŋ AG z AJ
button	b AH ʌ AM ʔ AL n̩ BM
béchamel	b AH ɛ AM ʃ AJ ə AM m AF ɛ AM ɫ AE
cacao	k AC ə AM kʰ AD ɑː AN ə AM ʊ̯ AK
cacoepy	k AC ə AM k AC ə AM ʊ BA ɪ AM p AH ɪ AM
cain	kʰ AD e AM ɪ AM n AG
cake	kʰ AD e AM ɪ AM k AC
call	kʰ AD o BA ɫ AE
cam	k AC æ AM m AF
cambodia	k AC æ AM m AF b AH o BA ʊ BA d AC i AM ə AM
came	kʰ AD e AM ɪ̯ AB m AF
camp	kʰ AD ɛ AM ə AM m AF p AH
can	kʰ AD ə AM n AG
can't	kʰ AD ɑː AN n AG t AC
cane	kʰ AD e AM ɪ AM n AG
cap	kʰ AD æ AM p AH
cappadocia	k AC æ AM p AH ə AM d AC o BA ʊ BA ʃ AJ ə AM
caramba	k AC a AM ɹ AB a AM m AF b AH a AM
carbuncle	kʰ AD ɑː AN b AH ʌ AM ŋ AG k AC l̩ CA
card	kʰ AD ɑː AN d AC
carload	kʰ AD ɑː AN l AE ə AM ʊ BA d AC
carving	k AC ɑ AM ɹ AB v BE ɪ AM ŋ AG
casserole	k AC æ AM s AJ ɚ AM ɔ̹ ɫ AE
cat	kʰ AD æ AM t̚
cathedra	k AC ə AM θ AJ iː AN d AC ɹ AB ə AM
caucasian	k AC ɔː BB k AC e AM ɪ AM ʒ AJ ə AM n AG
caught	k̠ʰ oː BB t AC
cause	kʰ AD oː BB z̥ AJ
cauterize	kʰ AD ɔ BA ɾ BI ə AM ɹ AB a AM ɪ AM z AJ
cavity	kʰ AD æ AM v BE ɪ AM ɾ BI i AM
ceili	k AC e AM ɪ AM l AE i AM
cereal	s AJ ɪ AM ə AM ɹ AB iː AN ə AM ɫ AE
chance	t AC ʃʰ CE ɛ AM ə AM n AG s AJ t AC ʃʰ CE e AM ə AM n AG s AJ
charnel	t AC ʃ AJ ɑː AN n AG ə AM l AE
chartreuse	ʃ AJ ɑː AN t AC ɹ AB ɜː AN z AJ
chatted	t AC ʃ AJ æ AM ɾ BI ɨ AM d AC
cheated	t AC ʃ AJ i AM ɾ BI ɨ AM d AC
china	t AC ʃʰ CE a AM ɪ̯ AB n AG ə AM
choo	t AC ʃ AJ uː BB
cicada	s AJ ɪ AM kʰ AD ɑː AN d AC ə AM
circle	s AJ ɚ AM k AC ə AM ɫ AE
circuit	s AJ ɜː AN k AC ɪ AM t AC
cital	s AJ ʌ AM ɪ AM t AC l̩ CA
clay	k AC l̥ AE e AM ɪ AM
clean	kʰ AD l̥ AE iː AN n AG
click	kʰ AD l̥ AE ɪ AM k AC
cliff	k AC l̥ʰ ɪ AM f BE
climb	kˡ l AE a AM ɪ AM m AF
clip	k AC l̥ʰ ɪ AM p AH
clit	k AC l̥ʰ ɪ AM t AC
coach	kʰ AD ə AM ʊ̯ AK t AC ʃ AJ
coccus	kʰ AD ɑ AM k AC ə AM s AJ
coconut	kʰ AD ə AM ʉ̯ k AC ə AM n AG ʌ AM t AC
collaboration	kʰ AD ə AM l AE æ AM b AH ə AM ɹ AB e AM ɪ̯ AB ʃ AJ ə AM n AG
colt	k AC ɔ BA ʊ BA l AE t AC
come	kʰ AD ɐ BA m AF
comfortable	kʰ AD ʌ AM ɱ AF f BE tʰ AD ə̥ AM b AH ɫ̩
comfy	kʰ AD ʌ AM ɱ AF f BE i AM
comment	kʰ AD ɒ BA m AF ɛ AM n AG t AC
committee	k AC ə AM m AF ɪ AM t AC i AM
compare	k AC ə AM m AF p AH ɛː AN
comptroller	k AC ə AM m AF t AC ɹ AB o BA ʊ BA l AE ə AM ɹ AB
concoct	kʰ AD ə AM ŋ AG kʰ AD ɒ BA k AC t AC
confident	kʰ AD ɒ BA ɱ AF f BE ə AM d AC n̩ BM t AC
confirmation	kʰ AD ɒ BA ɱ AF f BE ə AM m AF e AM ɪ AM ʃ AJ n̩ BM
conservancy	k AC ə AM n AG s AJ ɜː AN v BE ə AM n AG s AJ ɪ AM
consigliere	k AC ɒ BA n AG s AJ ɪ AM l AE j AB ɛ AM ɹ AB i AM
contestant	k AC ə AM n AG tʰ AD ɛ AM s AJ t AC ə AM n AG t AC
conversation	kʰ AD ɒ BA ɱ AF v BE ə AM s AJ e AM ɪ AM ʃ AJ n̩ BM
convert	kʰ AD ə̥ AM ɱ AF v BE ɛ AM ə AM t AC
cot	kʰ AD ɔ BA ʔ AL
cottage	k AC ɑ AM ɾ BI ɪ AM d AC ʒ AJ
cougar	kʰ AD uː BB ɡ AC ə AM
coulda	kʰ AD ʊ BA d AC ə AM
couldn't	k AC ʊ BA n AG ʔ AL
countable	kʰ AD a AM ʊ BA n AG ɾ BI ə AM b AH ɫ̩
country	kʰ AD ʌ AM n AG t̠ AC ɹ̠̊ʷ i AM
coventry	kʰ AD ɒ BA v BE ə AM n AG t AC ʃ AJ ɹ AB i AM
craytur	k AC ɹ AB eː AN t̪ AC ə AM ɹ AB
creation	k AC ɹ AB iːʲ e AM ɪ AM ʃ AJ ɘ AM n AG
