'bout	b a AD ʊ AF t
'cause	k ʌ AD z
'dswounds	d z w AC u AF n d z
'em	ɪ AD m
'emselves	ə AD m s ɛ AD l v z
'fraid	f ɹ AI e AD ɪ AD d
'ho	h AA o AF ʊ AF
'kay	k e AD ɪ AD
'll	ə AD l
'm	ə AD m
'mater	m e AD ɪ AD t ɚ AK
'mong	m ʌ AD ŋ
'murica	m ɚ AK ɪ AD k ə AD
'n'	ə AD n
'nough	n ʌ AD f
'nuff	n ʌ AD f
's	ɪ AD z
'sblood	z b l ʌ AD d
'scuse	s k j AB uː AG z
'sdeath	z d ɛ AD θ
'sfar	s f ɑː AE ɹ AI
'sup	s ʌ AD p
'swounds	z w AC u AF n d z
'tis	t ɪ AD z
'tshall	t ʃ ə AD l
'tude	t u AF d
'twas	t w AC ʌ AD z
'twill	t w AC ɪ AD l
'twixt	t w AC ɪ AD k s t
'ud	ə AD d
'un	ʌ AD n
a	ə AD
a'n't	æ AD n t
aa	ɑ AD ɑ AD
aaad	e AD ɪ AD e AD ɪ AD e AD ɪ AD d iː AE
aaaee	e AD ɪ AD e AD ɪ AD e AD ɪ AD iː AE iː AE
aaarg	e AD ɪ AD e AD ɪ AD e AD ɪ AD ɑː AE ɹ AI d ʒ iː AE
aaav	e AD ɪ AD e AD ɪ AD e AD ɪ AD v iː AE
aaawesome	ɔː AG s ə AD m
aabh	e AD ɪ AD e AD ɪ AD b iː AE e AD ɪ AD t ʃ
aabomycin	æ AD b o AF ʊ AF m a AD ɪ AD s ɪ AD n
aacap	e AD ɪ AD e AD ɪ AD k æ AD p
aacb	e AD ɪ AD e AD ɪ AD s iː AE b iː AE
aacbc	e AD ɪ AD e AD ɪ AD s iː AE b iː AE s iː AE
aacbp	e AD ɪ AD e AD ɪ AD s iː AE b iː AE p iː AE
aacd	e AD ɪ AD e AD ɪ AD s iː AE d iː AE
aacdp	e AD ɪ AD e AD ɪ AD s iː AE d iː AE p iː AE
aace	e AD ɪ AD e AD ɪ AD s iː AE iː AE
aach	ɑː AE k
aachen	ɑ AD k ə AD n
aachs	e AD ɪ AD e AD ɪ AD s iː AE e AD ɪ AD t ʃ ɛ AD s
aacjc	e AD ɪ AD e AD ɪ AD s iː AE d ʒ e AD ɪ AD s iː AE
aacl	e AD ɪ AD e AD ɪ AD s iː AE ɛ AD l
aacm	e AD ɪ AD e AD ɪ AD s iː AE ɛ AD m
aacpa	e AD ɪ AD e AD ɪ AD s iː AE p iː AE e AD ɪ AD
aacu	æ AD k ʊ AF
aakp	e AD ɪ AD e AD ɪ AD k e AD ɪ AD p iː AE
aalborg	ɔ AF l b ɔ AF ɹ AI ɡ
aalii	ɑ AD l i AD i AD
aalst	ɑ AD l s t
aam	ɔ AF m
aandblom	ɑ AD n t b l ɑ AD m
aar	ɑ AD ɹ AI
aarau	aː AE ɹ AI a AD u AF
aardvark	ɑ AD ɹ AI d v ɑ AD ɹ AI k
aardwolf	ɑ AD ɹ AI d w AC ʊ AF l f
aardwolves	ɑ AD ɹ AI d w AC ʊ AF l v z
aare	ɑ AD ɹ AI ə AD
aarhus	ɔ AF ɹ AI h AA u AF s
aaron	ɛ AD ɹ AI ə AD n
aaronic	ɛ AD ɹ AI ɑ AD n ɪ AD k
aaronical	ɛ AD ɹ AI ɑ AD n ɪ AD k ə AD l
aaronite	ɛ AD ɹ AI ə AD n a AD ɪ AD t
aarp	e AD ɪ AD e AD ɪ AD ɑ AD ɹ AI p i AD
aasvoel	ɑ AD s f o AF ʊ AF ə AD l
aasvogel	ɑ AD s f o AF ʊ AF ɡ ə AD l
aatheist	e AD ɪ AD e AD ɪ AD θ i AD ɪ AD s t
ab	ɑ AD b
aba	ə AD b ɑ AD
ababda	ə AD b æ AD b d ə AD
ababdeh	ə AD b æ AD b d ɛ AD
abaca	æ AD b ə AD k ɑ AD
abacate	æ AD b ə AD k ɑ AD t i AD
abacavir	ə AD b æ AD k ə AD v ɪ AD ɹ AI
abacaxi	æ AD b ə AD k ə AD ʃ i AD
abaci	æ AD b ə AD k a AD ɪ AD
abacisci	æ AD b ə AD s ɪ AD s a AD ɪ AD
abaciscus	æ AD b ə AD s ɪ AD s k ɪ AD s
