'bout	b AG a AK ʊ AM t AC
'cause	k AC ʌ AK z AH
'dswounds	d AC z AH w AI u AM n AF d AC z AH
'em	ɪ AK m AE
'emselves	ə AK m AE s AH ɛ AK l AD v BB z AH
'fraid	f BB ɹ AB e AK ɪ AK d AC
'ho	h AA o AM ʊ AM
'kay	k AC e AK ɪ AK
'll	ə AK l AD
'm	ə AK m AE
'mater	m AE e AK ɪ AK t AC ɚ AK
'mong	m AE ʌ AK ŋ AF
'murica	m AE ɚ AK ɪ AK k AC ə AK
'n'	ə AK n AF
'nough	n AF ʌ AK f BB
'nuff	n AF ʌ AK f BB
's	ɪ AK z AH
'sblood	z AH b AG l AD ʌ AK d AC
'scuse	s AH k AC j AB uː AN z AH
'sdeath	z AH d AC ɛ AK θ AH
'sfar	s AH f BB ɑː AL ɹ AB
'sup	s AH ʌ AK p AG
'swounds	z AH w AI u AM n AF d AC z AH
'tis	t AC ɪ AK z AH
'tshall	t AC ʃ AH ə AK l AD
'tude	t AC u AM d AC
'twas	t AC w AI ʌ AK z AH
'twill	t AC w AI ɪ AK l AD
'twixt	t AC w AI ɪ AK k AC s AH t AC
'ud	ə AK d AC
'un	ʌ AK n AF
a	ə AK
a'n't	æ AK n AF t AC
aa	ɑ AK ɑ AK
aaad	e AK ɪ AK e AK ɪ AK e AK ɪ AK d AC iː AL
aaaee	e AK ɪ AK e AK ɪ AK e AK ɪ AK iː AL iː AL
aaarg	e AK ɪ AK e AK ɪ AK e AK ɪ AK ɑː AL ɹ AB d AC ʒ AH iː AL
aaav	e AK ɪ AK e AK ɪ AK e AK ɪ AK v BB iː AL
aaawesome	ɔː AN s AH ə AK m AE
aabh	e AK ɪ AK e AK ɪ AK b AG iː AL e AK ɪ AK t AC ʃ AH
aabomycin	æ AK b AG o AM ʊ AM m AE a AK ɪ AK s AH ɪ AK n AF
aacap	e AK ɪ AK e AK ɪ AK k AC æ AK p AG
aacb	e AK ɪ AK e AK ɪ AK s AH iː AL b AG iː AL
aacbc	e AK ɪ AK e AK ɪ AK s AH iː AL b AG iː AL s AH iː AL
aacbp	e AK ɪ AK e AK ɪ AK s AH iː AL b AG iː AL p AG iː AL
aacd	e AK ɪ AK e AK ɪ AK s AH iː AL d AC iː AL
aacdp	e AK ɪ AK e AK ɪ AK s AH iː AL d AC iː AL p AG iː AL
aace	e AK ɪ AK e AK ɪ AK s AH iː AL iː AL
aach	ɑː AL k AC
aachen	ɑ AK k AC ə AK n AF
aachs	e AK ɪ AK e AK ɪ AK s AH iː AL e AK ɪ AK t AC ʃ AH ɛ AK s AH
aacjc	e AK ɪ AK e AK ɪ AK s AH iː AL d AC ʒ AH e AK ɪ AK s AH iː AL
aacl	e AK ɪ AK e AK ɪ AK s AH iː AL ɛ AK l AD
aacm	e AK ɪ AK e AK ɪ AK s AH iː AL ɛ AK m AE
aacpa	e AK ɪ AK e AK ɪ AK s AH iː AL p AG iː AL e AK ɪ AK
aacu	æ AK k AC ʊ AM
aakp	e AK ɪ AK e AK ɪ AK k AC e AK ɪ AK p AG iː AL
aalborg	ɔ AM l AD b AG ɔ AM ɹ AB ɡ AC
aalii	ɑ AK l AD i AK i AK
aalst	ɑ AK l AD s AH t AC
aam	ɔ AM m AE
aandblom	ɑ AK n AF t AC b AG l AD ɑ AK m AE
aar	ɑ AK ɹ AB
aarau	aː AL ɹ AB a AK u AM
aardvark	ɑ AK ɹ AB d AC v BB ɑ AK ɹ AB k AC
aardwolf	ɑ AK ɹ AB d AC w AI ʊ AM l AD f BB
aardwolves	ɑ AK ɹ AB d AC w AI ʊ AM l AD v BB z AH
aare	ɑ AK ɹ AB ə AK
aarhus	ɔ AM ɹ AB h AA u AM s AH
aaron	ɛ AK ɹ AB ə AK n AF
aaronic	ɛ AK ɹ AB ɑ AK n AF ɪ AK k AC
aaronical	ɛ AK ɹ AB ɑ AK n AF ɪ AK k AC ə AK l AD
aaronite	ɛ AK ɹ AB ə AK n AF a AK ɪ AK t AC
aarp	e AK ɪ AK e AK ɪ AK ɑ AK ɹ AB p AG i AK
aasvoel	ɑ AK s AH f BB o AM ʊ AM ə AK l AD
aasvogel	ɑ AK s AH f BB o AM ʊ AM ɡ AC ə AK l AD
aatheist	e AK ɪ AK e AK ɪ AK θ AH i AK ɪ AK s AH t AC
ab	ɑ AK b AG
aba	ə AK b AG ɑ AK
ababda	ə AK b AG æ AK b AG d AC ə AK
ababdeh	ə AK b AG æ AK b AG d AC ɛ AK
abaca	æ AK b AG ə AK k AC ɑ AK
abacate	æ AK b AG ə AK k AC ɑ AK t AC i AK
abacavir	ə AK b AG æ AK k AC ə AK v BB ɪ AK ɹ AB
abacaxi	æ AK b AG ə AK k AC ə AK ʃ AH i AK
abaci	æ AK b AG ə AK k AC a AK ɪ AK
abacisci	æ AK b AG ə AK s AH ɪ AK s AH a AK ɪ AK
abaciscus	æ AK b AG ə AK s AH ɪ AK s AH k AC ɪ AK s AH
abacist	ə AK b AG ɑ AK k AC ə AK s AH t AC
aback	ə AK b AG æ AK k AC
abackward	ə AK b AG æ AK k AC w AI ə AK d AC
abaco	æ AK b AG ə AK k AC o AM ʊ AM
abacost	æ AK b AG ə AK k AC ɑ AK s AH t AC
abacterial	e AK ɪ AK b AG æ AK k AC t AC ɪ AK ɹ AB i AK ə AK l AD
abactinal	æ AK b AG æ AK k AC t AC ə AK n AF l̩ BF
abactinally	æ AK b AG æ AK k AC t AC ə AK n AF l̩ BF i AK
abactor	æ AK b AG æ AK k AC t AC ɚ AK
abaculi	ə AK b AG æ AK k AC j AB ə AK l AD i AK
abaculus	ə AK b AG æ AK k AC j AB ə AK l AD ə AK s AH
abacus	æ AK b AG ə AK k AC ə AK s AH
abadan	ɑ AK b AG ə AK d AC ɑ AK n AF
abaddon	ə AK b AG æ AK d AC n̩ BE
abaft	ə AK b AG ɑ AK f BB t AC
abaht	ə AK b AG ɑ AK t AC
abaisance	ə AK b AG e AK ɪ AK z AH ə AK n AF s AH
abaiser	ə AK b AG e AK ɪ AK s AH ɚ AK
abaisse	ə AK b AG e AK ɪ AK s AH
abaissé	ə AK b AG e AK ɪ AK s AH e AK ɪ AK
abakan	ɑ AK b AG ə AK k AC ɑ AK n AF
abalienate	æ AK b AG e AK ɪ AK l AD j AB ə AK n AF e AK ɪ AK t AC
abalienation	æ AK b AG e AK ɪ AK l AD j AB ə AK n AF e AK ɪ AK ʃ AH ə AK n AF
