'kay	ʔ kʰ e AD ɪ̯ AN
'll	ʊ AF
abode	ʔ ə AD b o AF ʊː AG d̥̚
accend	æ AD k s ɛ AD n d
accommodate	ə AD kʰ ɑ AM m ə AD d e AD ɪ AD t
accommodator	ə AD k ɑ AM m ə AD d e AD ɪ AD t ɚ BL
accordable	ə AD kʰ ɔ AF r ɾ ə AD b ɫ̩
accordantly	ə AD kʰ ɔ AF ɹ BC ɾ ɨ̞ AD n ʔ ɫ i AD
accreditation	ə AD k ɹ BC ɛ AD d ɨ AD ɾ e AD ɪ AD ʃ ə AD n
acidophilus	æ AD s ɪ AD d ɑ AM f ɪ AD l ə AD s
acknowledge	ɨ AD ɡ n ɑː BD l ɨ AD d ʒ
adam	æ AD ɾ ə AD m
added	æ AD ɾ ɪ AD d
additive	æ AD ɾ ə AD ɾ ɪ AD v
adelaide	æ AD d ɜ AD l æ AD ɪ̯ AN d
aelita	a AD ɪ̯ AN l i AD ɾ ə AD
aerose	i AD ɹ BC ə AD ʊ AF z
agglutinin	ə AD ɡ l uː AG ʔ n̩ ɪ AD n
aha	ə AD h AA ɑ AM
alacrity	ə AD l æ AD k ɹ BC ɨ AD t i AD
alder	ɑ AM l d ɚ BL
alders	ɔ AF l d ɚ BL z
alienation	e AD ɪ AD l i AD ə AD n e AD ɪ AD ʃ ə AD n
alignment	ə AD ɫ a AD ɪ AD n m ə AD n t
allergic	ə AD l ɚ BL d ʒ ɪ AD k
allergies	æ AD l ɚ BL d ʒ i AD z
allergy	æ AD l ɚ BL d ʒ i AD
alliteration	ə AD l ɪ AD ɾ ə AD ɹ BC e AD ɪ AD ʃ ə AD n
almanac	ɔ AF l m ə AD n æ AD k
alpha	æ AD ɫ f ə AD
am	ẽ ə̃ː AL m
amazing	ə AD m e AD ɪ̯ AN z ɪ AD ŋ
amity	æ AD m ɪ AD ɾ i AD
amphibious	æ AD m f ɪ AD b i AD ə AD s
analects	æ AD n ə AD l ɛ AD k t s
andrew	æ AD n d ʒ ɹ BC ʊ̈ BG u AF
angst	e AD ɪ AD ŋ k s t
angsts	e AD ɪ AD ŋ k s t s
anselm	æ AD n s ɛ AD l m
antarctica	æ AD ɾ̃ ɑ AM ɹ BC ɾ ɪ AD k ə AD
anthropomorphic	æ̃ AK n̪ θ ɹ̠ ə AD p ə AD m ɔ AF ɹ̠ f ɪ̈ AD k
antre	æ AD n ɾ ɚ BL
app	ʔ æ AD ʔ p̚
appear	ə AD pʰ i AD ɹ BC
apple	æ AD p ɫ̩
appled	æ AD p ɫ̩ d
arbitration	ɑ AM ɹ BC b ə AD t̠ ɹ̠ e AD ɪ AD ʃ n̩
aristotle	ɛ AD r ɪ AD s t ɑ AM ɾ ɫ̩
arlon	ɑː BD ɫ ɔː AG n
article	ɑː BD ɹ BC ɾ ɨ AD k ɫ
artina	ɑ AM ɹ BC tʰ i AD n ə AD
artisanal	ä ɹ BC t ə AD z æ AD n ə AD l
asked	æ AD s t
assertion	ə AD s ɚ BL ʃ n̩
atend	ə AD tʰ ɛ AD n d
attack	ə AD tʰ æ AD k
attar	æ AD t̬ ə AD ɹ BC
attend	ə AD tʰ ɛ AD n d
attic	æ AD ɾ ɪ AD k
attitude	æ AD ɾ ɪ AD t u AF d
attraction	ə AD t ʃ ɹ BC æ AD k ʃ ɪ̈ AD n
attrition	ə AD t ɹ BC ɪ AD ʃ ə AD n
aula	ɔː AG l a AD
authenticity	ɑ AM θ ɛ AD n t ɪ AD s ɪ AD ɾ i AD
auto	ɔ AF ɾ o AF ʊ AF
automate	ɒ AF ɾ o AF ʊ AF m e AD ɪ AD t
automatic	ɔ AF ɾ ə AD m æ AD ɾ ɪ AD k
autumn	ɔ AF ɾ ɪ̈ AD m
