'kay	ʔ AL kʰ AD e AM ɪ̯ AB
'll	ʊ BA
abode	ʔ AL ə AM b AH o BA ʊː BB d̥̚
accend	æ AM k AC s AJ ɛ AM n AG d AC
accommodate	ə AM kʰ AD ɑ AM m AF ə AM d AC e AM ɪ AM t AC
accommodator	ə AM k AC ɑ AM m AF ə AM d AC e AM ɪ AM t AC ɚ AM
accordable	ə AM kʰ AD ɔ BA r BD ɾ BJ ə AM b AH ɫ̩
accordantly	ə AM kʰ AD ɔ BA ɹ AB ɾ BJ ɨ̞ AM n AG ʔ AL ɫ AE i AM
accreditation	ə AM k AC ɹ AB ɛ AM d AC ɨ AM ɾ BJ e AM ɪ AM ʃ AJ ə AM n AG
acidophilus	æ AM s AJ ɪ AM d AC ɑ AM f BE ɪ AM l AE ə AM s AJ
acknowledge	ɨ AM ɡ AC n AG ɑː AN l AE ɨ AM d AC ʒ AJ
adam	æ AM ɾ BJ ə AM m AF
added	æ AM ɾ BJ ɪ AM d AC
additive	æ AM ɾ BJ ə AM ɾ BJ ɪ AM v BE
adelaide	æ AM d AC ɜ AM l AE æ AM ɪ̯ AB d AC
aelita	a AM ɪ̯ AB l AE i AM ɾ BJ ə AM
aerose	i AM ɹ AB ə AM ʊ BA z AJ
agglutinin	ə AM ɡ AC l AE uː BB ʔ AL n̩ BM ɪ AM n AG
aha	ə AM h AA ɑ AM
alacrity	ə AM l AE æ AM k AC ɹ AB ɨ AM t AC i AM
alder	ɑ AM l AE d AC ɚ AM
alders	ɔ BA l AE d AC ɚ AM z AJ
alienation	e AM ɪ AM l AE i AM ə AM n AG e AM ɪ AM ʃ AJ ə AM n AG
alignment	ə AM ɫ AE a AM ɪ AM n AG m AF ə AM n AG t AC
allergic	ə AM l AE ɚ AM d AC ʒ AJ ɪ AM k AC
allergies	æ AM l AE ɚ AM d AC ʒ AJ i AM z AJ
allergy	æ AM l AE ɚ AM d AC ʒ AJ i AM
alliteration	ə AM l AE ɪ AM ɾ BJ ə AM ɹ AB e AM ɪ AM ʃ AJ ə AM n AG
almanac	ɔ BA l AE m AF ə AM n AG æ AM k AC
alpha	æ AM ɫ AE f BE ə AM
am	ẽ ə̃ː BI m AF
amazing	ə AM m AF e AM ɪ̯ AB z AJ ɪ AM ŋ AG
amity	æ AM m AF ɪ AM ɾ BJ i AM
amphibious	æ AM m AF f BE ɪ AM b AH i AM ə AM s AJ
analects	æ AM n AG ə AM l AE ɛ AM k AC t AC s AJ
andrew	æ AM n AG d AC ʒ AJ ɹ AB ʊ̈ BA u BA
