a	a AK
aba	a AK b AH a AK
abade	a AK b AH a AK d AC e AK
abadegai	a AK b AH a AK d AC e AK ɡ AC a AK i AK
abadesa	a AK b AH a AK d AC e AK s̺ AI a AK
abadia	a AK b AH a AK d AC i AK a AK
abadiano	a AK b AH a AK d AC j AB a AK n AG o AL
abagune	a AK b AH a AK ɡ AC u AL n AG e AK
abako	a AK b AH a AK k AC o AL
abantaila	a AK b AH a AK n AG t AC a AK ʎ AE a AK
abendu	a AK b AH e AK n AG d AC u AL
abentura	a AK b AH e AK n AG t AC u AL ɾ BC a AK
abenturazale	a AK b AH e AK n AG t AC u AL ɾ BC a AK s̻ AI a AK l AE e AK
aberastasun	a AK b AH e AK ɾ BC a AK s̺ AI t AC a AK s̺ AI u AL n AG
aberats	a AK b AH e AK ɾ BC a AK t AC s̺ AI
abere	a AK b AH e AK ɾ BC e AK
aberri	a AK b AH e AK r AM i AK
abertzale	a AK b AH e AK r AM t AC s̻ AI a AK l AE e AK
abertzaletasun	a AK b AH e AK r AM t AC s̻ AI a AK l AE e AK t AC a AK s AI u AL n AG
abes	a AK b AH e AK s̺ AI
abesbatza	a AK b AH e AK s̺ AI b AH a AK t AC s̻ AI a AK
abeslari	a AK b AH e AK s AI l AE a AK ɾ BC i AK
abeste	a AK b AH e AK s̺ AI t AC e AK
abesten	a AK b AH e AK s̺ AI t AC e AK n AG
abesti	a AK b AH e AK s̺ AI t AC i AK
abestu	a AK b AH e AK s̺ AI t AC u AL
abestuko	a AK b AH e AK s̺ AI t AC u AL k AC o AL
abizen	a AK b AH i AK s̻ AI e AK n AG
abkhazera	a AK b AH x AI a AK s̻ AI e AK ɾ BC a AK
abkhazia	a AK b AH x AI a AK s̻ AI j AB a AK
abkhaziar	a AK b AH x AI a AK s̻ AI j AB a AK r AM
aboitiz	a AK b AH o AL i AK t AC i AK s̻ AI
abstraktu	a AK b AH s̺ AI t AC r AM a AK k AC t AC u AL
abundi	a AK b AH u AL n AG d AC i AK
abundio	a AK b AH u AL n AG d AC j AB o AL
aburu	a AK b AH u AL ɾ BC u AL
abuztu	a AK b AH u AL s̻ AI t AC u AL
adar	a AK d AC a AK r AM
adibide	a AK d AC i AK b AH i AK d AC e AK
adibidez	a AK d AC i AK b AH i AK d AC e AK s̻ AI
adimen	a AK d AC i AK m AF e AK n AG
adiskidetasun	a AK d AC i AK s̺ AI k AC i AK d AC e AK t AC a AK s̺ AI u AL n AG
aditu	a AK d AC i AK t AC u AL
aditz	a AK d AC i AK t AC s̻ AI
adolba	a AK d AC o AL l AE b AH a AK
adore	a AK d AC o AL ɾ BC e AK
ados	a AK d AC o AL s̺ AI
adoste	a AK d AC o AL s̺ AI t AC e AK
adosten	a AK d AC o AL s̺ AI t AC e AK n AG
adostu	a AK d AC o AL s̺ AI t AC u AL
adostuko	a AK d AC o AL s̺ AI t AC u AL k AC o AL
afari	a AK f AN a AK ɾ BC i AK
afganistan	a AK f AN ɡ AC a AK n AG i AK s̺ AI t AC a AK n AG
afganistandar	a AK f AN ɡ AC a AK n AG i AK s̺ AI t AC a AK n AG d AC a AK r AM
agate	a AK ɡ AC a AK t AC e AK
agirre	a AK ɡ AC i AK r AM e AK
agor	a AK ɡ AC o AL r AM
agorril	a AK ɡ AC o AL r AM i AK ʎ AE
agur	a AK ɡ AC u AL r AM
ahabe	ã h AA ã b AH e AK
ahabia	a AK ɦ AA a AK b AH j AB a AK
ahai	a AK h̃ BD a AK i AK
ahal	a AK ɦ AA a AK l AE
ahate	a AK ɦ AA a AK t AC e AK
ahatz	a AK h AA a AK t AC s̻ AI
ahazte	a AK h AA a AK s̻ AI t AC e AK
ahazten	a AK h AA a AK s̻ AI t AC e AK n AG
ahaztu	a AK s̻ AI t AC u AL
ahaztuko	a AK s̻ AI t AC u AL k AC o AL
ahuntz	a AK ɦ AA u AL n AG t AC s̻ AI
ainara	a AK i AK n AG a AK ɾ BC a AK
ainarba	a AK ɲ AG a AK r AM b AH a AK
ainhoa	a AK i AK n AG o AL a AK
aintzane	a AK i AK n AG t AC s̻ AI a AK n AG e AK
aise	a AK i AK s̺ AI e AK
aita	a AK i AK t AC a AK
aitatxi	a AK i AK t AC a AK t AC ʃ AI i AK
aitona	a AK i AK t AC o AL n AG a AK
aitor	a AK i AK t AC o AL r AM
aitzur	a AK i AK t AC s̻ AI u AL r AM
aizkolari	a AK i AK s̻ AI k AC o AL l AE a AK ɾ BC i AK
aizkora	a AK i AK s̻ AI k AC o AL ɾ BC a AK
aizto	a AK i AK s̻ AI t AC o AL
akelarre	a AK k AC e AK l AE a AK r AM e AK
aker	a AK k AC e AK r AM
akordeoi	a AK k AC o AL r AM d AC e AK o AL i AK
akrobata	a AK k AC r AM o AL b AH a AK t AC a AK
aktiba	a AK k AC t AC i AK b AH a AK
aktibatu	a AK k AC t AC i AK b AH a AK t AC u AL
aktibatuko	a AK k AC t AC i AK b AH a AK t AC u AL k AC o AL
aktibatze	a AK k AC t AC i AK b AH a AK t AC s̻ AI e AK
aktibatzen	a AK k AC t AC i AK b AH a AK t AC s̻ AI e AK n AG
aktore	a AK k AC t AC o AL ɾ BC e AK
alaba	a AK l AE a AK b AH a AK
alai	a AK l AE a AK i AK
albaitari	a AK l AE b AH a AK i AK t AC a AK ɾ BC i AK
albania	a AK l AE b AH a AK n AG j AB a AK
albaniar	a AK l AE b AH a AK n AG j AB a AK r AM
albaniera	a AK l AE b AH a AK n AG j AB e AK ɾ BC a AK
alda	a AK l AE d AC a AK
aldatu	a AK l AE d AC a AK t AC u AL
aldatuko	a AK l AE d AC a AK t AC u AL k AC o AL
aldatze	a AK l AE d AC a AK t AC s̻ AI e AK
aldatzen	a AK l AE d AC a AK t AC s̻ AI e AK n AG
alde	a AK l AE d AC e AK
aldizkari	a AK l AE d AC i AK s̻ AI k AC a AK ɾ BC i AK
aleman	a AK l AE e AK m AF a AK n AG
alemanera	a AK l AE e AK m AF a AK n AG e AK ɾ BC a AK
