a	a AD
aba	a AD b a AD
abade	a AD b a AD d e AD
abadegai	a AD b a AD d e AD ɡ a AD i AD
abadesa	a AD b a AD d e AD s̺ a AD
abadia	a AD b a AD d i AD a AD
abadiano	a AD b a AD d j AB a AD n o AE
abagune	a AD b a AD ɡ u AE n e AD
abako	a AD b a AD k o AE
abantaila	a AD b a AD n t a AD ʎ a AD
abendu	a AD b e AD n d u AE
abentura	a AD b e AD n t u AE ɾ a AD
abenturazale	a AD b e AD n t u AE ɾ a AD s̻ a AD l e AD
aberastasun	a AD b e AD ɾ a AD s̺ t a AD s̺ u AE n
aberats	a AD b e AD ɾ a AD t s̺
abere	a AD b e AD ɾ e AD
aberri	a AD b e AD r i AD
abertzale	a AD b e AD r t s̻ a AD l e AD
abertzaletasun	a AD b e AD r t s̻ a AD l e AD t a AD s u AE n
abes	a AD b e AD s̺
abesbatza	a AD b e AD s̺ b a AD t s̻ a AD
abeslari	a AD b e AD s l a AD ɾ i AD
abeste	a AD b e AD s̺ t e AD
abesten	a AD b e AD s̺ t e AD n
abesti	a AD b e AD s̺ t i AD
abestu	a AD b e AD s̺ t u AE
abestuko	a AD b e AD s̺ t u AE k o AE
abizen	a AD b i AD s̻ e AD n
abkhazera	a AD b x a AD s̻ e AD ɾ a AD
abkhazia	a AD b x a AD s̻ j AB a AD
abkhaziar	a AD b x a AD s̻ j AB a AD r
aboitiz	a AD b o AE i AD t i AD s̻
abstraktu	a AD b s̺ t r a AD k t u AE
abundi	a AD b u AE n d i AD
abundio	a AD b u AE n d j AB o AE
aburu	a AD b u AE ɾ u AE
abuztu	a AD b u AE s̻ t u AE
adar	a AD d a AD r
adibide	a AD d i AD b i AD d e AD
adibidez	a AD d i AD b i AD d e AD s̻
adimen	a AD d i AD m e AD n
adiskidetasun	a AD d i AD s̺ k i AD d e AD t a AD s̺ u AE n
aditu	a AD d i AD t u AE
aditz	a AD d i AD t s̻
adolba	a AD d o AE l b a AD
adore	a AD d o AE ɾ e AD
ados	a AD d o AE s̺
adoste	a AD d o AE s̺ t e AD
adosten	a AD d o AE s̺ t e AD n
adostu	a AD d o AE s̺ t u AE
adostuko	a AD d o AE s̺ t u AE k o AE
afari	a AD f a AD ɾ i AD
afganistan	a AD f ɡ a AD n i AD s̺ t a AD n
afganistandar	a AD f ɡ a AD n i AD s̺ t a AD n d a AD r
agate	a AD ɡ a AD t e AD
agirre	a AD ɡ i AD r e AD
agor	a AD ɡ o AE r
agorril	a AD ɡ o AE r i AD ʎ
agur	a AD ɡ u AE r
ahabe	ã h AA ã b e AD
ahabia	a AD ɦ AA a AD b j AB a AD
ahai	a AD h̃ AH a AD i AD
ahal	a AD ɦ AA a AD l
ahate	a AD ɦ AA a AD t e AD
ahatz	a AD h AA a AD t s̻
ahazte	a AD h AA a AD s̻ t e AD
ahazten	a AD h AA a AD s̻ t e AD n
ahaztu	a AD s̻ t u AE
ahaztuko	a AD s̻ t u AE k o AE
ahuntz	a AD ɦ AA u AE n t s̻
ainara	a AD i AD n a AD ɾ a AD
ainarba	a AD ɲ a AD r b a AD
ainhoa	a AD i AD n o AE a AD
aintzane	a AD i AD n t s̻ a AD n e AD
aise	a AD i AD s̺ e AD
aita	a AD i AD t a AD
aitatxi	a AD i AD t a AD t ʃ i AD
aitona	a AD i AD t o AE n a AD
aitor	a AD i AD t o AE r
aitzur	a AD i AD t s̻ u AE r
aizkolari	a AD i AD s̻ k o AE l a AD ɾ i AD
aizkora	a AD i AD s̻ k o AE ɾ a AD
aizto	a AD i AD s̻ t o AE
akelarre	a AD k e AD l a AD r e AD
aker	a AD k e AD r
akordeoi	a AD k o AE r d e AD o AE i AD
akrobata	a AD k r o AE b a AD t a AD
aktiba	a AD k t i AD b a AD
aktibatu	a AD k t i AD b a AD t u AE
aktibatuko	a AD k t i AD b a AD t u AE k o AE
aktibatze	a AD k t i AD b a AD t s̻ e AD
aktibatzen	a AD k t i AD b a AD t s̻ e AD n
aktore	a AD k t o AE ɾ e AD
alaba	a AD l a AD b a AD
alai	a AD l a AD i AD
albaitari	a AD l b a AD i AD t a AD ɾ i AD
albania	a AD l b a AD n j AB a AD
albaniar	a AD l b a AD n j AB a AD r
albaniera	a AD l b a AD n j AB e AD ɾ a AD
alda	a AD l d a AD
aldatu	a AD l d a AD t u AE
aldatuko	a AD l d a AD t u AE k o AE
aldatze	a AD l d a AD t s̻ e AD
aldatzen	a AD l d a AD t s̻ e AD n
alde	a AD l d e AD
aldizkari	a AD l d i AD s̻ k a AD ɾ i AD
aleman	a AD l e AD m a AD n
alemanera	a AD l e AD m a AD n e AD ɾ a AD
alemania	a AD l e AD m a AD n j AB a AD
alemaniar	a AD l e AD m a AD n j AB a AD r
alkandora	a AD l k a AD n d o AE ɾ a AD
alkandorak	a AD l k a AD n d o AE ɾ a AD k
alkandorek	a AD l k a AD n d o AE ɾ e AD k
alkate	a AD l k a AD t e AD
alkohol	a AD l k o AE ɦ AA o AE l
alkohola	a AD l k o AE ɦ AA o AE l a AD
alkoholan	a AD l k o AE ɦ AA o AE l a AD n
alkoholen	a AD l k o AE ɦ AA o AE l e AD n
alkoholi	a AD l k o AE ɦ AA o AE l i AD
alkoholik	a AD l k o AE ɦ AA o AE l i AD k
altxoin	a AD l t ʃ o AE i AD ɲ
altxor	a AD l t ʃ o AE r
aluminio	a AD l u AE m i AD n j AB o AE
ama	a AD m a AD
amaraun	a AD m a AD ɾ a AD u AE n
amatasun	a AD m a AD t a AD s̺ u AE n
amesgaizto	a AD m e AD s̺ ɡ a AD i AD s̻ t o AE
amets	a AD m e AD t s̺
ametz	a AD m e AD t s̻
anana	a AD n a AD n a AD
andaia	a AD n d a AD j AB a AD
ander	a AD n d e AD r
andereño	a AD n d e AD ɾ e AD ɲ o AE
andorra	a AD n d o AE r a AD
andorratar	a AD n d o AE r a AD t a AD r
andorratarra	a AD n d o AE r a AD t a AD r a AD
andorratarrak	a AD n d o AE r a AD t a AD r a AD k
andorratarraren	a AD n d o AE r a AD t a AD r a AD ɾ e AD n
andorratarrari	a AD n d o AE r a AD t a AD r a AD ɾ i AD
andorratarrei	a AD n d o AE r a AD t a AD r e AD i AD
andorratarrek	a AD n d o AE r a AD t a AD r e AD k
andorratarren	a AD n d o AE r a AD t a AD r e AD n
andorratarri	a AD n d o AE r a AD t a AD r i AD
angola	a AD n ɡ o AE l a AD
animalia	a AD n i AD m a AD l i AD a AD
anime	a AD n i AD m e AD
anker	a AD n k e AD r
antartika	a AD n t a AD r t i AD k a AD
antigua	a AD n t i AD ɡ w AC a AD
antton	a AD n t ʃ o AE n
antxeta	a AD n t ʃ e AD t a AD
antxieta	a AD n t ʃ j AB e AD t a AD
antzara	a AD n t s̻ a AD ɾ a AD
apaiz	a AD p a AD i AD s̻
apaizgai	a AD p a AD i AD s̻ ɡ a AD i AD
apar	a AD p a AD r
apez	a AD p e AD s̻
apiril	a AD p i AD ɾ i AD ʎ
apo	a AD p o AE
aprobetxategi	a AD p r o AE b e AD t ʃ a AD t e AD ɡ i AD
araba	a AD ɾ a AD b a AD
arabiera	a AD ɾ a AD b j AB e AD ɾ a AD
arabisagar	a AD ɾ a AD b i AD s̺ a AD ɡ a AD r
aramu	a AD ɾ a AD m u AE
aran	a AD ɾ a AD n
aranondo	a AD ɾ a AD n o AE n d o AE
arbola	a AD r b o AE l a AD
ardi	a AD r d i AD
ardo	a AD r d o AE
arellano	a AD ɾ e AD ʎ a AD n o AE
argi	a AD r ɡ i AD
argitsu	a AD r ɡ i AD t s̺ u AE
aristotele	a AD ɾ i AD s̺ t o AE t e AD l e AD
aritz	a AD ɾ i AD t s̻
armenia	a AD r m e AD n j AB a AD
armeniar	a AD r m e AD n j AB a AD r
armeniera	a AD r m e AD n j AB e AD ɾ a AD
