aa	ɑː AE
aada	ɑː AE d ɑ AD
aadolf	ɑː AE d o̞ AF l f
aah	ɑː AE h AA
aake	ɑː AE k e̞ AD
aakkonen	ɑː AE kː o̞ AF n e̞ AD n
aakkosellinen	ɑː AE kː o̞ AF s̠ e̞ AD lː i AD n e̞ AD n
aakkosellisuuden	ɑː AE kː o̞ AF s̠ e̞ AD lː i AD s̠ uː AG d e̞ AD n
aakkosen	ɑː AE kː o̞ AF s̠ e̞ AD n
aakkoset	ɑː AE kː o̞ AF s̠ e̞ AD t̪
aakkosjärjestys	ɑː AE kː o̞ AF s̠ j AB æ AD r j AB e̞ AD s̠ t̪ y AF s̠
aakkoslukko	ɑː AE kː o̞ AF s̠ l u AF kː o̞ AF
aakkosnimi	ɑː AE kː o̞ AF s̠ n i AD m i AD
aakkosnumeerinen	ɑː AE kː o̞ AF s̠ n u AF m e̞ː AE r i AD n e̞ AD n
aakkosta	ɑː AE kː o̞ AF s̠ t̪ ɑ AD ʔ
aakkostaa	ɑː AE kː o̞ AF s̠ t̪ ɑː AE ʔ
aakkostaminen	ɑː AE kː o̞ AF s̠ t̪ ɑ AD m i AD n e̞ AD n
aakkoston	ɑː AE kː o̞ AF s̠ t̪ o̞ AF n
aakkostuksen	ɑː AE kː o̞ AF s̠ t̪ u AF k s̠ e̞ AD n
aalloittaisuuden	ɑː AE lː o̞ AF i̯ AB t̪ t̪ ɑ AD i̯ AB s̠ uː AG d e̞ AD n
aallokas	ɑː AE lː o̞ AF k ɑ AD s̠
aallokkoinen	ɑː AE lː o̞ AF k k o̞ AF i̯ AB n e̞ AD n
aallonmurtaja	ɑː AE lː o̞ AF m m u AF r t̪ ɑ AD j AB ɑ AD
aallot	ɑː AE lː o̞ AF t̪
aallota	ɑː AE lː o̞ AF t̪ ɑ AD ʔ
aallotar	ɑː AE lː o̞ AF t̪ ɑ AD r
aallottaa	ɑː AE lː o̞ AF t̪ː ɑː AE ʔ
aallotuskartonki	ɑː AE lː o̞ AF t̪ u AF s̠ k ɑ AD r t̪ o̞ AF ŋ k i AD
aaloe	ɑː AE l o̞ AF e̞ AD
aalto	ɑː AE l t̪ o̞ AF
aaltoa	ɑː AE l t̪ o̞ AF ɑ AD ʔ
aaltoaminen	ɑː AE l t̪ o̞ AF ɑ AD m i AD n e̞ AD n
aaltoileminen	ɑː AE l t̪ o̞ AF i̯ AB l e̞ AD m i AD n e̞ AD n
aaltoileva	ɑː AE l t̪ o̞ AF i̯ AB l e̞ AD ʋ AC ɑ AD
aaltoilla	ɑː AE l t̪ o̞ AF i̯ AB lː ɑ AD ʔ
aaltoillen	ɑː AE l t̪ o̞ AF i̯ AB lː e̞ AD n
aaltoimpedanssi	ɑː AE l t̪ o̞ AF i AD m p e̞ AD d ɑ AD n s̠ː i AD
aaltonauha	ɑː AE l t̪ o̞ AF n ɑ AD u̯ AC ɦ AA ɑ AD
aaltopaketti	ɑː AE l t̪ o̞ AF p ɑ AD k e̞ AD t̪ː i AD
aaltoputki	ɑː AE l t̪ o̞ AF p u AF t̪ k i AD
aaltoryhmä	ɑː AE l t̪ o̞ AF r y AF ç m æ AD
aaltosulku	ɑː AE l t̪ o̞ AF s̠ u AF l k u AF
aaltoviiva	ɑː AE l t̪ o̞ AF ʋ AC iː AE ʋ AC ɑ AD
aaltovoima	ɑː AE l t̪ o̞ AF ʋ AC o̞ AF i̯ AB m ɑ AD
aamen	ɑː AE m e̞ AD n
aami	ɑː AE m i AD
aamiainen	ɑː AE m i AD ɑ AD i̯ AB n e̞ AD n
aamiaismajoitus	ɑː AE m i AD ɑ AD i̯ AB s̠ m ɑ AD j AB o̞ AF i̯ AB t̪ u AF s̠
aamiaistaa	ɑː AE m i AD ɑ AD i̯ AB s̠ t̪ ɑː AE ʔ
aamu	ɑː AE m u AF
aamuhämärä	ɑː AE m u AF h AA æ AD m æ AD r æ AD
aamuinen	ɑː AE m u AF i̯ AB n e̞ AD n
aamuisin	ɑː AE m u AF i̯ AB s̠ i AD n
aamukahvi	ɑː AE m u AF k ɑ AD x ʋ AC i AD
aamukaksi	ɑː AE m u AF k ɑ AD k s̠ i AD
aamukaksitoista	ɑː AE m u AF k ɑ AD k s̠ i AD t̪ o̞ AF i̯ AB s̠ t̪ ɑ AD
aamukolme	ɑː AE m u AF k o̞ AF l m e̞ AD
aamukuusi	ɑː AE m u AF k uː AG s̠ i AD
aamukymmenen	ɑː AE m u AF k y AF mː e̞ AD n e̞ AD n
aamulepakko	ɑː AE m u AF l e̞ AD p ɑ AD kː o̞ AF
aamuneljä	ɑː AE m u AF n e̞ AD l j AB æ AD
aamupala	ɑː AE m u AF p ɑ AD l ɑ AD
aamupesu	ɑː AE m u AF p e̞ AD s̠ u AF
aamupuuro	ɑː AE m u AF p uː AG r o̞ AF
aamupäivä	ɑː AE m u AF p æ AD i̯ AB ʋ AC æ AD
aamuseitsemän	ɑː AE m u AF s̠ e̞ AD i̯ AB t s̠ e̞ AD m æ AD n
aamutee	ɑː AE m u AF t̪ e̞ː AE
aamutuimaan	ɑː AE m u AF t̪ u AF i̯ AB m ɑː AE n
aamutyö	ɑː AE m u AF t̪ y AF ø̞̯
aamutähti	ɑː AE m u AF t̪ æ AD h AA t̪ i AD
aamuviisi	ɑː AE m u AF ʋ AC iː AE s̠ i AD
aamuvuoro	ɑː AE m u AF ʋ AC u AF o̞̯ r o̞ AF
aamuyhdeksän	ɑː AE m u AF y AF ç d e̞ AD k s̠ æ AD n
aamuyksi	ɑː AE m u AF y AF k s̠ i AD
aamuyksitoista	ɑː AE m u AF y AF k s̠ i AD t̪ o̞ AF i̯ AB s̠ t̪ ɑ AD
aamuyö	ɑː AE m u AF y AF ø̞̯
aapa	ɑː AE p ɑ AD
aapasara	ɑː AE p ɑ AD s̠ ɑ AD r ɑ AD
aapasuo	ɑː AE p ɑ AD s̠ u AF o̞̯
aapeli	ɑː AE p e̞ AD l i AD
aapinen	ɑː AE p i AD n e̞ AD n
aapiskirja	ɑː AE p i AD s̠ k i AD r j AB ɑ AD
aapo	ɑː AE p o̞ AF
aappo	ɑː AE pː o̞ AF
aaretti	ɑː AE r e̞ AD t̪ː i AD
aari	ɑː AE r i AD
aaria	ɑː AE r i AD ɑ AD
aarne	ɑː AE r n e̞ AD
aarni	ɑː AE r n i AD
aarnialue	ɑː AE r n i AD ɑ AD l u AF e̞ AD ʔ
aarnikotka	ɑː AE r n i AD k o̞ AF t̪ k ɑ AD
aarnio	ɑː AE r n i AD o̞ AF
aarniometsä	ɑː AE r n i AD o̞ AF m e̞ AD t s̠ æ AD
aarno	ɑː AE r n o̞ AF
aaro	ɑː AE r o̞ AF
aaron	ɑː AE r o̞ AF n
