'tain	t ɛ̃ AM
a	ɔ AF
aa	a AC a AC
aalandaise	a AC a AC l ɑ̃ BB d ɛ AD z
aalénien	a AC l e AD n j AA ɛ̃ AM
aaron	a AC a AC ʁ ɔ̃ BA
aaronaise	a AC a AC ʁ ɔ AF n ɛ AD z
aastaise	a AC a AC s t ɛ AD z
ababouiné	a AC b a AC b w AB i AE n e AD
abaca	a AC b ɑ AK k ɑ AK
abacost	a AC b a AC k ɔ AF s t
abactérienne	a AC b a AC k t e AD ʁ j AA ɛ AD n
abacule	a AC b a AC k y AH l
abader	a AC b a AC d e AD
abainvilloise	a AC b ɛ̃ AM v i AE j AA w AB a AC z
abaissable	a AC b ɛː AL s a AC b l
abaissables	a AC b ɛː AL s a AC b l
abaissant	a AC b ɛː AL s ɑ̃ BB
abaissants	a AC b ɛː AL s ɑ̃ BB
abaisse	a AC b ɛː AL s
abaissement	a AC b ɛ AD s m ɑ̃ BB
abaissements	a AC b ɛ AD s m ɑ̃ BB
abaisser	a AC b ɛː AL s e AD
abaisseur	a AC b ɛ AD s œ AI ʁ
abaisseurs	a AC b ɛː AL s œ AI ʁ
abaissé	a AC b e AD s e AD
abajoue	a AC b a AC ʒ u AG
abalone	a AC b a AC l ɔ AF n
abalourdir	a AC b a AC l u AG ʁ d i AE ʁ
abancourtoise	a AC b ɑ̃ BB k u AG ʁ t w AB a AC z
abandon	a AC b ɑ̃ BB d ɔ̃ BA
abandonner	a AC b ɑ̃ BB d ɔ AF n e AD
abandonneur	a AC b ɑ̃ BB d ɔ AF n œ AI ʁ
abandouner	a AC b ɑ̃ BB d u AG n e AD
abaque	a AC b a AC k
abasie	a AC b a AC z i AE
abasourdir	a AC b a AC z u AG ʁ d i AE ʁ
abasourdira	a AC b a AC z u AG ʁ d i AE ʁ a AC
abasourdirai	a AC b a AC z u AG ʁ d i AE ʁ e AD
abasourdiraient	a AC b a AC z u AG ʁ d i AE ʁ ɛ AD
abasourdirais	a AC b a AC z u AG ʁ d i AE ʁ ɛ AD
abasourdirait	a AC b a AC z u AG ʁ d i AE ʁ ɛ AD
abasourdiras	a AC b a AC z u AG ʁ d i AE ʁ ɑ AK
abasourdirent	a AC b a AC z u AG ʁ d i AE ʁ
abasourdirez	a AC b a AC z u AG ʁ d i AE ʁ e AD
abasourdiriez	a AC b a AC z u AG ʁ d i AE ʁ j AA e AD
abasourdirions	a AC b a AC z u AG ʁ d i AE ʁ j AA ɔ̃ BA
abasourdirons	a AC b a AC z u AG ʁ d i AE ʁ ɔ̃ BA
abasourdiront	a AC b a AC z u AG ʁ d i AE ʁ ɔ̃ BA
abasourdissaient	a AC b a AC z u AG ʁ d i AE s ɛ AD
abasourdissais	a AC b a AC z u AG ʁ d i AE s ɛ AD
abasourdissait	a AC b a AC z u AG ʁ d i AE s ɛ AD
abasourdissant	a AC b a AC z u AG ʁ d i AE s ɑ̃ BB
abasourdisse	a AC b a AC z u AG ʁ d i AE s
abasourdissement	a AC b a AC z u AG ʁ d i AE s m ɑ̃ BB
abasourdissent	a AC b a AC z u AG ʁ d i AE s
abasourdisses	a AC b a AC z u AG ʁ d i AE s
abasourdissez	a AC b a AC z u AG ʁ d i AE s e AD
abasourdissiez	a AC b a AC z u AG ʁ d i AE s j AA e AD
abasourdissions	a AC b a AC z u AG ʁ d i AE s j AA ɔ̃ BA
abasourdissons	a AC b a AC z u AG ʁ d i AE s ɔ̃ BA
abasourdit	a AC b a AC z u AG ʁ d i AE
abasourdîmes	a AC b a AC z u AG ʁ d i AE m
abasourdît	a AC b a AC z u AG ʁ d i AE
abasourdîtes	a AC b a AC z u AG ʁ d i AE t
abat	a AC b a AC
abattage	a AC b a AC t a AC ʒ
abattement	a AC b a AC t m ɑ̃ BB
abatteur	a AC b a AC t œ AI ʁ
abatteurs	a AC b a AC t œ AI ʁ
abatteuse	a AC b a AC t ø AI z
abattis	a AC b a AC t i AE
abattoir	a AC b a AC t w AB a AC ʁ
abattre	a AC b a AC t ʁ
abaxial	a AC b a AC k s j AA a AC l
abaya	a AC b a AC j AA a AC
abbaroise	a AC b a AC ʁ w AB a AC z
abbasside	a AC b a AC s i AE d
abbatial	a AC b a AC s j AA a AC l
abbaye	a AC b ɛ AD i AE
abbecourtoise	a AC b k u AG ʁ t w AB a AC z
abbenanaise	a AC b e AD n a AC n ɛ AD z
abbesse	a AC b ɛ AD s
abbeville	b e AD v i AE l
abbevillois	a AC b v i AE l w AB a AC
abbevilloise	a AC b v i AE l w AB a AC z
abby	a AC b i AE
abbé	a AC b e AD
abbécourtoise	a AC b e AD k u AG ʁ t w AB a AC z
abc	a AC b e AD s e AD
abcès	a AC p s ɛ AD
abcéder	a AC p s e AD d e AD
abdias	a AC b d j AA ɑ AK
abdication	a AC b d i AE k a AC s j AA ɔ̃ BA
abdicatives	a AC b d i AE k a AC t i AE v
abdique	a AC b d i AE k
abdiquer	a AC b d i AE k e AD
abdiques	a AC b d i AE k
abdo	a AC b d o AF
abdomen	a AC b d ɔ AF m ɛ AD n
abdominal	a AC b d ɔ AF m i AE n a AC l
abdominale	a AC b d ɔ AF m i AE n a AC l
abdominales	a AC b d ɔ AF m i AE n a AC l
abdominaux	a AC b d ɔ AF m i AE n o AF
abdos	a AC b d o AF
abdoul	a AC b d u AG l
abdoulaye	a AC b d u AG l a AC i AE
abdoulla	a AC b d u AG l a AC
abducteur	a AC b d y AH k t œ AI ʁ
abductif	a AC b d y AH k t i AE f
abduction	a AC b d y AH k s j AA ɔ̃ BA
abductions	a AC b d y AH k s j AA ɔ̃ BA
abeau	a AC b o AF
abeilardiser	a AC b ɛ AD l a AC ʁ d i AE z e AD
abeille	a AC b ɛː AL j AA
abeilles	a AC b ɛ AD j AA
abeillée	a AC b ɛ AD j AA e AD
abel	a AC b ɛ AD l
abelin	a AC b l ɛ̃ AM
abelone	a AC b l ɔ AF n
aberdeen	a AC b ɛ AD ʁ d i AE n
aberra	a AC b ɛ AD ʁ a AC
aberrai	a AC b ɛ AD ʁ e AD
aberraient	a AC b ɛ AD ʁ ɛ AD
aberrais	a AC b ɛ AD ʁ ɛ AD
aberrait	a AC b ɛ AD ʁ ɛ AD
aberrance	a AC b ɛ AD ʁ ɑ̃ BB s
aberrant	a AC b ɛ AD ʁ ɑ̃ BB
aberrante	a AC b ɛ AD ʁ ɑ̃ BB t
aberrantes	a AC b ɛ AD ʁ ɑ̃ BB t
