अ	ə AG
अँ	ə̃ AG
अँगड़ाई	ə AG ŋ AB ɡ AB ɽ AJ ɑː AG iː AG
अँगरेज़	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB
अँगरेज़ी	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB iː AG
अँगहीन	ə AG ŋ AB ɡʱ AC iː AG n AB
अँगिया	ə AG ŋ AB ɡ AB ɪ AG j AA ɑː AG
अँगीठी	ə AG ŋ AB ɡ AB iː AG ʈʰ AC iː AG
अँगूठी	ə AG ŋ AB ɡ AB uː AH ʈʰ AC iː AG
अँग्रेज़	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB
अँग्रेज़ी	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB iː AG
अँटना	ə AG ɳ AB ʈ AB n AB ɑː AG
अँतड़ी	ə AG n AB t̪ AB ɽ AJ iː AG
अं	ə̃ AG
अंक	ə AG ŋ AB k AB
अंकगणित	ə AG ŋ AB k AB ɡ AB ə AG ɳ AB ɪ AG t̪ AB
अंकन	ə AG ŋ AB k AB ə AG n AB
अंकनी	ə AG ŋ AB k AB n AB iː AG
अंकल	ə AG ŋ AB k AB ə AG l AD
अंकारा	ə AG ŋ AB k AB ɑː AG ɾ AJ ɑː AG
अंकित	ə AG ŋ AB k AB ɪ AG t̪ AB
अंकुर	ə AG ŋ AB k AB ʊ AH ɾ AJ
अंकुरित	ə AG ŋ AB k AB ʊ AH ɾ AJ ɪ AG t̪ AB
अंकुश	ə AG ŋ AB k AB ʊ AH ʃ AB
अंग	ə AG ŋ AB ɡ AB
अंगच्छेद	ə AG ŋ AB ɡ AB ə AG t AB ʃ AB t AB ʃʰ AC eː AG d̪ AB
अंगड़ाई	ə AG ŋ AB ɡ AB ɽ AJ ɑː AG iː AG
अंगदान	ə AG ŋ AB ɡ AB d̪ AB ɑː AG n AB
अंगन	ə AG ŋ AB ɡ AB ə AG n AB
अंगना	ə AG ŋ AB ɡ AB ə AG n AB ɑː AG
अंगसंग	ə AG ŋ AB ɡ AB s AB ə AG ŋ AB ɡ AB
अंगहीन	ə AG ŋ AB ɡʱ AC iː AG n AB
अंगार	ə AG ŋ AB ɡ AB ɑː AG ɾ AJ
अंगारा	ə AG ŋ AB ɡ AB ɑː AG ɾ AJ ɑː AG
अंगिया	ə AG ŋ AB ɡ AB ɪ AG j AA ɑː AG
अंगीकार	ə AG ŋ AB ɡ AB iː AG k AB ɑː AG ɾ AJ
अंगुल	ə AG ŋ AB ɡ AB ʊ AH l AD
अंगुली	ə AG ŋ AB ɡ AB ʊ AH l AD iː AG
अंगूठा	ə AG ŋ AB ɡ AB uː AH ʈʰ AC ɑː AG
अंगूठी	ə AG ŋ AB ɡ AB uː AH ʈʰ AC iː AG
अंगूर	ə AG ŋ AB ɡ AB uː AH ɾ AJ
अंगूरी	ə AG ŋ AB ɡ AB uː AH ɾ AJ iː AG
अंगोछा	ə AG ŋ AB ɡ AB oː AH t AB ʃʰ AC ɑː AG
अंगोट	ə AG ŋ AB ɡ AB oː AH ʈ AB
अंगोला	ə AG ŋ AB ɡ AB oː AH l AD ɑː AG
अंग्रेज	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB
