अ	ə AF
अँ	ə̃ AJ
अँगड़ाई	ə AF ŋ ɡ ɽ ɑː AB iː AB
अँगरेज़	ə AF ŋ ɡ ɾ eː AB z
अँगरेज़ी	ə AF ŋ ɡ ɾ eː AB z iː AB
अँगहीन	ə AF ŋ ɡʱ iː AB n
अँगिया	ə AF ŋ ɡ ɪ AF j AA ɑː AB
अँगीठी	ə AF ŋ ɡ iː AB ʈʰ iː AB
अँगूठी	ə AF ŋ ɡ uː AC ʈʰ iː AB
अँग्रेज़	ə AF ŋ ɡ ɾ eː AB z
अँग्रेज़ी	ə AF ŋ ɡ ɾ eː AB z iː AB
अँटना	ə AF ɳ ʈ n ɑː AB
अँतड़ी	ə AF n t̪ ɽ iː AB
अं	ə̃ AJ
अंक	ə AF ŋ k
अंकगणित	ə AF ŋ k ɡ ə AF ɳ ɪ AF t̪
अंकन	ə AF ŋ k ə AF n
अंकनी	ə AF ŋ k n iː AB
अंकल	ə AF ŋ k ə AF l
अंकारा	ə AF ŋ k ɑː AB ɾ ɑː AB
अंकित	ə AF ŋ k ɪ AF t̪
अंकुर	ə AF ŋ k ʊ AD ɾ
अंकुरित	ə AF ŋ k ʊ AD ɾ ɪ AF t̪
अंकुश	ə AF ŋ k ʊ AD ʃ
अंग	ə AF ŋ ɡ
अंगच्छेद	ə AF ŋ ɡ ə AF t ʃ t ʃʰ eː AB d̪
अंगड़ाई	ə AF ŋ ɡ ɽ ɑː AB iː AB
अंगदान	ə AF ŋ ɡ d̪ ɑː AB n
अंगन	ə AF ŋ ɡ ə AF n
अंगना	ə AF ŋ ɡ ə AF n ɑː AB
अंगसंग	ə AF ŋ ɡ s ə AF ŋ ɡ
अंगहीन	ə AF ŋ ɡʱ iː AB n
अंगार	ə AF ŋ ɡ ɑː AB ɾ
अंगारा	ə AF ŋ ɡ ɑː AB ɾ ɑː AB
अंगिया	ə AF ŋ ɡ ɪ AF j AA ɑː AB
अंगीकार	ə AF ŋ ɡ iː AB k ɑː AB ɾ
अंगुल	ə AF ŋ ɡ ʊ AD l
अंगुली	ə AF ŋ ɡ ʊ AD l iː AB
अंगूठा	ə AF ŋ ɡ uː AC ʈʰ ɑː AB
अंगूठी	ə AF ŋ ɡ uː AC ʈʰ iː AB
अंगूर	ə AF ŋ ɡ uː AC ɾ
अंगूरी	ə AF ŋ ɡ uː AC ɾ iː AB
अंगोछा	ə AF ŋ ɡ oː AC t ʃʰ ɑː AB
अंगोट	ə AF ŋ ɡ oː AC ʈ
अंगोला	ə AF ŋ ɡ oː AC l ɑː AB
अंग्रेज	ə AF ŋ ɡ ɾ eː AB z
अंग्रेज़	ə AF ŋ ɡ ɾ eː AB z
अंग्रेज़ियत	ə AF ŋ ɡ ɾ eː AB z ɪ AF j AA ə AF t̪
अंग्रेज़ी	ə AF ŋ ɡ ɾ eː AB z iː AB
अंग्रेजी	ə AF ŋ ɡ ɾ eː AB z iː AB
अंचल	ə AF n t ʃ ə AF l
अंछर	ə AF n t ʃʰ ə AF ɾ
अंजन	ə AF n d ʒ ə AF n
अंजाम	ə AF n d ʒ ɑː AB m
अंजीर	ə AF n d ʒ iː AB ɾ
अंजु	ə AF n d ʒ uː AC
अंटार्कटिका	ə AF ɳ ʈ ɑː AB ɾ k ʈ ɪ AF k ɑː AB
अंटार्टिका	ə AF ɳ ʈ ɑː AB ɾ ʈ ɪ AF k ɑː AB
अंडकोष	ə AF ɳ ɖ k oː AC ʂ
अंडमान	ə AF ɳ ɖ m ɑː AB n
अंडा	ə AF ɳ ɖ ɑː AB
अंडोरा	ə AF ɳ ɖ oː AC ɾ ɑː AB
अंत	ə AF n t̪
अंतःक्षेप	ə AF n t̪ ə AF ɦ AE k ʂ eː AB p
अंतड़ी	ə AF n t̪ ɽ iː AB
अंतर	ə AF n t̪ ə AF ɾ
अंतरंगता	ə AF n t̪ ə AF ɾ ə AF ŋ ɡ t̪ ɑː AB
अंतरजाल	ə AF n t̪ ə AF ɾ d ʒ ɑː AB l
अंतरण	ə AF n t̪ ɾ ə AF ɳ
अंतरराष्ट्रीयता	ə AF n t̪ ə AF ɾ ɾ ɑː AB ʂ ʈ ɾ iː AB j AA t̪ ɑː AB
अंतरा	ə AF n t̪ ɾ ɑː AB
अंतराल	ə AF n t̪ ə AF ɾ ɑː AB l
अंतरिक्ष	ə AF n t̪ ɾ ɪ AF k ʂ
अंतरिम	ə AF n t̪ ɾ ɪ AF m
अंतर्कालीन	ə AF n t̪ ə AF ɾ k ɑː AB l iː AB n
अंतर्गत	ə AF n t̪ ə AF ɾ ɡ ə AF t̪
अंतर्जाल	ə AF n t̪ ə AF ɾ d ʒ ɑː AB l
अंतर्धान	ə AF n t̪ ə AF ɾ d̪ʱ ɑː AB n
अंतर्निहित	ə AF n t̪ ə AF ɾ n ɪ AF ɦ AE ɪ AF t̪
अंतर्वासी	ə AF n t̪ ə AF ɾ ʋ AI ɑː AB s iː AB
अंताक्षरी	ə AF n t̪ ɑː AB k ʂ ə AF ɾ iː AB
अंतिम	ə AF n t̪ ɪ AF m
अंत्येष्टि	ə AF n t̪ j AA eː AB ʂ ʈ iː AB
अंदर	ə AF n d̪ ə AF ɾ
अंदाज	ə AF n d̪ ɑː AB z
अंदाज़	ə AF n d̪ ɑː AB z
अंदाज़ा	ə AF n d̪ ɑː AB z ɑː AB
अंधड़	ə AF n d̪ʱ ə AF ɽ
अंधविश्वास	ə AF n d̪ʱ ʋ AI ɪ AF ʃ ʋ AI ɑː AB s
अंधा	ə AF n d̪ʱ ɑː AB
अंधाधुंध	ə AF n d̪ʱ ɑː AB d̪ʱ ʊ AD n d̪ʱ
अंधेरा	ə AF n d̪ʱ eː AB ɾ ɑː AB
अंबर	ə AF m b ə AF ɾ
अंबा	ə AF m b ɑː AB
अंबु	ə AF m b uː AC
अंश	ə AF n ʃ
अंशकालिक	ə AF n ʃ k ɑː AB l ɪ AF k
अंशतः	ə AF n ʃ t̪ ə AF ɦ AE
अंशुक	ə AF n ʃ ʊ AD k
अः	ə AF ɦ AE
अए	ə AF eː AB
अक	ə AF k
अकड़	ə AF k ə AF ɽ
अकड़न	ə AF k ɽ ə AF n
अकड़ना	ə AF k ə AF ɽ n ɑː AB
अकर्म	ə AF k ə AF ɾ m
अकर्मक	ə AF k ə AF ɾ m ə AF k
अकर्मण्यता	ə AF k ə AF ɾ m ə AF ɳ j AA ə AF t̪ ɑː AB
अकस्मात्	ə AF k ə AF s m ɑː AB t̪
अक़्ल	ə AF q ə AF l
अक़्लमंद	ə AF q ə AF l m ə AF n d̪
अकाज	ə AF k ɑː AB d ʒ
अकादमिक	ə AF k ɑː AB d̪ m ɪ AF k
अकादमी	ə AF k ɑː AB d̪ m iː AB
अकारण	ə AF k ɑː AB ɾ ə AF ɳ
अकारथ	ə AF k ɑː AB ɾ ə AF t̪ʰ
अकाल	ə AF k ɑː AB l
अकूत	ə AF k uː AC t̪
अकेला	ə AF k eː AB l ɑː AB
अकेलापन	ə AF k eː AB l ɑː AB p ə AF n
अक्खड़	ə AF k kʰ ə AF ɽ
अक्खा	ə AF k kʰ ɑː AB
अक्टूबर	ə AF k ʈ uː AC b ə AF ɾ
अक्तूबर	ə AF k t̪ uː AC b ə AF ɾ
अक्षत	ə AF k ʂ ə AF t̪
अक्षय	ə AF k ʃ ə AF j AA
अक्षर	ə AF k ʂ ə AF ɾ
अक्षरारंभ	ə AF k ʂ ə AF ɾ ɑː AB ɾ ə AF m bʱ
अक्स	ə AF k s
अक्सर	ə AF k s ə AF ɾ
अखंड	ə AF kʰ ə AF ɳ ɖ
अखंडता	ə AF kʰ ə AF ɳ ɖ t̪ ɑː AB
अखबार	ə AF x b ɑː AB ɾ
अखरना	ə AF kʰ ə AF ɾ n ɑː AB
अखरोट	ə AF x ɾ oː AC ʈ
अख़बार	ə AF x b ɑː AB ɾ
अख़बारवाला	ə AF x b ɑː AB ɾ ʋ AI ɑː AB l ɑː AB
अख़रोट	ə AF x ɾ oː AC ʈ
अखाड़ा	ə AF kʰ ɑː AB ɽ ɑː AB
अखिल	ə AF kʰ ɪ AF l
अखिलेश	ə AF kʰ ɪ AF l eː AB ʃ
अगणित	ə AF ɡ ə AF ɳ ɪ AF t̪
अगर	ə AF ɡ ə AF ɾ
अगरचे	ə AF ɡ ə AF ɾ t ʃ eː AB
अगरतला	ə AF ɡ ə AF ɾ t̪ ə AF l ɑː AB
अगरबत्ती	ə AF ɡ ə AF ɾ b ə AF t̪ t̪ iː AB
अगला	ə AF ɡ l ɑː AB
अगवानी	ə AF ɡ ʋ AI ɑː AB n iː AB
अगस्त	ə AF ɡ ə AF s t̪
अगाऊ	ə AF ɡ ɑː AB uː AC
अगिन	ə AF ɡ ɪ AF n
अगुआ	ə AF ɡ ʊ AD ɑː AB
अग्नि	ə AF ɡ n iː AB
अग्निपरीक्षा	ə AF ɡ n ɪ AF p ə AF ɾ iː AB k ʂ ɑː AB
अग्निशामक	ə AF ɡ n ɪ AF ʃ ɑː AB m ə AF k
अग्न्याशय	ə AF ɡ n j AA ɑː AB ʃ ə AF j AA
अग्रज	ə AF ɡ ɾ ə AF d ʒ
अग्रहायण	ə AF ɡ ɾ ə AF ɦ AE ɑː AB j AA ə AF ɳ
अग्रिम	ə AF ɡ ɾ ɪ AF m
अग्रिमता	ə AF ɡ ɾ ɪ AF m t̪ ɑː AB
अचंभा	ə AF t ʃ ə AF m bʱ ɑː AB
अचकन	ə AF t ʃ k ə AF n
अचर	ə AF t ʃ ə AF ɾ
अचरज	ə AF t ʃ ɾ ə AF d ʒ
अचानक	ə AF t ʃ ɑː AB n ə AF k
अचूक	ə AF t ʃ uː AC k
अचेत	ə AF t ʃ eː AB t̪
