ँ	ə̃ AJ
ं	ə̃ AJ ɳ
अँकवैया	ə̃ AJ ŋ k w AB ə̯ AK i AD j AA äː
अँगड़ाई	ə̃ AJ ŋ ɡ ɽ äː iː AC
अँगरेज़	ə̃ AJ ŋ ɡ ɾ eː AC z
अँगरेज़ी	ə̃ AJ ŋ ɡ ɾ eː AC z iː AC
अँगहीन	ə̃ AJ ŋ ɡʱ ĩː n̪
अँगिया	ə̃ AJ ŋ ɡ i AD j AA äː
अँगीठी	ə̃ AJ ŋ ɡ iː AC ʈʰ iː AC
अँगूठी	ə̃ AJ ŋ ɡ uː AE ʈʰ iː AC
अँग्रेज़	ə̃ AJ ŋ ɡ ɾ eː AC z
अँग्रेज़ी	ə̃ AJ ŋ ɡ ɾ eː AC z iː AC
अँटना	ə̃ AJ ɳ ʈ n̪ äː
अँतड़ी	ə̃ AJ n̪ t̪ ɽ iː AC
अंक	ə̃ AJ ŋ k
अंकगणित	ə̃ AJ ŋ k ɡ ə AD ɳ ɪ AD t̪
अंकन	ə̃ AJ ŋ k ə̃ AJ n̪
अंकनी	ə̃ AJ ŋ k n̪ iː AC
अंकल	ə̃ AJ ŋ k ə AD l̪
अंकारा	ə̃ AJ ŋ k äː ɾ äː
अंकित	ə̃ AJ ŋ k ɪ AD t̪
अंकुर	ə̃ AJ ŋ k ʊ AF ɾ
अंकुरित	ə̃ AJ ŋ k ʊ AF ɾ ɪ AD t̪
अंकुश	ə̃ AJ ŋ k ʊ AF ʃ
अंग	ə̃ AJ ŋ ɡ
अंगच्छेद	ə̃ AJ ŋ ɡ ə AD t̚ t ʃʰ eː AC d̪
अंगड़ाई	ə̃ AJ ŋ ɡ ɽ äː iː AC
अंगदान	ə̃ AJ ŋ ɡ d̪ ä̃ː n̪
अंगन	ə̃ AJ ŋ ɡ ə̃ AJ n̪
अंगना	ə̃ AJ ŋ ɡ ə AD n̪ äː
अंगसंग	ə̃ AJ ŋ ɡ s̪ ə̃ AJ ŋ ɡ
अंगहीन	ə̃ AJ ŋ ɡʱ ĩː n̪
अंगार	ə̃ AJ ŋ ɡ äː ɾ
अंगारा	ə̃ AJ ŋ ɡ äː ɾ äː
अंगिया	ə̃ AJ ŋ ɡ i AD j AA äː
अंगीकार	ə̃ AJ ŋ ɡ iː AC k äː ɾ
अंगुल	ə̃ AJ ŋ ɡ ʊ AF l̪
अंगुली	ə̃ AJ ŋ ɡ ʊ AF l̪ iː AC
अंगूठा	ə̃ AJ ŋ ɡ uː AE ʈʰ äː
अंगूठी	ə̃ AJ ŋ ɡ uː AE ʈʰ iː AC
अंगूर	ə̃ AJ ŋ ɡ uː AE ɾ
अंगूरी	ə̃ AJ ŋ ɡ uː AE ɾ iː AC
अंगोछा	ə̃ AJ ŋ ɡ oː AE t ʃʰ äː
अंगोट	ə̃ AJ ŋ ɡ oː AE ʈ
अंगोला	ə̃ AJ ŋ ɡ oː AE l̪ äː
अंग्रेज	ə̃ AJ ŋ ɡ ɾ eː AC z
अंग्रेज़	ə̃ AJ ŋ ɡ ɾ eː AC z
अंग्रेज़ियत	ə̃ AJ ŋ ɡ ɾ eː AC z i AD j AA ə AD t̪
अंग्रेज़ी	ə̃ AJ ŋ ɡ ɾ eː AC z iː AC
अंग्रेजी	ə̃ AJ ŋ ɡ ɾ eː AC z iː AC
अंचल	ə̃ AJ n̪ t ʃ ə AD l̪
अंछर	ə̃ AJ n̪ t ʃʰ ə AD ɾ
अंजन	ə̃ AJ n̪ d ʒ ə̃ AJ n̪
अंजाम	ə̃ AJ n̪ d ʒ ä̃ː m
अंजीर	ə̃ AJ n̪ d ʒ iː AC ɾ
अंजु	ə̃ AJ n̪ d ʒ uː AE
अंटार्कटिका	ə̃ AJ ɳ ʈ äː ɾ k ʈ ɪ AD k äː
अंटार्टिका	ə̃ AJ ɳ ʈ äː ɾ ʈ ɪ AD k äː
अंडकोष	ə̃ AJ ɳ ɖ k oː AE ʃ
अंडमान	ə̃ AJ ɳ ɖ m ä̃ː n̪
अंडा	ə̃ AJ ɳ ɖ äː
अंडोरा	ə̃ AJ ɳ ɖ oː AE ɾ äː
अंत	ə̃ AJ n̪ t̪
अंतःक्षेप	ə̃ AJ n̪ t̪ ə AD ɦ AG k ʃ eː AC p
अंतड़ी	ə̃ AJ n̪ t̪ ɽ iː AC
अंतर	ə̃ AJ n̪ t̪ ə AD ɾ
अंतरंगता	ə̃ AJ n̪ t̪ ə AD ɾ ə̃ AJ ŋ ɡ t̪ äː
अंतरजाल	ə̃ AJ n̪ t̪ ə AD ɾ d ʒ äː l̪
अंतरण	ə̃ AJ n̪ t̪ ɾ ə̃ AJ ɳ
अंतरराष्ट्रीय	ə̃ AJ n̪ t̪ ə AD ɾ ɾ äː ʃ ʈ ɾ iː AC j AA
अंतरराष्ट्रीयता	ə̃ AJ n̪ t̪ ə AD ɾ ɾ äː ʃ ʈ ɾ iː AC j AA t̪ äː
अंतरा	ə̃ AJ n̪ t̪ ɾ äː
अंतराल	ə̃ AJ n̪ t̪ ə AD ɾ äː l̪
अंतरिक्ष	ə̃ AJ n̪ t̪ ɾ ɪ AD k ʃ
अंतरिम	ə̃ AJ n̪ t̪ ɾ ɪ̃ AJ m
अंतर्कालीन	ə̃ AJ n̪ t̪ ə AD ɾ k äː l̪ ĩː n̪
अंतर्गत	ə̃ AJ n̪ t̪ ə AD ɾ ɡ ə AD t̪
अंतर्जातीय	ə̃ AJ n̪ t̪ ə AD ɾ d ʒ äː t̪ iː AC j AA
अंतर्जाल	ə̃ AJ n̪ t̪ ə AD ɾ d ʒ äː l̪
