ँ	ə̃ AN
ं	ə̃ AN ɳ AF
अँकवैया	ə̃ AN ŋ AF k AB w AI ə̯ AA i AJ j AA äː
अँगड़ाई	ə̃ AN ŋ AF ɡ AB ɽ BA äː iː AJ
अँगरेज़	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB
अँगरेज़ी	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB iː AJ
अँगहीन	ə̃ AN ŋ AF ɡʱ AC ĩː n̪ AF
अँगिया	ə̃ AN ŋ AF ɡ AB i AJ j AA äː
अँगीठी	ə̃ AN ŋ AF ɡ AB iː AJ ʈʰ AC iː AJ
अँगूठी	ə̃ AN ŋ AF ɡ AB uː AK ʈʰ AC iː AJ
अँग्रेज़	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB
अँग्रेज़ी	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB iː AJ
अँटना	ə̃ AN ɳ AF ʈ AB n̪ AF äː
अँतड़ी	ə̃ AN n̪ AF t̪ AB ɽ BA iː AJ
अंक	ə̃ AN ŋ AF k AB
अंकगणित	ə̃ AN ŋ AF k AB ɡ AB ə AJ ɳ AF ɪ AJ t̪ AB
अंकन	ə̃ AN ŋ AF k AB ə̃ AN n̪ AF
अंकनी	ə̃ AN ŋ AF k AB n̪ AF iː AJ
अंकल	ə̃ AN ŋ AF k AB ə AJ l̪ AD
अंकारा	ə̃ AN ŋ AF k AB äː ɾ BA äː
अंकित	ə̃ AN ŋ AF k AB ɪ AJ t̪ AB
अंकुर	ə̃ AN ŋ AF k AB ʊ AK ɾ BA
अंकुरित	ə̃ AN ŋ AF k AB ʊ AK ɾ BA ɪ AJ t̪ AB
अंकुश	ə̃ AN ŋ AF k AB ʊ AK ʃ AB
अंग	ə̃ AN ŋ AF ɡ AB
अंगच्छेद	ə̃ AN ŋ AF ɡ AB ə AJ t̚ t AB ʃʰ AC eː AJ d̪ AB
अंगड़ाई	ə̃ AN ŋ AF ɡ AB ɽ BA äː iː AJ
अंगदान	ə̃ AN ŋ AF ɡ AB d̪ AB ä̃ː n̪ AF
अंगन	ə̃ AN ŋ AF ɡ AB ə̃ AN n̪ AF
अंगना	ə̃ AN ŋ AF ɡ AB ə AJ n̪ AF äː
अंगसंग	ə̃ AN ŋ AF ɡ AB s̪ AB ə̃ AN ŋ AF ɡ AB
अंगहीन	ə̃ AN ŋ AF ɡʱ AC ĩː n̪ AF
अंगार	ə̃ AN ŋ AF ɡ AB äː ɾ BA
अंगारा	ə̃ AN ŋ AF ɡ AB äː ɾ BA äː
अंगिया	ə̃ AN ŋ AF ɡ AB i AJ j AA äː
अंगीकार	ə̃ AN ŋ AF ɡ AB iː AJ k AB äː ɾ BA
अंगुल	ə̃ AN ŋ AF ɡ AB ʊ AK l̪ AD
अंगुली	ə̃ AN ŋ AF ɡ AB ʊ AK l̪ AD iː AJ
अंगूठा	ə̃ AN ŋ AF ɡ AB uː AK ʈʰ AC äː
अंगूठी	ə̃ AN ŋ AF ɡ AB uː AK ʈʰ AC iː AJ
अंगूर	ə̃ AN ŋ AF ɡ AB uː AK ɾ BA
अंगूरी	ə̃ AN ŋ AF ɡ AB uː AK ɾ BA iː AJ
अंगोछा	ə̃ AN ŋ AF ɡ AB oː AK t AB ʃʰ AC äː
अंगोट	ə̃ AN ŋ AF ɡ AB oː AK ʈ AB
अंगोला	ə̃ AN ŋ AF ɡ AB oː AK l̪ AD äː
अंग्रेज	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB
अंग्रेज़	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB
अंग्रेज़ियत	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB i AJ j AA ə AJ t̪ AB
अंग्रेज़ी	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB iː AJ
अंग्रेजी	ə̃ AN ŋ AF ɡ AB ɾ BA eː AJ z AB iː AJ
अंचल	ə̃ AN n̪ AF t AB ʃ AB ə AJ l̪ AD
अंछर	ə̃ AN n̪ AF t AB ʃʰ AC ə AJ ɾ BA
अंजन	ə̃ AN n̪ AF d AB ʒ AB ə̃ AN n̪ AF
अंजाम	ə̃ AN n̪ AF d AB ʒ AB ä̃ː m AE
अंजीर	ə̃ AN n̪ AF d AB ʒ AB iː AJ ɾ BA
अंजु	ə̃ AN n̪ AF d AB ʒ AB uː AK
अंटार्कटिका	ə̃ AN ɳ AF ʈ AB äː ɾ BA k AB ʈ AB ɪ AJ k AB äː
अंटार्टिका	ə̃ AN ɳ AF ʈ AB äː ɾ BA ʈ AB ɪ AJ k AB äː
अंडकोष	ə̃ AN ɳ AF ɖ AB k AB oː AK ʃ AB
अंडमान	ə̃ AN ɳ AF ɖ AB m AE ä̃ː n̪ AF
अंडा	ə̃ AN ɳ AF ɖ AB äː
अंडोरा	ə̃ AN ɳ AF ɖ AB oː AK ɾ BA äː
अंत	ə̃ AN n̪ AF t̪ AB
अंतःक्षेप	ə̃ AN n̪ AF t̪ AB ə AJ ɦ AL k AB ʃ AB eː AJ p AG
अंतड़ी	ə̃ AN n̪ AF t̪ AB ɽ BA iː AJ
अंतर	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA
अंतरंगता	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ə̃ AN ŋ AF ɡ AB t̪ AB äː
अंतरजाल	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA d AB ʒ AB äː l̪ AD
अंतरण	ə̃ AN n̪ AF t̪ AB ɾ BA ə̃ AN ɳ AF
अंतरराष्ट्रीय	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ɾ BA äː ʃ AB ʈ AB ɾ BA iː AJ j AA
अंतरराष्ट्रीयता	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ɾ BA äː ʃ AB ʈ AB ɾ BA iː AJ j AA t̪ AB äː
अंतरा	ə̃ AN n̪ AF t̪ AB ɾ BA äː
अंतराल	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA äː l̪ AD
अंतरिक्ष	ə̃ AN n̪ AF t̪ AB ɾ BA ɪ AJ k AB ʃ AB
अंतरिम	ə̃ AN n̪ AF t̪ AB ɾ BA ɪ̃ AN m AE
अंतर्कालीन	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA k AB äː l̪ AD ĩː n̪ AF
अंतर्गत	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ɡ AB ə AJ t̪ AB
अंतर्जातीय	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA d AB ʒ AB äː t̪ AB iː AJ j AA
अंतर्जाल	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA d AB ʒ AB äː l̪ AD
अंतर्देशीय	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA d̪ AB eː AJ ʃ AB iː AJ j AA
अंतर्धान	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA d̪ʱ AC ä̃ː n̪ AF
अंतर्निहित	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA n̪ AF ɪ AJ ɦ AL ɪ AJ t̪ AB
अंतर्राष्ट्रीय	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ɾ BA äː ʃ AB ʈ AB ɾ BA iː AJ j AA
अंतर्वासी	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ʋ AI äː s̪ AB iː AJ
अंताक्षरी	ə̃ AN n̪ AF t̪ AB äː k AB ʃ AB ə AJ ɾ BA iː AJ
अंतिम	ə̃ AN n̪ AF t̪ AB ɪ̃ AN m AE
अंत्येष्टि	ə̃ AN n̪ AF t̪ AB j AA eː AJ ʃ AB ʈ AB iː AJ
अंत्र	ə̃ AN n̪ AF t̪ AB ɾ BA
अंदर	ə̃ AN n̪ AF d̪ AB ə AJ ɾ BA
अंदाज	ə̃ AN n̪ AF d̪ AB äː z AB
अंदाज़	ə̃ AN n̪ AF d̪ AB äː z AB
अंदाज़ा	ə̃ AN n̪ AF d̪ AB äː z AB äː
अंधड़	ə̃ AN n̪ AF d̪ʱ AC ə AJ ɽ BA
अंधविश्वास	ə̃ AN n̪ AF d̪ʱ AC ʋ AI ɪ AJ ʃ AB ʋ AI äː s̪ AB
अंधा	ə̃ AN n̪ AF d̪ʱ AC äː
