abad	a AK b AG a AK t̚
abdi	a AK b AG d AC i AK
abdis	a AK b AG d AC ɪ AK s AH
abi	a AK b AG i AK
abiseka	a AK b AG i AK s AH e AK k AC a AK
abonemen	a AK b AG o AM n AF ə AK m AE ɛ AK n AF
abras	a AK b AG r AN a AK s AH
absolusi	a AK b AG s AH o AM l AD u AM s AH i AK
abstain	a AK p̚ s AH t AC a AK i AK n AF
abu	a AK b AG u AM
aceh	a AK t AC ʃ AH e AK h AA
aci	a AK t AC ʃ AH i AK
acik	a AK t AC ʃ AH ɪ AK ʔ AJ
ada	a AK d AC a AK
adalah	a AK d AC a AK l AD a AK h AA
adaptif	a AK d AC a AK p AG t AC ɪ AK f BA
adat	a AK d AC a AK t AC
adempauze	a AK d AC ə AK m AE p AG a AK u̯ AI z AH ə AK
adikara	a AK d AC i AK k AC a AK r AN a AK
adil	a AK d AC i AK l AD
administrator	a AK t̚ m AE i AK n AF ɪ AK s AH t AC r AN a AK t AC ɔ AM r AN
administratur	a AK t̚ m AE i AK n AF ɪ AK s AH t AC r AN a AK t AC ʊ AM r AN
adoptif	a AK d AC ɔ AM p AG t AC ɪ AK f BA
adpis	a AK t̚ p AG ɪ AK s AH
advis	a AK t̚ v BA i AK s AH
afdeling	a AK f BA d AC e AK l AD i AK ŋ AF
agape	a AK ɡ AC a AK p AG e AK
agen	a AK ɡ AC ɛ AK n AF
agresi	a AK ɡ AC r AN ɛ AK s AH i AK
agustus	a AK ɡ AC ʊ AM s AH t AC ʊ AM s AH
ahli	a AK h AA l AD i AK
aib	aʲ AK i AK b AG
aikido	aʲ AK i AK k AC i AK d AC o AM
air	a AK ʔ AJ ɪ AK r AN
ajar	a AK d AC ʒ AH a AK r AN
akademi	a AK k AC a AK d AC e AK m AE i AK
akademis	a AK k AC a AK d AC e AK m AE i AK s AH
akan	a AK k AC a AK n AF
akang	a AK k AC a AK ŋ AF
akar	a AK k AC a AK r AN
akeo	a AK k AC e AK o AM
akil	a AK k AC ɪ AK l AD
aksa	a AK k̚ s AH a AK
aksara	a AK k AC s AH a AK r AN a AK
akselerasi	a AK k AC s AH e AK l AD ə AK r AN a AK s AH i AK
akta	a AK k̚ t AC a AK
akte	a AK k̚ t AC ə AK
aktif	a AK k̚ t AC ɪ AK p AG
aktifitas	a AK k̚ t AC i AK f BA i AK t AC a AK s AH
aktivasi	a AK k̚ t AC i AK v BA a AK s AH i AK
aktivis	a AK k̚ t AC i AK v BA ɪ AK s AH
aktivisme	a AK k̚ t AC i AK v BA ɪ AK s AH m AE ə AK
aktivitas	a AK k̚ t AC i AK v BA i AK t AC a AK s AH
aku	a AK k AC u AM
akur	a AK k AC u AM r AN
akut	a AK k AC u AM t AC
alas	a AK l AD a AK s AH
alat	a AK b AG o AM n AF ə AK m AE ɛ AK n AF
algojo	a AK l AD ɡ AC o AM d AC ʒ AH o AM
aliah	a AK l AD i AK a AK h AA
aliansi	a AK l AD i AK a AK n AF s AH i AK
aliase	a AK l AD i AK a AK s AH ə AK
alkali	a AK l AD k AC a AK l AD i AK
allah	a AK l AD l AD a AK h AA
aloi	a AK l AD o AM i̯ AB
alpa	a AK l AD p AG a AK
alpukat	a AK l AD p AG u AM k AC a AK t AC
altar	a AK l AD t AC a AK r AN
am	a AK m AE
amah	a AK m AE a AK h AA
aman	a AK m AE a AK n AF
amar	a AK m AE a AK r AN
ambasade	a AK m AE b AG a AK s AH a AK d AC ə AK
amerta	a AK m AE ə AK r AN t AC a AK
amin	a AK m AE ɪ AK n AF
ampul	a AK m AE p AG ʊ AM l AD
amra	a AK m AE r AN a AK
anak	a AK n AF a AK ʔ AJ
analisis	a AK n AF a AK l AD i AK s AH ɪ AK s AH
ancala	a AK n AF t AC ʃ AH a AK l AD a AK
ancaman	a AK n AF t AC ʃ AH a AK m AE a AK n AF
anda	a AK n AF d AC a AK
andaka	n AF a AK n AF d AC a AK k AC a AK
aneka	a AK n AF ɛ AK k AC a AK
anfal	a AK n AF f BA a AK l AD
angciu	a AK ŋ AF t AC ʃ AH i AK u AM
anggara	a AK ŋ AF ɡ AC a AK r AN a AK
anghun	a AK ŋ AF h AA u AM n AF
angka	a AK ŋ AF k AC a AK
angkak	a AK ŋ AF k AC a AK k AC
angkasa	a AK ŋ AF k AC a AK s AH a AK
angkasawan	a AK ŋ AF k AC a AK s AH a AK w AI a AK n AF
angkur	a AK ŋ AF k AC ʊ AM r AN
angkusa	a AK ŋ AF k AC u AM s AH a AK
anglo	a AK ŋ AF l AD o AM
anglung	a AK ŋ AF l AD u AM ŋ AF
angpao	a AK ŋ AF p AG a AK o AM
angpau	a AK ŋ AF p AG a AK u̯ AI
angsa	a AK ŋ AF s AH a AK
aniaya	a AK n AF i AK a AK j AB a AK
animasi	a AK n AF i AK m AE a AK s AH i AK
ansos	a AK n AF s AH o AM s AH
antarbangsa	a AK n AF t AC a AK r AN b AG a AK ŋ AF s AH a AK
antariksawan	a AK n AF t AC a AK r AN ɪ AK k AC s AH a AK w AI a AK n AF
antik	a AK n AF t AC i AK k AC
anumerta	a AK n AF u AM m AE ə AK r AN t AC a AK
apa	a AK p AG a AK
apak	a AK p AG a AK ʔ AJ
apakah	a AK p AG a AK k AC a AK h AA
apanase	a AK p AG a AK n AF a AK s AH ə AK
aparat	a AK p AG a AK r AN a AK t AC
apek	a AK p AG ɛ AK k AC
api	a AK p AG i AK
aplaus	a AK p AG l AD a AK u AM s AH
apologi	a AK p AG o AM l AD o AM ɡ AC i AK
apologia	a AK p AG o AM l AD o AM ɡ AC i AK a AK
apotek	a AK p AG o AM t AC e AK k AC
april	a AK p̚ r AN ɪ AK l AD
apsara	a AK p AG s AH a AK r AN a AK
arak	a AK r AN a AK k AC
arbei	a AK r AN b AG e AK i̯ AB
arit	a AK r AN i AK t AC
arkais	a AK r AN k AC a AK i AK s AH
arloji	a AK r AN l AD o AM d AC ʒ AH i AK
arsip	a AK r AN s AH i AK p AG
arta	a AK r AN t AC a AK
arti	a AK r AN t AC i AK
arya	a AK r AN j AB a AK
