abakus	a AD b a AD k ʊ AJ s
abang	a AD b a AD ŋ
abdomen	a AD p d o AG m ə AM n
abduksi	a AD p̚ d̪ ʊ AJ k̚ s i AF
abdusen	a AD p̚ d u AH s ə AM n
abikara	a AD b i AF k a AD r a AD
abiturien	a AD b i AF t̪ u AH r i AF e AE n
ablaut	a AD p l a AD ʊ AJ t̪̚
abolisi	a AD b o AG l i AF s i AF
absolut	a AD p̚ s o AG l ʊ AJ t̚
acak	a AD t ʃ a AD k̚
acala	a AD t ʃ a AD l a AD
acara	a AD t ʃ a AD r a AD
ace	a AD t ʃ ə AM
acingara	a AD t ʃ i AF ŋ a AD r a AD
acintia	a AD t ʃ ɪ AL n t i AF a̯
acu	a AD t ʃ u AH
adangiyah	a AD d a AD ŋ i AF j AB a AD h AA
adegan	a AD d̪ ə AM ɡ a AD n
adiguna	a AD d i AF ɡ u AH n a AD
adiksi	a AD d ɪ AL k s i AF
adilaga	a AD d̪ i AF l a AD ɡ a AD
adimarga	a AD d i AF m a AD r ɡ a AD
adipati	a AD d i AF p a AD t i AF
adipura	a AD d i AF p u AH r a AD
aditorium	a AD d̪ i AF t o AG r i AF ʊ AJ m
adiwira	a AD d i AF w AC i AF r a AD
administrasi	a AD t̚ m i AF n ɪ AL s t r a AD s i AF
administratif	a AD t̚ m i AF n ɪ AL s t r a AD t ɪ AL f
admisi	a AD t m i AF s i AF
adnan	a AD t̪ n a AD n
adolesens	a AD d o AG l ɛ AM s ə AM n s
adolu	a AD d̪ o AG l u AH
adreng	a AD t̪̚ r ə AM ŋ
aduksi	a AD d̪ ʊ AJ k̚ s i AF
adusen	a AD d u AH s ɛ AM n
adven	a AD t v ɛ AM n
advokat	a AD t̚ v o AG k a AD t̚
aeni	a AD e AE n i AF
aerosol	a AD e AE r o AG s ɔ AI l
aerosolisasi	a AD e AE r o AG s o AG l i AF s a AD s i AF
afek	a AD f ɛ AM k̚
afeksi	a AD f ɛ AM k̚ s i AF
afektif	a AD f ɛ AM k̚ t ɪ AL f
afkir	a AD f k ɪ AL r
afogato	a AD f o AG ɡ a AD t o AG
aga	a AD ɡ a AD
agak	a AD ɡ a AD ʔ
agama	a AD ɡ a AD m a AD
agenda	a AD ɡ ɛ AM n d a AD
agensi	a AD ɡ ɛ AM n s i AF
agio	a AD ɡ i AF o̯ BC
agitasi	a AD ɡ i AF t a AD s i AF
agitatif	a AD ɡ i AF t̪ a AD t̪ ɪ AL f
agitator	a AD ɡ i AF t̪ a AD t̪ ɔ AI r
agni	a AD ɡ n i AF
agnyana	a AD ɡ ɲ a AD n a AD
agresif	a AD ɡ r ɛ AM s ɪ AL f
agustusan	a AD ɡ ʊ AJ s t ʊ AJ s a AD n
airawata	a AD i̯ AB r a AD w AC a AD t a AD
aja	a AD d ʒ a AD
ajaib	a AD d ʒ a AD ɪ AL p
ajun	a AD d ʒ ʊ AJ n
akasa	a AD k a AD s a AD
akcaya	a AD k s a AD j AB a AD
aki	a AD k i AF
akor	a AD k ɔ AI r
akrobatik	a AD k r o AG b a AD t ɪ AL k
akrobatis	a AD k r o AG b a AD t ɪ AL s
akromion	a AD k̚ r o AG m i AF ɔ AI n
akropolis	a AD k̚ r o AG p o AG l ɪ AL s
akses	a AD k s ɛ AM s
aksesori	a AD k̚ s e AE s o AG r i AF
akson	a AD k̚ s ɔ AI n
aktentas	a AD k̚ t ə AM n t a AD s
akting	a AD k̚ t i AF ŋ
aktinometer	a AD k̚ t i AF n o AG m ɛ AM t ə AM r
aktiva	a AD k t̪ i AF v a AD
aktual	a AD k t u AH a AD l
akuafaba	a AD k u AH a̯ f a AD b a AD
akun	a AD k ʊ AJ n
akuntan	a AD k ʊ AJ n t a AD n
ala	a AD l a AD
alab	a AD l a AD p̚
alaf	a AD l a AD f
alamas	a AD l a AD m a AD s
albahdir	a AD l b a AD h AA d ɪ AL r
albania	a AD l b a AD n i AF a̯
alber	a AD l b ə AM r
album	a AD l b ʊ AJ m
alena	a AD l ɛ AM n a AD
alergi	a AD l ɛ AM r ɡ i AF
algoritma	a AD l ɡ o AG r ɪ AL t̪ m a AD
algoritme	a AD l ɡ o AG r ɪ AL t̪ m ə AM
alibi	a AD l i AF b i AF
alinea	a AD l i AF n e AE a AD
aljabar	a AD l d ʒ a AD b a AD r
alkes	a AD l k ə AM s
allah	ɔ AI ɫ ɫ ɔ AI h AA
almanak	a AD l m a AD n a AD ʔ
almasih	a AD l m a AD s ɪ AL h AA
alokasi	a AD l o AG k a AD s i AF
along	a AD l ɔ AI ŋ
alpaka	a AD l p a AD k a AD
alpeka	a AD l p ə AM k a AD
alter	a AD l t̪ ɛ AM r
alveolus	a AD l v e AE o AG l ʊ AJ s
amal	a AD m a AD l
amalaka	a AD m a AD l a AD k a AD
amatir	a AD m a AD t̪ ɪ AL r
ambah	a AD m b a AD h AA
ambang	a AD m b a AD ŋ
ambar	a AD m b a AD r
ambara	a AD m b a AD r a AD
ambeien	a AD m b e AE i AF ə AM n
ambeksura	a AD m b ə AM k̚ s u AH r a AD
amber	a AD m b ə AM r
ambigu	a AD m b i AF ɡ u AH
ambulatori	a AD m b u AH l a AD t o AG r i AF
amoi	a AD m o AG i̯ AB
amplifikasi	a AD m p l i AF f i AF k a AD s i AF
amprah	a AD m p r a AD h AA
ampula	a AD m p u AH l a AD
ampun	a AD m p ʊ AJ n
amtenar	a AD m t ə AM n a AD r
amulet	a AD m u AH l ɛ AM t
ananta	a AD n a AD n t a AD
anatomi	a AD n a AD t o AG m i AF
anca	a AD n t ʃ a AD
ancoa	a AD n t ʃ o AG a̯
andai	a AD n d̪ a AD i̯ AB
andil	a AD n d ɪ AL l
andong	a AD n d̪ ɔ AI ŋ
anemer	a AD n e AE m ə AM r
angel	a AD ŋ ɛ AM l
anggota	a AD ŋ ɡ o AG t̪ a AD
anggur	a AD ŋ ɡ ʊ AJ r
angkat	a AD ŋ k a AD t
angker	a AD ŋ k ə AM r
angket	a AD ŋ k ɛ AM t̚
angkong	a AD ŋ k ɔ AI ŋ
angsio	a AD ŋ s i AF o̯ BC
anime	a AD n i AF m e AE
anjing	a AD n d ʒ ɪ AL ŋ
anjir	a AD n d ʒ ɪ AL r
ansar	a AD n s a AD r
antariksa	a AD n t a AD r ɪ AL k s a AD
antarmuka	a AD n t a AD r m u AH k a AD
antik	a AD n t i AF ʔ
antologi	a AD n t̪ o AG l o AG ɡ i AF
antre	a AD n t r e AE
antropologi	a AD n t r o AG p o AG l o AG ɡ i AF
antusias	a AD n t u AH s i AF a AD s
anugerah	a AD n u AH ɡ ə AM r a AD h AA
anugrahamurti	a AD n u AH ɡ r a AD h AA a AD m ʊ AJ r t i AF
anyelir	a AD ɲ ə AM l ɪ AL r
aparatur	a AD p a AD r a AD t ʊ AJ r
aparatus	a AD p a AD r a AD t̪ ʊ AJ s
apel	a AD p ɛ AM l
aplikasi	a AD p l i AF k a AD s i AF
aplus	a AD p l ʊ AJ s
apokalips	a AD p o AG k a AD l ɪ AL p s
apokrifa	a AD p o AG k r i AF f a AD
apoteker	a AD p o AG t̪ e AE k ə AM r
apung	a AD p ʊ AJ ŋ
arbitrase	a AD r b ɪ AL t r a AD s ə AM
arbitrer	a AD r b ɪ AL t r ɛ AM r
arca	a AD r t ʃ a AD
arde	a AD r d ə AM
ares	a AD r ɛ AM s
arkade	a AD r k a AD d̪ ə AM
arkeologi	a AD r k e AE o AG l o AG ɡ i AF
arnal	a AD r n a AD l
arsitek	a AD r s i AF t ɛ AM k̚
arsitektur	a AD r s i AF t ɛ AM k̚ t ʊ AJ r
artefak	a AD r t ə AM f a AD k̚
arteri	a AD r t e AE r i AF
artikel	a AD r t i AF k ə AM l
arupadatu	a AD r u AH p a AD d̪ a AD t̪ u AH
as	a AD s
asa	a AD s a AD
asana	a AD s a AD n a AD
asas	a AD s a AD s
asdos	a AD s d̪ ɔ AI s
aset	a AD s ɛ AM t̪̚
asisten	a AD s ɪ AL s t̪ ɛ AM n
asmaradahana	a AD s m a AD r a AD d a AD h AA a AD n a AD
asosiasi	a AD s o AG s i AF a AD s i AF
aspiran	a AD s p i AF r a AD n
asprak	a AD s p r a AD k̚
astaka	a AD s t̪ a AD k a AD
astrologi	a AD s t r o AG l o AG ɡ i AF
astronomi	a AD s t r o AG n o AG m i AF
astungkara	a AD s t ʊ AJ ŋ k a AD r a AD
asuransi	a AD s u AH r a AD n s i AF
atase	a AD t̪ a AD s e AE
ateret	a AD t ə AM r ɛ AM t̚
atlet	a AD t l ɛ AM t
atletik	a AD t l ɛ AM t ɪ AL k
atmosfer	a AD t̪̚ m ɔ AI s f ɛ AM r
atom	a AD t o AG m
atonemen	a AD t o AG n ɛ AM m ə AM n
atribut	a AD t r i AF b ʊ AJ t
auditor	a AD u̯ AC d̪ i AF t ɔ AI r
auditorium	a AD u̯ AC d̪ i AF t o AG r i AF ʊ AJ m
aula	a AD u̯ AC l a AD
aura	a AD u̯ AC r a AD
auskultasi	a AD ʊ AJ s k ʊ AJ l t a AD s i AF
autopsi	o AG t ɔ AI p s i AF
awan	a AD w AC a AD n
awang	a AD w AC a AD ŋ
awatara	a AD w AC a AD t a AD r a AD
badai	b a AD d̪ a AD i̯ AB
badan	b a AD d a AD n
bagasi	b a AD ɡ a AD s i AF
bahagia	b a AD h AA a AD ɡ j AB a AD
bahan	b a AD h AA a AD n
bahari	b a AD h AA a AD r i AF
bahlul	b a AD h AA l ʊ AJ l
bait	b a AD ɪ AL t̪̚
baji	b a AD d ʒ i AF
baju	b a AD d ʒ u AH
bakalaureat	b a AD k a AD l a AD u̯ AC r e AE a AD t̚
bakar	b a AD k a AD r
bakteri	b a AD k̚ t e AE r i AF
bakteriologi	b a AD k t e AE r i AF o AG l o AG ɡ i AF
baku	b a AD k u AH
bal	b a AD l
balans	b a AD l a AD n s
balas	b a AD l a AD s
balgam	b a AD l ɡ a AD m
balkon	b a AD l k ɔ AI n
balon	b a AD l ɔ AI n
baluarti	b a AD l u AH a AD r t̪ i AF
balut	b a AD l ʊ AJ t̪
ban	b a AD n
bandana	b a AD n d a AD n a AD
bandar	b a AD n d a AD r
banderol	b a AD n d̪ ə AM r ɔ AI l
banget	b a AD ŋ ə AM t
bangga	b a AD ŋ ɡ a AD
bangkai	b a AD ŋ k a AD i̯ AB
bangkrut	b a AD ŋ k r ʊ AJ t
bangsal	b a AD ŋ s a AD l
bankir	b a AD n k ɪ AL r
banrol	b a AD n r ɔ AI l
bansos	b a AD n s ɔ AI s
bantu	b a AD n t̪ u AH
bantuan	b a AD n t u AH a AD n
banyak	b a AD ɲ a AD ʔ
baper	b a AD p ə AM r
baptis	b a AD p t ɪ AL s
barber	b a AD r b ə AM r
bardi	b a AD r d i AF
baris	b a AD r ɪ AL s
barok	b a AD r ɔ AI k̚
baru	b a AD r u AH
bas	b a AD s
basa	b a AD s a AD
basemen	b a AD s ə AM m ɛ AM n
basi	b a AD s i AF
basil	b a AD s ɪ AL l
basis	b a AD s ɪ AL s
baskom	b a AD s k ɔ AI m
bastar	b a AD s t a AD r
batas	b a AD t̪ a AD s
baterai	b a AD t ə AM r a AD i̯ AB
batil	b a AD t̪ ɪ AL l
batrik	b a AD t̚ r ɪ AL k
bau	b a AD u̯ AC
baut	b a AD ʊ AJ t
bawasir	b a AD w AC a AD s ɪ AL r
bayonet	b a AD j AB o AG n ɛ AM t
bazoka	b a AD z o AG k a AD
becak	b ɛ AM t ʃ a AD ʔ
beda	b ɛ AM d a AD
bedil	b ə AM d̪ ɪ AL l
bedinde	b ə AM d ɪ AL n d ə AM
begandering	b ə AM ɡ a AD n d ə AM r ɪ AL ŋ
behandel	b ə AM h AA a AD n d ə AM l
behel	b ɛ AM h AA ə AM l
bejana	b ə AM d ʒ a AD n a AD
bejibun	b ə AM d ʒ i AF b ʊ AJ n
bek	b ɛ AM k
bekal	b ə AM k a AD l
bekel	b ɛ AM k ə AM l
beken	b ə AM k ɛ AM n
beker	b ɛ AM k ə AM r
bekerja	b ə AM k ə AM r d ʒ a AD
bekleding	b ə AM k l e AE d ɪ AL ŋ
bekles	b ɛ AM k l ɛ AM s
beku	b ə AM k u AH
belek	b ɛ AM l ɛ AM k
belenggu	b ə AM l ə AM ŋ ɡ u AH
belikat	b ə AM l i AF k a AD t̪
belut	b ə AM l ʊ AJ t̚
bemper	b ɛ AM m p ə AM r
benang	b ə AM n a AD ŋ
benar	b ə AM n a AD r
bencana	b ə AM n t ʃ a AD n a AD
benci	b ə AM n t ʃ i AF
bendara	b ə AM n d a AD r a AD
bendesa	b ə AM n d ɛ AM s a AD
bendi	b ɛ AM n d̪ i AF
bensin	b ɛ AM n s ɪ AL n
bento	b ɛ AM n t o AG
benua	b ə AM n u AH a̯
beol	b ɛ AM ɔ AI l
beraja	b ə AM r a AD d ʒ a AD
berani	b ə AM r a AD n i AF
beras	b ə AM r a AD s
berat	b ə AM r a AD t
beredel	b ə AM r ɛ AM d ɛ AM l
bergejala	b ə AM r ɡ e AE d ʒ a AD l a AD
beri	b ɛ AM r i AF
beriani	b ə AM r i AF a AD n i AF
berita	b ə AM r i AF t a AD
berkat	b ə AM r k a AD t
berlian	b ə AM r l i AF a AD n
berpacaran	b ə AM r p a AD t ʃ a AD r a AD n
besi	b ə AM s i AF
beslit	b ɛ AM s l ɪ AL t̚
bestek	b ɛ AM s t ɛ AM k̚
bestir	b ə AM s t ɪ AL r
besuk	b ə AM s ʊ AJ k
biang	b i AF a̯ ŋ
bias	b i AF a AD s
bibliotek	b ɪ AL p l i AF o AG t ɛ AM k
bija	b i AF d ʒ a AD
binen	b i AF n ɛ AM n
bintang	b ɪ AL n t a AD ŋ
biologi	b i AF o AG l o AG ɡ i AF
bioma	b i AF o̯ BC m a AD
biomassa	b i AF o AG m a AD s s a AD
bir	b ɪ AL r
birama	b i AF r a AD m a AD
birokrat	b i AF r o AG k r a AD t
bis	b ɪ AL s
bisa	b i AF s a AD
bisnis	b ɪ AL s n ɪ AL s
bistik	b ɪ AL s t ɪ AL k̚
bit	b ɪ AL t
blok	b l ɔ AI k̚
blokade	b l o AG k a AD d ə AM
bloknot	b l ɔ AI k̚ n ɔ AI t̚
bludrek	b l ʊ AJ d r ə AM k
blumkol	b l ʊ AJ m k ɔ AI l
blus	b l ʊ AJ s
boa	b o AG a̯
boba	b o AG b a AD
bocuan	b o AG t ʃ u AH a̯ n
bodi	b o AG d i AF
boga	b o AG ɡ a AD
bohlam	b ɔ AI h AA l a AD m
boi	b o AG i AF
bokeh	b o AG k ɛ AM h AA
bokep	b o AG k ɛ AM p
bokser	b ɔ AI k s ə AM r
boksu	b ɔ AI k̚ s u AH
bola	b o AG l a AD
bolpen	b ɔ AI l p ɛ AM n
bolpoin	b o AG l p o AG i AF n
bom	b ɔ AI m
bombastis	b ɔ AI m b a AD s t ɪ AL s
boneka	b o AG n ɛ AM k a AD
bong	b ɔ AI ŋ
bonus	b o AG n ʊ AJ s
boplang	b ɔ AI p l a AD ŋ
boreh	b o AG r ɛ AM h AA
borjuis	b ɔ AI r d ʒ u AH ɪ AL s
bos	b ɔ AI s
botang	b o AG t a AD ŋ
botani	b o AG t a AD n i AF
botol	b o AG t ɔ AI l
brankas	b r a AD n k a AD s
branwir	b r a AD n w AC ɪ AL r
brata	b r a AD t a AD
brevet	b r ɛ AM v ɛ AM t
brompit	b r ɔ AI m p ɪ AL t
bros	b r ɔ AI s
brosur	b r o AG s ʊ AJ r
brutal	b r u AH t a AD l
bruto	b r u AH t o AG
bucin	b u AH t ʃ ɪ AL n
bui	b u AH i̯ AB
bujet	b u AH d ʒ ɛ AM t
bujeter	b u AH d ʒ ɛ AM t ɛ AM r
buk	b ʊ AJ k
buket	b u AH k ɛ AM t̪
bulai	b u AH l a AD i̯ AB
bulevar	b u AH l ə AM v a AD r
bulsak	b ʊ AJ l s a AD k
bum	b ʊ AJ m
bumerang	b u AH m ə AM r a AD ŋ
bumper	b ʊ AJ m p ə AM r
bundar	b ʊ AJ n d a AD r
bunker	b ʊ AJ ŋ k ə AM r
bunyi	b u AH ɲ i AF
bursa	b ʊ AJ r s a AD
buruk	b u AH r u AH ʔ
busi	b u AH s i AF
