abakus	a AL b AH a AL k AC ʊ AM s AI
abang	a AL b AH a AL ŋ AG
abdomen	a AL p AH d AC o AM m AF ə AL n AG
abduksi	a AL p̚ d̪ AC ʊ AM k̚ s AI i AL
abdusen	a AL p̚ d AC u AM s AI ə AL n AG
abikara	a AL b AH i AL k AC a AL r AN a AL
abiturien	a AL b AH i AL t̪ AC u AM r AN i AL e AL n AG
ablaut	a AL p AH l AE a AL ʊ AM t̪̚
abolisi	a AL b AH o AM l AE i AL s AI i AL
absolut	a AL p̚ s AI o AM l AE ʊ AM t̚
acak	a AL t AC ʃ AI a AL k̚
acala	a AL t AC ʃ AI a AL l AE a AL
acara	a AL t AC ʃ AI a AL r AN a AL
ace	a AL t AC ʃ AI ə AL
acingara	a AL t AC ʃ AI i AL ŋ AG a AL r AN a AL
acintia	a AL t AC ʃ AI ɪ AL n AG t AC i AL a̯
acu	a AL t AC ʃ AI u AM
adangiyah	a AL d AC a AL ŋ AG i AL j AB a AL h AA
adegan	a AL d̪ AC ə AL ɡ AC a AL n AG
adiguna	a AL d AC i AL ɡ AC u AM n AG a AL
adiksi	a AL d AC ɪ AL k AC s AI i AL
adilaga	a AL d̪ AC i AL l AE a AL ɡ AC a AL
adimarga	a AL d AC i AL m AF a AL r AN ɡ AC a AL
adipati	a AL d AC i AL p AH a AL t AC i AL
adipura	a AL d AC i AL p AH u AM r AN a AL
aditorium	a AL d̪ AC i AL t AC o AM r AN i AL ʊ AM m AF
adiwira	a AL d AC i AL w AJ i AL r AN a AL
administrasi	a AL t̚ m AF i AL n AG ɪ AL s AI t AC r AN a AL s AI i AL
administratif	a AL t̚ m AF i AL n AG ɪ AL s AI t AC r AN a AL t AC ɪ AL f BA
admisi	a AL t AC m AF i AL s AI i AL
adnan	a AL t̪ AC n AG a AL n AG
adolesens	a AL d AC o AM l AE ɛ AL s AI ə AL n AG s AI
adolu	a AL d̪ AC o AM l AE u AM
adreng	a AL t̪̚ r AN ə AL ŋ AG
aduksi	a AL d̪ AC ʊ AM k̚ s AI i AL
adusen	a AL d AC u AM s AI ɛ AL n AG
adven	a AL t AC v BA ɛ AL n AG
advokat	a AL t̚ v BA o AM k AC a AL t̚
aeni	a AL e AL n AG i AL
aerosol	a AL e AL r AN o AM s AI ɔ AM l AE
aerosolisasi	a AL e AL r AN o AM s AI o AM l AE i AL s AI a AL s AI i AL
afek	a AL f BA ɛ AL k̚
afeksi	a AL f BA ɛ AL k̚ s AI i AL
afektif	a AL f BA ɛ AL k̚ t AC ɪ AL f BA
afkir	a AL f BA k AC ɪ AL r AN
afogato	a AL f BA o AM ɡ AC a AL t AC o AM
aga	a AL ɡ AC a AL
agak	a AL ɡ AC a AL ʔ AK
agama	a AL ɡ AC a AL m AF a AL
agenda	a AL ɡ AC ɛ AL n AG d AC a AL
agensi	a AL ɡ AC ɛ AL n AG s AI i AL
agio	a AL ɡ AC i AL o̯ AJ
agitasi	a AL ɡ AC i AL t AC a AL s AI i AL
agitatif	a AL ɡ AC i AL t̪ AC a AL t̪ AC ɪ AL f BA
agitator	a AL ɡ AC i AL t̪ AC a AL t̪ AC ɔ AM r AN
agni	a AL ɡ AC n AG i AL
agnyana	a AL ɡ AC ɲ AG a AL n AG a AL
agresif	a AL ɡ AC r AN ɛ AL s AI ɪ AL f BA
agustusan	a AL ɡ AC ʊ AM s AI t AC ʊ AM s AI a AL n AG
airawata	a AL i̯ AB r AN a AL w AJ a AL t AC a AL
aja	a AL d AC ʒ AI a AL
ajaib	a AL d AC ʒ AI a AL ɪ AL p AH
ajun	a AL d AC ʒ AI ʊ AM n AG
akasa	a AL k AC a AL s AI a AL
akcaya	a AL k AC s AI a AL j AB a AL
aki	a AL k AC i AL
akor	a AL k AC ɔ AM r AN
akrobatik	a AL k AC r AN o AM b AH a AL t AC ɪ AL k AC
akrobatis	a AL k AC r AN o AM b AH a AL t AC ɪ AL s AI
akromion	a AL k̚ r AN o AM m AF i AL ɔ AM n AG
akropolis	a AL k̚ r AN o AM p AH o AM l AE ɪ AL s AI
akses	a AL k AC s AI ɛ AL s AI
aksesori	a AL k̚ s AI e AL s AI o AM r AN i AL
akson	a AL k̚ s AI ɔ AM n AG
aktentas	a AL k̚ t AC ə AL n AG t AC a AL s AI
akting	a AL k̚ t AC i AL ŋ AG
aktinometer	a AL k̚ t AC i AL n AG o AM m AF ɛ AL t AC ə AL r AN
aktiva	a AL k AC t̪ AC i AL v BA a AL
aktual	a AL k AC t AC u AM a AL l AE
akuafaba	a AL k AC u AM a̯ f BA a AL b AH a AL
akun	a AL k AC ʊ AM n AG
akuntan	a AL k AC ʊ AM n AG t AC a AL n AG
ala	a AL l AE a AL
alab	a AL l AE a AL p̚
alaf	a AL l AE a AL f BA
alamas	a AL l AE a AL m AF a AL s AI
albahdir	a AL l AE b AH a AL h AA d AC ɪ AL r AN
albania	a AL l AE b AH a AL n AG i AL a̯
alber	a AL l AE b AH ə AL r AN
album	a AL l AE b AH ʊ AM m AF
alena	a AL l AE ɛ AL n AG a AL
alergi	a AL l AE ɛ AL r AN ɡ AC i AL
algoritma	a AL l AE ɡ AC o AM r AN ɪ AL t̪ AC m AF a AL
algoritme	a AL l AE ɡ AC o AM r AN ɪ AL t̪ AC m AF ə AL
alibi	a AL l AE i AL b AH i AL
alinea	a AL l AE i AL n AG e AL a AL
aljabar	a AL l AE d AC ʒ AI a AL b AH a AL r AN
alkes	a AL l AE k AC ə AL s AI
allah	ɔ AM ɫ AE ɫ AE ɔ AM h AA
almanak	a AL l AE m AF a AL n AG a AL ʔ AK
almasih	a AL l AE m AF a AL s AI ɪ AL h AA
alokasi	a AL l AE o AM k AC a AL s AI i AL
along	a AL l AE ɔ AM ŋ AG
alpaka	a AL l AE p AH a AL k AC a AL
alpeka	a AL l AE p AH ə AL k AC a AL
alter	a AL l AE t̪ AC ɛ AL r AN
alveolus	a AL l AE v BA e AL o AM l AE ʊ AM s AI
amal	a AL m AF a AL l AE
amalaka	a AL m AF a AL l AE a AL k AC a AL
amatir	a AL m AF a AL t̪ AC ɪ AL r AN
ambah	a AL m AF b AH a AL h AA
ambang	a AL m AF b AH a AL ŋ AG
ambar	a AL m AF b AH a AL r AN
ambara	a AL m AF b AH a AL r AN a AL
ambeien	a AL m AF b AH e AL i AL ə AL n AG
ambeksura	a AL m AF b AH ə AL k̚ s AI u AM r AN a AL
amber	a AL m AF b AH ə AL r AN
ambigu	a AL m AF b AH i AL ɡ AC u AM
ambulatori	a AL m AF b AH u AM l AE a AL t AC o AM r AN i AL
amoi	a AL m AF o AM i̯ AB
amplifikasi	a AL m AF p AH l AE i AL f BA i AL k AC a AL s AI i AL
amprah	a AL m AF p AH r AN a AL h AA
ampula	a AL m AF p AH u AM l AE a AL
ampun	a AL m AF p AH ʊ AM n AG
