あ	a̠ AI
ああ	a̠ː AJ
ああいう	a̠ː AJ i AC ɯ̟ᵝ
あい	a̠ AI i AC
あいあいがさ	a̠ AI i AC a̠ AI i AC ɡ a̠ AI s a̠ AI
あいいれない	a̠ AI iː AD ɾ e̞ AC n a̠ AI i AC
あいいろ	a̠ AI iː AD ɾ o̞ AF
あいえき	a̠ AI i AC e̞ AC kʲ i AC
あいえんきえん	a̠ AI i AC ẽ̞ ŋʲ kʲ i AC ẽ̞ ɴ
あいか	a̠ AI i AC k a̠ AI
あいかぎ	a̠ AI i AC k a̠ AI ɡʲ i AC
あいかた	a̠ AI i AC k a̠ AI t a̠ AI
あいかわらず	a̠ AI i AC k a̠ AI ɰᵝ a̠ AI ɾ a̠ AI z ɨᵝ
あいがさ	a̠ AI i AC ɡ a̠ AI s a̠ AI
あいがみ	a̠ AI i AC ɡ a̠ AI mʲ i AC
あいがめ	a̠ AI i AC ɡ a̠ AI m e̞ AC
あいがん	a̠ AI i AC ɡ ã̠ ɴ
あいがんどうぶつ	a̠ AI i AC ɡ ã̠ n d o̞ː AE b ɯ̟ᵝ t s ɨᵝ
あいき	a̠ AI i AC kʲ i AC
あいきどう	a̠ AI i AC kʲ i AC d o̞ː AE
あいきょう	a̠ AI i AC kʲ o̞ː AE
あいくち	a̠ AI i AC k ɯ̟ᵝ t ɕ i AC
あいくるしい	a̠ AI i AC k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː AD
あいけん	a̠ AI i AC k ẽ̞ ɴ
あいこ	a̠ AI i AC k o̞ AF
あいこう	a̠ AI i AC k o̞ː AE
あいこうか	a̠ AI i AC k o̞ː AE k a̠ AI
あいこく	a̠ AI i AC k o̞ AF k ɯ̟ᵝ
あいこくしゃ	a̠ AI i AC k o̞ AF k ɯ̟ᵝ ɕ a̠ AI
あいこくしゅぎ	a̠ AI i AC k o̞ AF k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i AC
あいこっか	a̠ AI i AC k o̞ AF k̚ k a̠ AI
あいことば	a̠ AI i AC k o̞ AF t o̞ AF b a̠ AI
あいご	a̠ AI i AC ɡ o̞ AF
あいさい	a̠ AI i AC s a̠ AI i AC
あいさつ	a̠ AI i AC s a̠ AI t s ɨᵝ
あいしている	a̠ AI i AC ɕ i AC t e̞ AC i AC ɾ ɯ̟ᵝ
あいしゃ	a̠ AI i AC ɕ a̠ AI
あいしゃせいしん	a̠ AI i AC ɕ a̠ AI s e̞ː AD ɕ ĩ ɴ
あいしゅう	a̠ AI i AC ɕ ɨᵝː
あいしょう	a̠ AI i AC ɕ o̞ː AE
あいしょうか	a̠ AI i AC ɕ o̞ː AE k a̠ AI
あいしんかくら	a̠ AI i AC ɕ ĩ ŋ k a̠ AI k ɯ̟ᵝ ɾ a̠ AI
あいじ	a̠ AI i AC ʑ i AC
あいじょう	a̠ AI i AC ʑ o̞ː AE
あいじん	a̠ AI i AC ʑ ĩ ɴ
あいす	a̠ AI i AC s ɨᵝ
あいする	a̠ AI i AC s ɨᵝ ɾ ɯ̟ᵝ
あいず	a̠ AI i AC z ɨᵝ
あいせき	a̠ AI i AC s e̞ AC kʲ i AC
あいそ	a̠ AI i AC s o̞ AF
あいぞう	a̠ AI i AC z o̞ː AE
あいぞうばん	a̠ AI i AC z o̞ː AE b ã̠ ɴ
あいぞめ	a̠ AI i AC z o̞ AF m e̞ AC
あいたい	a̠ AI i AC t a̠ AI i AC
あいだ	a̠ AI i AC d a̠ AI
あいだがら	a̠ AI i AC d a̠ AI ɡ a̠ AI ɾ a̠ AI
あいち	a̠ AI i AC t ɕ i AC
あいちけん	a̠ AI i AC t ɕ i AC k ẽ̞ ɴ
あいちょう	a̠ AI i AC t ɕ o̞ː AE
あいつ	a̠ AI i AC t s ɨᵝ
あいつぐ	a̠ AI i AC t s ɨᵝ ɡ ɯ̟ᵝ
あいつら	a̠ AI i AC t s ɨᵝ ɾ a̠ AI
あいて	a̠ AI i AC t e̞ AC
あいな	a̠ AI i AC n a̠ AI
あいにく	a̠ AI i AC ɲ̟ i AC k ɯ̟ᵝ
あいのて	a̠ AI i AC n o̞ AF t e̞ AC
あいふく	a̠ AI i AC ɸ ɯ̟ᵝ k ɯ̟ᵝ
あいぶ	a̠ AI i AC b ɯ̟ᵝ
あいぼ	a̠ AI i AC b o̞ AF
あいま	a̠ AI i AC m a̠ AI
あいまい	a̠ AI i AC m a̠ AI i AC
あいよ	a̠ AI i AC j AB o̞ AF
あいよめ	a̠ AI i AC j AB o̞ AF m e̞ AC
あう	a̠ AI ɯ̟ᵝ
あうん	a̠ AI ɯ̟̃ᵝ ɴ
あえぎごえ	a̠ AI e̞ AC ɡʲ i AC ɡ o̞ AF e̞ AC
あえぐ	a̠ AI e̞ AC ɡ ɯ̟ᵝ
あえる	a̠ AI e̞ AC ɾ ɯ̟ᵝ
あえん	a̠ AI ẽ̞ ɴ
あお	a̠ AI o̞ AF
あおい	a̠ AI o̞ AF i AC
あおいろ	a̠ AI o̞ AF i AC ɾ o̞ AF
あおうなばら	a̠ AI o̞ AF ɯ̟ᵝ n a̠ AI b a̠ AI ɾ a̠ AI
あおうみがめ	a̠ AI o̞ AF ɯ̟ᵝ mʲ i AC ɡ a̠ AI m e̞ AC
あおうめ	a̠ AI o̞ AF ɯ̟ᵝ m e̞ AC
あおかん	a̠ AI o̞ AF k ã̠ ɴ
あおき	a̠ AI o̞ AF kʲ i AC
あおぎみる	a̠ AI o̞ AF ɡʲ i AC mʲ i AC ɾ ɯ̟ᵝ
あおぎり	a̠ AI o̞ AF ɡʲ i AC ɾʲ i AC
あおぐ	a̠ AI o̞ AF ɡ ɯ̟ᵝ
あおげいとう	a̠ AI o̞ AF ɡ e̞ː AD t o̞ː AE
