Ⴁ	b
Ⴂ	ɡ
Ⴍ	ɔ AC
ა	ɑ AB
ააბარგებს	ɑ AB ɑ AB b ɑ AB r ɡ ɛ AB b s
ააგდებს	ɑ AB ɑ AB ɡ d ɛ AB b s
ააგიზგიზებს	ɑ AB ɑ AB ɡ i AB z ɡ i AB z ɛ AB b s
ააგო	ɑ AB ɑ AB ɡ ɔ AC
აადვილებს	ɑ AB ɑ AB d v i AB l ɛ AB b s
აალებადი	ɑ AB ɑ AB l ɛ AB b ɑ AB d i AB
აალებული	ɑ AB ɑ AB l ɛ AB b u AC l i AB
აამებს	ɑ AB ɑ AB m ɛ AB b s
აბა	ɑ AB b ɑ AB
აბაზანა	ɑ AB b ɑ AB z ɑ AB n ɑ AB
აბაზი	ɑ AB b ɑ AB z i AB
აბაიშვილი	ɑ AB b ɑ AB i AB ʃ v i AB l i AB
აბაკი	ɑ AB b ɑ AB kʼ i AB
აბამს	ɑ AB b ɑ AB m s
აბანო	ɑ AB b ɑ AB n ɔ AC
აბანოზი	ɑ AB b ɑ AB n ɔ AC z i AB
აბაჟური	ɑ AB b ɑ AB ʒ u AC r i AB
აბარგება	ɑ AB b ɑ AB r ɡ ɛ AB b ɑ AB
აბარებს	ɑ AB b ɑ AB r ɛ AB b s
აბატი	ɑ AB b ɑ AB tʼ i AB
აბგა	ɑ AB b ɡ ɑ AB
აბდაუბდა	ɑ AB b d ɑ AB u AC b d ɑ AB
აბედი	ɑ AB b ɛ AB d i AB
აბეზღებს	ɑ AB b ɛ AB z ɣ ɛ AB b s
აბელი	ɑ AB b ɛ AB l i AB
აბელიანი	ɑ AB b ɛ AB l i AB ɑ AB n i AB
აბზაცი	ɑ AB b z ɑ AB t s i AB
აბზინდა	ɑ AB b z i AB n d ɑ AB
აბი	ɑ AB b i AB
აბიბინებს	ɑ AB b i AB b i AB n ɛ AB b s
აბინძურებს	ɑ AB b i AB n d z u AC r ɛ AB b s
აბლაბუდა	ɑ AB b l ɑ AB b u AC d ɑ AB
აბლაგვებს	ɑ AB b l ɑ AB ɡ v ɛ AB b s
აბლაუტი	ɑ AB b l ɑ AB u AC tʼ i AB
აბმა	ɑ AB b m ɑ AB
აბო	ɑ AB b ɔ AC
აბონემენტი	ɑ AB b ɔ AC n ɛ AB m ɛ AB n tʼ i AB
აბონენტი	ɑ AB b ɔ AC n ɛ AB n tʼ i AB
აბორიგენი	ɑ AB b ɔ AC r i AB ɡ ɛ AB n i AB
აბრაგი	ɑ AB b r ɑ AB ɡ i AB
აბრაკადაბრა	ɑ AB b r ɑ AB kʼ ɑ AB d ɑ AB b r ɑ AB
აბრალებს	ɑ AB b r ɑ AB l ɛ AB b s
აბრამი	ɑ AB b r ɑ AB m i AB
აბრამიშვილი	ɑ AB b r ɑ AB m i AB ʃ v i AB l i AB
აბრევი	ɑ AB b r ɛ AB v i AB
აბრევიატურა	ɑ AB b r ɛ AB v i AB ɑ AB tʼ u AC r ɑ AB
