ᆜ	j AB ɯ AD
ᆫ다	n d a̠ AF
ᆫ데	n d e̞ AD
ᆫ지	ɲ d ʑ i AD
ᆯ게	ɭ k͈ e̞ AD
ᆯ지	ʎ t ɕ͈ i AD
ᆸ니까	m n i AD k͈ a̠ AF
ᆸ니다	m n i AD d a̠ AF
ᆸ시다	p ɕ͈ i AD d a̠ AF
ㄱㄴㄷ순	k a̠ AF n a̠ AF d a̠ AF sʰ u AE n
ㄴㄴ	n o̞ AE n o̞ AE
ㅅ	t̚
ㅇㄱㄹㅇ	i AD ɡ ʌ̹ ɾ e̞ AD a̠ AF ɭ
ㅇㅇ	ɯ AD ŋ
ㅈ	t ɕ
ㅈㅅ	t ɕ w AC e̞ AD sʰ o̞ AE ŋ
ㅋㅋㅋ	k x ɯ AD k x ɯ AD k x ɯ AD
ㅏ	a̠ AF
ㅑ	j AB a̠ AF
ㅓ	ʌ̹
ㅔ	e̞ AD
ㅕ	j AB ʌ̹
ㅖ	j AB e̞ AD
ㅗ	o̞ AE
ㅘ	w AC a̠ AF
ㅚ	w AC e̞ AD
ㅛ	j AB o AE
ㅜ	u AE
ㅝ	w AC ʌ̹
ㅞ	w AC e̞ AD
ㅟ	ɥ AC i AD
ㅠ	j AB u AE
ㅡ	ɯ AD
ㅢ	ɰ AB i AD
ㅣ	i AD
가	k a̠ː AF
가가린	k a̠ AF ɡ a̠ AF ɾ i AD n
가가우스어	k a̠ AF ɡ a̠ AF u AE sʰ ɯ AD ʌ̹
가감	k a̠ AF ɡ a̠ AF m
가강수량	k a̠ AF ɡ a̠ AF ŋ sʰ u AE ɾ j AB a̠ AF ŋ
가갸시절	k a̠ AF ɡ j AB a̠ AF ɕʰ i AD d ʑ ʌ̹ ɭ
가게	k a̠ː AF ɡ e̞ AD
가격	k a̠ AF ɡ j AB ʌ̹ k̚
가계	k a̠ AF ɡ j AB e̞ AD
가곡	k a̠ AF ɡ o̞ AE k̚
