ᆜ	j AB ɯ AJ
ᆫ다	n AF d AC a̠ AJ
ᆫ데	n AF d AC e̞ AJ
ᆫ지	ɲ AF d AC ʑ AL i AJ
ᆯ게	ɭ AN k͈ AC e̞ AJ
ᆯ지	ʎ AN t AC ɕ͈ i AJ
ᆸ니까	m AE n AF i AJ k͈ AC a̠ AJ
ᆸ니다	m AE n AF i AJ d AC a̠ AJ
ᆸ시다	p AG ɕ͈ i AJ d AC a̠ AJ
ㄱㄴㄷ순	k AC a̠ AJ n AF a̠ AJ d AC a̠ AJ sʰ BB u AK n AF
ㄴㄴ	n AF o̞ AK n AF o̞ AK
ㅅ	t̚
ㅇㄱㄹㅇ	i AJ ɡ AC ʌ̹ ɾ BA e̞ AJ a̠ AJ ɭ AN
ㅇㅇ	ɯ AJ ŋ AF
ㅈ	t AC ɕ AL
ㅈㅅ	t AC ɕ AL w AI e̞ AJ sʰ BB o̞ AK ŋ AF
ㅋㅋㅋ	k AC x AL ɯ AJ k AC x AL ɯ AJ k AC x AL ɯ AJ
ㅏ	a̠ AJ
ㅑ	j AB a̠ AJ
ㅓ	ʌ̹
ㅔ	e̞ AJ
ㅕ	j AB ʌ̹
ㅖ	j AB e̞ AJ
ㅗ	o̞ AK
ㅘ	w AI a̠ AJ
ㅚ	w AI e̞ AJ
ㅛ	j AB o AK
ㅜ	u AK
ㅝ	w AI ʌ̹
ㅞ	w AI e̞ AJ
ㅟ	ɥ AI i AJ
ㅠ	j AB u AK
ㅡ	ɯ AJ
ㅢ	ɰ AB i AJ
ㅣ	i AJ
가	k AC a̠ː AJ
가가린	k AC a̠ AJ ɡ AC a̠ AJ ɾ BA i AJ n AF
가가우스어	k AC a̠ AJ ɡ AC a̠ AJ u AK sʰ BB ɯ AJ ʌ̹
가감	k AC a̠ AJ ɡ AC a̠ AJ m AE
가강수량	k AC a̠ AJ ɡ AC a̠ AJ ŋ AF sʰ BB u AK ɾ BA j AB a̠ AJ ŋ AF
가갸시절	k AC a̠ AJ ɡ AC j AB a̠ AJ ɕʰ BB i AJ d AC ʑ AL ʌ̹ ɭ AN
가게	k AC a̠ː AJ ɡ AC e̞ AJ
가격	k AC a̠ AJ ɡ AC j AB ʌ̹ k̚
가계	k AC a̠ AJ ɡ AC j AB e̞ AJ
가곡	k AC a̠ AJ ɡ AC o̞ AK k̚
가공	k AC a̠ AJ ɡ AC o̞ AK ŋ AF
가공품	k AC a̠ AJ ɡ AC o̞ AK ŋ AF pʰ AH u AK m AE
가공하다	k AC a̠ AJ ɡ AC o̞ AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
가관	k AC a̠ː AJ ɡ AC w AI a̠ AJ n AF
가구	k AC a̠ AJ ɡ AC u AK
가극	k AC a̠ AJ ɡ AC ɯ AJ k̚
가금	k AC a̠ AJ ɡ AC ɯ AJ m AE
가까이	k AC a̠ AJ k͈ AC a̠ AJ i AJ
가까이하다	k AC a̠ AJ k͈ AC a̠ AJ i AJ ɦ AA a̠ AJ d AC a̠ AJ
가깝다	k AC a̠ AJ k͈ AC a̠ AJ p̚ t͈ AC a̠ AJ
가꾸다	k AC a̠ AJ k͈ AC u AK d AC a̠ AJ
가끔	k AC a̠ AJ k͈ AC ɯ AJ m AE
가끔씩	k AC a̠ AJ k͈ AC ɯ AJ m AE ɕ͈ i AJ k̚
가나	k AC a̠ AJ n AF a̠ AJ
가나다순	k AC a̠ AJ n AF a̠ AJ d AC a̠ AJ sʰ BB u AK n AF
가난	k AC a̠ AJ n AF a̠ AJ n AF
가난하다	k AC a̠ AJ n AF a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
가난히	k AC a̠ AJ n AF a̠ AJ n AF ʝ AL i AJ
가누다	k AC a̠ AJ n AF u AK d AC a̠ AJ
가는돌고기	k AC a̠ AJ n AF ɯ AJ n AF d AC o̞ AK ɭ AN ɡ AC o̞ AK ɡ AC i AJ
가는쥐	k AC a̠ AJ n AF ɯ AJ ɲ AF d AC ʑ AL ɥ AI i AJ
가늘다	k AC a̠ AJ n AF ɯ AJ ɭ AN d AC a̠ AJ
가늠	k AC a̠ AJ n AF ɯ AJ m AE
가늠하다	k AC a̠ AJ n AF ɯ AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
가능	k AC a̠ː AJ n AF ɯ AJ ŋ AF
가능성	k AC a̠ː AJ n AF ɯ AJ ŋ AF s͈ AL ʌ̹ ŋ AF
가능하다	k AC a̠ː AJ n AF ɯ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
가닛	k AC a̠ AJ n AF i AJ t̚
가다	k AC a̠ AJ d AC a̠ AJ
가다붙다	k AC a̠ AJ d AC a̠ AJ b AG u AK t̚ t͈ AC a̠ AJ
가달	k AC a̠ AJ d AC a̠ AJ ɭ AN
