က	k AC a̰ AL
ကကုသန်	k AC a̰ AL k AC ṵ θ AJ a AL ɴ AG
ကကုသန်ဘုရား	k AC a̰ AL k AC ṵ θ AJ a AL ɴ AG pʰ AI ə AL j AB a AL
ကက်စီနို	k AC ɛ AL ʔ AC s AJ i AL n AG o AM
ကက်ပတိန်	k AC ɛ AL ʔ AC p AH ə AL t AC e AL ɪ AL ɴ AG
ကက်သလစ်	k AC ɛ AL ʔ AC θ AJ ə AL l AE ɪ AL ʔ AC
ကကြီး	k AC a̰ AL d AC ʑ AJ i AL
ကချင်	k AC ə AL t AC ɕʰ BA ɪ AL ɴ AG
ကချေသည်	k AC a̰ AL d AC ʑ AJ e AL ð AJ e AL
ကင်ဆာရောဂါ	k AC ɪ AL ɴ AG sʰ BA a AL j AB ɔ AM ɡ AC a AL
ကင်ညာ	k AC ɪ AL ɴ AG ɲ AG a AL
ကင်ပွန်း	k AC ɪ AL ɴ AG b AH ʊ AM ɴ AG
ကင်မရာ	k AC ɪ AL ɴ AG m AF ə AL ɹ AB a AL
ကင်မရွန်း	k AC ɪ AL ɴ AG m AF a̰ AL ɹ AB ʊ AM ɴ AG
ကင်း	k AC ɪ AL ɴ AG
ကင်းခြေများ	k AC ɪ AL ɴ AG t AC ɕ AJ i AL m AF j AB a AL
ကင်းပုံ	k AC ɪ AL ɴ AG b AH o AM ʊ AM ɴ AG
ကင်းမြီးကောက်	k AC ɪ AL ɴ AG m AF j AB i AL ɡ AC a AL ʊ AM ʔ AC
ကင်းမွန်	k AC ɪ AL ɴ AG m AF ʊ AM ɴ AG
ကစား	ɡ AC ə AL z AJ a AL
ကစားကွင်း	ɡ AC ə AL z AJ a AL ɡ AC w AK ɪ AL ɴ AG
ကစားစရာ	ɡ AC ə AL z AJ a AL z AJ ə AL j AB a AL
ကစားသမား	ɡ AC ə AL s AJ a AL ð AJ ə AL m AF a AL
ကဆုန်	k AC ə AL sʰ BA o AM ʊ AM ɴ AG
ကဆုန်လပြည့်နေ့	k AC ə AL sʰ BA o AM ʊ AM ɴ AG l AE a̰ AL p AH j AB ḭ n AG ḛ
ကညာ	k AC ə AL ɲ AG a AL
ကညွတ်ရိုး	k AC ə AL ɲ AG ʊ AM ʔ AC j AB o AM
ကဏန်း	ɡ AC ə AL n AG a AL ɴ AG
ကဏ္ဍ	k AC a AL n AG d AC a̰ AL
ကတည်းက	ɡ AC ə AL d AC ɛ AL ɡ AC a̰ AL
ကတိ	ɡ AC ə AL d AC ḭ
ကတော့	ɡ AC ə AL d AC ɔ̰ AM
ကတော်	ɡ AC ə AL d AC ɔ AM
ကတ္တား	k AC a AL ʔ AC t AC a AL
ကတ္တီပါ	ɡ AC ə AL d AC i AL b AH a AL
ကတ်	k AC a AL ʔ AC
ကတ်ကြေး	k AC a AL ʔ AC t AC ɕ AJ i AL
ကတ်ကြေးကိုက်	k AC a AL ʔ AC t AC ɕ AJ i AL k AC a AL ɪ AL ʔ AC
ကတ်ပြား	k AC a AL ʔ AC p AH j AB a AL
ကတ်သလိတ်	k AC a AL ʔ AC θ AJ ə AL l AE e AL ɪ AL ʔ AC
ကတွတ်ယို	k AC ə AL d AC ʊ AM ʔ AC j AB o AM
ကထိန်	k AC ə AL tʰ AD e AL ɪ AL ɴ AG
ကဒ်	k AC a AL d AC
ကနခို	k AC ə AL n AG ə AL kʰ AD o AM
ကနစိုး	k AC ə AL n AG ə AL z AJ o AM
ကနား	k AC ə AL n AG a AL
ကနုကမာ	k AC ə AL n AG ṵ k AC ə AL m AF a AL
ကနုတ်	k AC ə AL n AG o AM ʊ AM ʔ AC
ကနေဒါ	k AC a̰ AL n AG e AL d AC a AL
ကန့်	k AC a̰ AL ɴ AG
ကန့်လန့်ကာ	k AC ə AL l AE ə AL ɡ AC a AL
ကန္တာရ	k AC a AL ɴ AG t AC a AL j AB a̰ AL
ကန်	k AC a AL ɴ AG
ကန်စွန်း	ɡ AC ə AL z AJ ʊ AM ɴ AG
