က	k a̰ AG
ကကုသန်	k a̰ AG k ṵ θ a AD ɴ
ကကုသန်ဘုရား	k a̰ AG k ṵ θ a AD ɴ pʰ ə AD j AB a AD
ကက်စီနို	k ɛ AD ʔ s i AD n o AE
ကက်ပတိန်	k ɛ AD ʔ p ə AD t e AD ɪ AD ɴ
ကက်သလစ်	k ɛ AD ʔ θ ə AD l ɪ AD ʔ
ကကြီး	k a̰ AG d ʑ i AD
ကချင်	k ə AD t ɕʰ ɪ AD ɴ
ကချေသည်	k a̰ AG d ʑ e AD ð e AD
ကင်ဆာရောဂါ	k ɪ AD ɴ sʰ a AD j AB ɔ AE ɡ a AD
ကင်ညာ	k ɪ AD ɴ ɲ a AD
ကင်ပွန်း	k ɪ AD ɴ b ʊ AE ɴ
ကင်မရာ	k ɪ AD ɴ m ə AD ɹ AI a AD
ကင်မရွန်း	k ɪ AD ɴ m a̰ AG ɹ AI ʊ AE ɴ
ကင်း	k ɪ AD ɴ
ကင်းခြေများ	k ɪ AD ɴ t ɕ i AD m j AB a AD
ကင်းပုံ	k ɪ AD ɴ b o AE ʊ AE ɴ
ကင်းမြီးကောက်	k ɪ AD ɴ m j AB i AD ɡ a AD ʊ AE ʔ
ကင်းမွန်	k ɪ AD ɴ m ʊ AE ɴ
ကစား	ɡ ə AD z a AD
ကစားကွင်း	ɡ ə AD z a AD ɡ w AC ɪ AD ɴ
ကစားစရာ	ɡ ə AD z a AD z ə AD j AB a AD
ကစားသမား	ɡ ə AD s a AD ð ə AD m a AD
ကဆုန်	k ə AD sʰ o AE ʊ AE ɴ
ကဆုန်လပြည့်နေ့	k ə AD sʰ o AE ʊ AE ɴ l a̰ AG p j AB ḭ n ḛ
ကညာ	k ə AD ɲ a AD
ကညွတ်ရိုး	k ə AD ɲ ʊ AE ʔ j AB o AE
ကဏန်း	ɡ ə AD n a AD ɴ
ကဏ္ဍ	k a AD n d a̰ AG
ကတည်းက	ɡ ə AD d ɛ AD ɡ a̰ AG
ကတိ	ɡ ə AD d ḭ
ကတော့	ɡ ə AD d ɔ̰ AH
ကတော်	ɡ ə AD d ɔ AE
ကတ္တား	k a AD ʔ t a AD
ကတ္တီပါ	ɡ ə AD d i AD b a AD
ကတ်	k a AD ʔ
ကတ်ကြေး	k a AD ʔ t ɕ i AD
ကတ်ကြေးကိုက်	k a AD ʔ t ɕ i AD k a AD ɪ AD ʔ
ကတ်ပြား	k a AD ʔ p j AB a AD
ကတ်သလိတ်	k a AD ʔ θ ə AD l e AD ɪ AD ʔ
ကတွတ်ယို	k ə AD d ʊ AE ʔ j AB o AE
ကထိန်	k ə AD tʰ e AD ɪ AD ɴ
ကဒ်	k a AD d
ကနခို	k ə AD n ə AD kʰ o AE
ကနစိုး	k ə AD n ə AD z o AE
ကနား	k ə AD n a AD
ကနုကမာ	k ə AD n ṵ k ə AD m a AD
ကနုတ်	k ə AD n o AE ʊ AE ʔ
ကနေဒါ	k a̰ AG n e AD d a AD
ကန့်	k a̰ AG ɴ
ကန့်လန့်ကာ	k ə AD l ə AD ɡ a AD
ကန္တာရ	k a AD ɴ t a AD j AB a̰ AG
ကန်	k a AD ɴ
ကန်စွန်း	ɡ ə AD z ʊ AE ɴ
ကန်စွန်းဥ	ɡ ə AD z ʊ AE ɴ ʔ ṵ
ကန်တော့	ɡ ə AD d ɔ̰ AH
ကန်ထရိုက်	k a AD ɴ tʰ ə AD ɹ AI a AD ɪ AD ʔ
ကပ္ပလီ	k a AD ʔ p ə AD l i AD
ကပ္ပလီပင်လယ်	k a AD ʔ p ə AD l i AD p ɪ AD ɴ l ɛ AD
ကပ်	k a AD ʔ
ကပ်ကြီးသုံးပါး	k a AD ʔ d ʑ i AD θ o AE ʊ AE ɴ b a AD
ကပ်နာ	k a AD ʔ n a AD
ကပ်ပယ်	k a AD ʔ p ɛ AD
ကပ်ပါး	k a AD ʔ p a AD
