ababa	a AC β a AC β a AC
ababillarse	a AC β a AC β i AC ʎ a AC r s e AC
ababol	a AC β a AC β o AD l
ababábite	a AC β a AC β a AC β i AC t̪ e AC
abacalera	a AC β a AC k a AC l e AC ɾ a AC
abacalero	a AC β a AC k a AC l e AC ɾ o AD
abacero	a AC β a AC θ e AC ɾ o AD
abacería	a AC β a AC θ e AC ɾ i AC a AC
abaciado	a AC β a AC θ j AA a AC ð o AD
abacial	a AC β a AC θ j AA a AC l
abaciales	a AC β a AC θ j AA a AC l e AC s
abacora	a AC β a AC k o AD ɾ a AC
abacorada	a AC β a AC k o AD ɾ a AC ð a AC
abacoradas	a AC β a AC k o AD ɾ a AC ð a AC s
abacorado	a AC β a AC k o AD ɾ a AC ð o AD
abacorados	a AC β a AC k o AD ɾ a AC ð o AD s
abacorar	a AC β a AC k o AD ɾ a AC ɾ
abacá	a AC β a AC k a AC
abad	a AC β a AC ð
abadejo	a AC β a AC ð e AC x o AD
abadengo	a AC β a AC ð ẽ ŋ ɡ o AD
abadernada	a AC β a AC ð e AC r n a AC ð a AC
abadernadas	a AC β a AC ð e AC r n a AC ð a AC s
abadernado	a AC β a AC ð e AC r n a AC ð o AD
abadernados	a AC β a AC ð e AC r n a AC ð o AD s
abadernar	a AC β a AC ð e AC r n a AC ɾ
abadernábamos	a AC β a AC ð e AC r n a AC β a AC m o AD s
abadesa	a AC β a AC ð e AC s a AC
abadiano	a AC β a AC ð j AA a AC n o AD
abadán	a AC β a AC ð ã n
abadí	a AC β a AC ð i AC
abadía	a AC β a AC ð i AC a AC
abaja	a AC β a AC x a AC
abajada	a AC β a AC x a AC ð a AC
abajadas	a AC β a AC x a AC ð a AC s
abajadero	a AC β a AC x a AC ð e AC ɾ o AD
abajado	a AC β a AC x a AC ð o AD
abajados	a AC β a AC x a AC ð o AD s
abajar	a AC β a AC x a AC ɾ
abajera	a AC β a AC x e AC ɾ a AC
abajeña	a AC β a AC x e AC ɲ a AC
abajeño	a AC β a AC x e AC ɲ o AD
abajo	a AC β a AC x o AD
abalanzada	a AC β a AC l ã n̟ θ a AC ð a AC
abalanzadas	a AC β a AC l ã n̟ θ a AC ð a AC s
abalanzado	a AC β a AC l ã n̟ θ a AC ð o AD
abalanzados	a AC β a AC l ã n̟ θ a AC ð o AD s
abalanzar	a AC β a AC l ã n̟ θ a AC ɾ
abalconado	a AC β a AC l k o AD n a AC ð o AD
abaldonada	a AC β a AC l̪ d̪ o AD n a AC ð a AC
abaldonadas	a AC β a AC l̪ d̪ o AD n a AC ð a AC s
abaldonado	a AC β a AC l̪ d̪ o AD n a AC ð o AD
abaldonados	a AC β a AC l̪ d̪ o AD n a AC ð o AD s
abaldonar	a AC β a AC l̪ d̪ o AD n a AC ɾ
abaleada	a AC β a AC l e AC a AC ð a AC
abaleadas	a AC β a AC l e AC a AC ð a AC s
abaleado	a AC β a AC l e AC a AC ð o AD
abaleados	a AC β a AC l e AC a AC ð o AD s
abalear	a AC β a AC l e AC a AC ɾ
abaleo	a AC β a AC l e AC o AD
abalorio	a AC β a AC l o AD ɾ j AA o AD
abaluartada	a AC β a AC l w AB a AC r t̪ a AC ð a AC
abaluartadas	a AC β a AC l w AB a AC r t̪ a AC ð a AC s
abaluartado	a AC β a AC l w AB a AC r t̪ a AC ð o AD
abaluartados	a AC β a AC l w AB a AC r t̪ a AC ð o AD s
abaluartar	a AC β a AC l w AB a AC r t̪ a AC ɾ
abana	a AC β a AC n a AC
abanada	a AC β a AC n a AC ð a AC
abanadas	a AC β a AC n a AC ð a AC s
abanado	a AC β a AC n a AC ð o AD
abanados	a AC β a AC n a AC ð o AD s
abanamos	a AC β a AC n a AC m o AD s
abanar	a AC β a AC n a AC ɾ
abanaríamos	a AC β a AC n a AC ɾ i AC a AC m o AD s
abanas	a AC β a AC n a AC s
abancalada	a AC β ã ŋ k a AC l a AC ð a AC
abancaladas	a AC β ã ŋ k a AC l a AC ð a AC s
abancalado	a AC β ã ŋ k a AC l a AC ð o AD
abancalados	a AC β ã ŋ k a AC l a AC ð o AD s
abancalar	a AC β ã ŋ k a AC l a AC ɾ
abanderada	a AC β ã n̪ d̪ e AC ɾ a AC ð a AC
abanderadas	a AC β ã n̪ d̪ e AC ɾ a AC ð a AC s
abanderado	a AC β ã n̪ d̪ e AC ɾ a AC ð o AD
abanderados	a AC β ã n̪ d̪ e AC ɾ a AC ð o AD s
abanderamiento	a AC β ã n̪ d̪ e AC ɾ a AC m j AA ẽ n̪ t̪ o AD
abanderar	a AC β ã n̪ d̪ e AC ɾ a AC ɾ
abanderizada	a AC β ã n̪ d̪ e AC ɾ i AC θ a AC ð a AC
abanderizadas	a AC β ã n̪ d̪ e AC ɾ i AC θ a AC ð a AC s
abanderizado	a AC β ã n̪ d̪ e AC ɾ i AC θ a AC ð o AD
abanderizados	a AC β ã n̪ d̪ e AC ɾ i AC θ a AC ð o AD s
abanderizar	a AC β ã n̪ d̪ e AC ɾ i AC θ a AC ɾ
abanderés	a AC β ã n̪ d̪ e AC ɾ e AC s
abandona	a AC β ã n̪ d̪ o AD n a AC
abandonada	a AC β ã n̪ d̪ o AD n a AC ð a AC
abandonadas	a AC β ã n̪ d̪ o AD n a AC ð a AC s
abandonado	a AC β ã n̪ d̪ o AD n a AC ð o AD
abandonados	a AC β ã n̪ d̪ o AD n a AC ð o AD s
abandonamiento	a AC β ã n̪ d̪ o AD n a AC m j AA ẽ n̪ t̪ o AD
abandonamos	a AC β ã n̪ d̪ o AD n a AC m o AD s
abandonando	a AC β ã n̪ d̪ o AD n ã n̪ d̪ o AD
abandonar	a AC β ã n̪ d̪ o AD n a AC ɾ
abandonares	a AC β ã n̪ d̪ o AD n a AC ɾ e AC s
abandonaríamos	a AC β ã n̪ d̪ o AD n a AC ɾ i AC a AC m o AD s
abandonas	a AC β ã n̪ d̪ o AD n a AC s
abandonismo	a AC β ã n̪ d̪ o AD n i AC z m o AD
abandonista	a AC β ã n̪ d̪ o AD n i AC s t̪ a AC
abandonistas	a AC β ã n̪ d̪ o AD n i AC s t̪ a AC s
abandono	a AC β ã n̪ d̪ o AD n o AD
abandonos	a AC β ã n̪ d̪ o AD n o AD s
abandonáramos	a AC β ã n̪ d̪ o AD n a AC ɾ a AC m o AD s
abanicada	a AC β a AC n i AC k a AC ð a AC
abanicadas	a AC β a AC n i AC k a AC ð a AC s
abanicado	a AC β a AC n i AC k a AC ð o AD
abanicados	a AC β a AC n i AC k a AC ð o AD s
abanicar	a AC β a AC n i AC k a AC ɾ
abanicazo	a AC β a AC n i AC k a AC θ o AD
abanico	a AC β a AC n i AC k o AD
abanillo	a AC β a AC n i AC ʎ o AD
abano	a AC β a AC n o AD
abanos	a AC β a AC n o AD s
abanto	a AC β ã n̪ t̪ o AD
abanáramos	a AC β a AC n a AC ɾ a AC m o AD s
abaratada	a AC β a AC ɾ a AC t̪ a AC ð a AC
abaratadas	a AC β a AC ɾ a AC t̪ a AC ð a AC s
abaratado	a AC β a AC ɾ a AC t̪ a AC ð o AD
abaratados	a AC β a AC ɾ a AC t̪ a AC ð o AD s
abaratamiento	a AC β a AC ɾ a AC t̪ a AC m j AA ẽ n̪ t̪ o AD
abaratar	a AC β a AC ɾ a AC t̪ a AC ɾ
abarbetada	a AC β a AC r β e AC t̪ a AC ð a AC
abarbetadas	a AC β a AC r β e AC t̪ a AC ð a AC s
abarbetado	a AC β a AC r β e AC t̪ a AC ð o AD
abarbetados	a AC β a AC r β e AC t̪ a AC ð o AD s
abarbetar	a AC β a AC r β e AC t̪ a AC ɾ
abarca	a AC β a AC r k a AC
abarcada	a AC β a AC r k a AC ð a AC
abarcadas	a AC β a AC r k a AC ð a AC s
abarcado	a AC β a AC r k a AC ð o AD
abarcador	a AC β a AC r k a AC ð o AD ɾ
abarcados	a AC β a AC r k a AC ð o AD s
abarcamos	a AC β a AC r k a AC m o AD s
abarcando	a AC β a AC r k ã n̪ d̪ o AD
abarcar	a AC β a AC r k a AC ɾ
