ababa	a AI β AL a AI β AL a AI
ababol	a AI β AL a AI β AL o AJ l AC
ababábite	a AI β AL a AI β AL a AI β AL i AI t̪ AB e AI
abacalera	a AI β AL a AI k AB a AI l AC e AI ɾ BB a AI
abacalero	a AI β AL a AI k AB a AI l AC e AI ɾ BB o AJ
abacora	a AI β AL a AI k AB o AJ ɾ BB a AI
abacorada	a AI β AL a AI k AB o AJ ɾ BB a AI ð AG a AI
abacoradas	a AI β AL a AI k AB o AJ ɾ BB a AI ð AG a AI s AG
abacorado	a AI β AL a AI k AB o AJ ɾ BB a AI ð AG o AJ
abacorados	a AI β AL a AI k AB o AJ ɾ BB a AI ð AG o AJ s AG
abacorar	a AI β AL a AI k AB o AJ ɾ BB a AI ɾ BB
abacá	a AI β AL a AI k AB a AI
abad	a AI β AL a AI ð AG
abadejo	a AI β AL a AI ð AG e AI x AG o AJ
abadengo	a AI β AL a AI ð AG ẽ ŋ AE ɡ AB o AJ
abadernada	a AI β AL a AI ð AG e AI r AK n AE a AI ð AG a AI
abadernadas	a AI β AL a AI ð AG e AI r AK n AE a AI ð AG a AI s AG
abadernado	a AI β AL a AI ð AG e AI r AK n AE a AI ð AG o AJ
abadernados	a AI β AL a AI ð AG e AI r AK n AE a AI ð AG o AJ s AG
abadernar	a AI β AL a AI ð AG e AI r AK n AE a AI ɾ BB
abadernábamos	a AI β AL a AI ð AG e AI r AK n AE a AI β AL a AI m AD o AJ s AG
abadesa	a AI β AL a AI ð AG e AI s AG a AI
abadiano	a AI β AL a AI ð AG j AA a AI n AE o AJ
abadán	a AI β AL a AI ð AG ã n AE
abadí	a AI β AL a AI ð AG i AI
abadía	a AI β AL a AI ð AG i AI a AI
abaja	a AI β AL a AI x AG a AI
abajada	a AI β AL a AI x AG a AI ð AG a AI
abajadas	a AI β AL a AI x AG a AI ð AG a AI s AG
abajadero	a AI β AL a AI x AG a AI ð AG e AI ɾ BB o AJ
abajado	a AI β AL a AI x AG a AI ð AG o AJ
abajados	a AI β AL a AI x AG a AI ð AG o AJ s AG
abajar	a AI β AL a AI x AG a AI ɾ BB
abajera	a AI β AL a AI x AG e AI ɾ BB a AI
abajeña	a AI β AL a AI x AG e AI ɲ AE a AI
abajeño	a AI β AL a AI x AG e AI ɲ AE o AJ
abajo	a AI β AL a AI x AG o AJ
abalconado	a AI β AL a AI l AC k AB o AJ n AE a AI ð AG o AJ
abaldonada	a AI β AL a AI l̪ AC d̪ AB o AJ n AE a AI ð AG a AI
abaldonadas	a AI β AL a AI l̪ AC d̪ AB o AJ n AE a AI ð AG a AI s AG
abaldonado	a AI β AL a AI l̪ AC d̪ AB o AJ n AE a AI ð AG o AJ
abaldonados	a AI β AL a AI l̪ AC d̪ AB o AJ n AE a AI ð AG o AJ s AG
abaldonar	a AI β AL a AI l̪ AC d̪ AB o AJ n AE a AI ɾ BB
abaleada	a AI β AL a AI l AC e AI a AI ð AG a AI
abaleadas	a AI β AL a AI l AC e AI a AI ð AG a AI s AG
abaleado	a AI β AL a AI l AC e AI a AI ð AG o AJ
abaleados	a AI β AL a AI l AC e AI a AI ð AG o AJ s AG
abalear	a AI β AL a AI l AC e AI a AI ɾ BB
abaleo	a AI β AL a AI l AC e AI o AJ
abalorio	a AI β AL a AI l AC o AJ ɾ BB j AA o AJ
abaluartada	a AI β AL a AI l AC w AH a AI r AK t̪ AB a AI ð AG a AI
abaluartadas	a AI β AL a AI l AC w AH a AI r AK t̪ AB a AI ð AG a AI s AG
abaluartado	a AI β AL a AI l AC w AH a AI r AK t̪ AB a AI ð AG o AJ
abaluartados	a AI β AL a AI l AC w AH a AI r AK t̪ AB a AI ð AG o AJ s AG
abaluartar	a AI β AL a AI l AC w AH a AI r AK t̪ AB a AI ɾ BB
abana	a AI β AL a AI n AE a AI
abanada	a AI β AL a AI n AE a AI ð AG a AI
abanadas	a AI β AL a AI n AE a AI ð AG a AI s AG
abanado	a AI β AL a AI n AE a AI ð AG o AJ
abanados	a AI β AL a AI n AE a AI ð AG o AJ s AG
abanamos	a AI β AL a AI n AE a AI m AD o AJ s AG
abanar	a AI β AL a AI n AE a AI ɾ BB
abanaríamos	a AI β AL a AI n AE a AI ɾ BB i AI a AI m AD o AJ s AG
abanas	a AI β AL a AI n AE a AI s AG
abancalada	a AI β AL ã ŋ AE k AB a AI l AC a AI ð AG a AI
abancaladas	a AI β AL ã ŋ AE k AB a AI l AC a AI ð AG a AI s AG
abancalado	a AI β AL ã ŋ AE k AB a AI l AC a AI ð AG o AJ
abancalados	a AI β AL ã ŋ AE k AB a AI l AC a AI ð AG o AJ s AG
abancalar	a AI β AL ã ŋ AE k AB a AI l AC a AI ɾ BB
abanderada	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB a AI ð AG a AI
abanderadas	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB a AI ð AG a AI s AG
abanderado	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB a AI ð AG o AJ
abanderados	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB a AI ð AG o AJ s AG
abanderamiento	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB a AI m AD j AA ẽ n̪ AE t̪ AB o AJ
abanderar	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB a AI ɾ BB
abanderés	a AI β AL ã n̪ AE d̪ AB e AI ɾ BB e AI s AG
abandona	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI
abandonada	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ð AG a AI
abandonadas	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ð AG a AI s AG
abandonado	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ð AG o AJ
abandonados	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ð AG o AJ s AG
abandonamiento	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI m AD j AA ẽ n̪ AE t̪ AB o AJ
abandonamos	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI m AD o AJ s AG
abandonando	a AI β AL ã n̪ AE d̪ AB o AJ n AE ã n̪ AE d̪ AB o AJ
abandonar	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ɾ BB
abandonares	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ɾ BB e AI s AG
abandonaríamos	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ɾ BB i AI a AI m AD o AJ s AG
abandonas	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI s AG
abandonismo	a AI β AL ã n̪ AE d̪ AB o AJ n AE i AI z AG m AD o AJ
abandonista	a AI β AL ã n̪ AE d̪ AB o AJ n AE i AI s AG t̪ AB a AI
abandonistas	a AI β AL ã n̪ AE d̪ AB o AJ n AE i AI s AG t̪ AB a AI s AG
abandono	a AI β AL ã n̪ AE d̪ AB o AJ n AE o AJ
abandonos	a AI β AL ã n̪ AE d̪ AB o AJ n AE o AJ s AG
abandonáramos	a AI β AL ã n̪ AE d̪ AB o AJ n AE a AI ɾ BB a AI m AD o AJ s AG
abanicada	a AI β AL a AI n AE i AI k AB a AI ð AG a AI
abanicadas	a AI β AL a AI n AE i AI k AB a AI ð AG a AI s AG
abanicado	a AI β AL a AI n AE i AI k AB a AI ð AG o AJ
abanicados	a AI β AL a AI n AE i AI k AB a AI ð AG o AJ s AG
abanicar	a AI β AL a AI n AE i AI k AB a AI ɾ BB
abanico	a AI β AL a AI n AE i AI k AB o AJ
abano	a AI β AL a AI n AE o AJ
abanos	a AI β AL a AI n AE o AJ s AG
abanto	a AI β AL ã n̪ AE t̪ AB o AJ
abanáramos	a AI β AL a AI n AE a AI ɾ BB a AI m AD o AJ s AG
abaratada	a AI β AL a AI ɾ BB a AI t̪ AB a AI ð AG a AI
abaratadas	a AI β AL a AI ɾ BB a AI t̪ AB a AI ð AG a AI s AG
abaratado	a AI β AL a AI ɾ BB a AI t̪ AB a AI ð AG o AJ
abaratados	a AI β AL a AI ɾ BB a AI t̪ AB a AI ð AG o AJ s AG
abaratamiento	a AI β AL a AI ɾ BB a AI t̪ AB a AI m AD j AA ẽ n̪ AE t̪ AB o AJ
abaratar	a AI β AL a AI ɾ BB a AI t̪ AB a AI ɾ BB
abarbetada	a AI β AL a AI r AK β AL e AI t̪ AB a AI ð AG a AI
abarbetadas	a AI β AL a AI r AK β AL e AI t̪ AB a AI ð AG a AI s AG
abarbetado	a AI β AL a AI r AK β AL e AI t̪ AB a AI ð AG o AJ
abarbetados	a AI β AL a AI r AK β AL e AI t̪ AB a AI ð AG o AJ s AG
abarbetar	a AI β AL a AI r AK β AL e AI t̪ AB a AI ɾ BB
abarca	a AI β AL a AI r AK k AB a AI
abarcada	a AI β AL a AI r AK k AB a AI ð AG a AI
abarcadas	a AI β AL a AI r AK k AB a AI ð AG a AI s AG
abarcado	a AI β AL a AI r AK k AB a AI ð AG o AJ
abarcador	a AI β AL a AI r AK k AB a AI ð AG o AJ ɾ BB
abarcados	a AI β AL a AI r AK k AB a AI ð AG o AJ s AG
abarcamos	a AI β AL a AI r AK k AB a AI m AD o AJ s AG
abarcando	a AI β AL a AI r AK k AB ã n̪ AE d̪ AB o AJ
abarcar	a AI β AL a AI r AK k AB a AI ɾ BB
abarcaríamos	a AI β AL a AI r AK k AB a AI ɾ BB i AI a AI m AD o AJ s AG
