't	t AC
'y	i AK
aa	ʔ AJ a AK a AK ʔ AJ
aam	ʔ AJ a AK a AK m AE
aba	ʔ AJ a AK b AG a AK ʔ AJ
abadiano	a AK b AG a AK d AC d AC ʒ AH a AK n AF o AM
abaka	a AK b AG a AK k AC a AK
abako	a AK b AG a AK k AC o AM
abakus	a AK b AG a AK k AC u AM s AH
abala	ɐ AM b AG ɐ AM l AD a AK
abalos	ʔ AJ a AK b AG a AK l AD o AM s AH
abandonado	ʔ AJ a AK b AG a AK n AF d AC o AM n AF a AK d AC o AM
abangan	ʔ AJ a AK b AG a AK ŋ AF a AK n AF
abaniko	ʔ AJ a AK b AG a AK n AF i AK k AC o AM
abay	ʔ AJ a AK b AG a AK j AB
abayan	ʔ AJ a AK b AG a AK j AB a AK n AF
abejuela	ʔ AJ a AK b AG ɛ AK d AC ʒ AH u AM ɛ AK l AD a AK
abelgas	ʔ AJ a AK b AG ɛ AK l AD ɡ AC a AK s AH
abellera	ʔ AJ a AK b AG ɛ AK l AD l AD ɛ AK ɾ BD a AK
abenida	a AK b AG ɛ AK n AF iː AL d AC a AK
aberya	ɑ AK b AG ɛ AK r BA j AB ɑ AK
abing	ʔ AJ a AK b AG i AK ŋ AF
abiso	a AK b AG i AK s AH ɔ AM
abisuhan	ʔ AJ a AK b AG i AK s AH u AM h AA a AK n AF
abitsuwelas	a AK b AG i AK t AC s AH u AM ɛ AK l AD a AK s AH
abnoy	a AK b AG n AF ɔ AM j AB
abo	ʔ AJ a AK b AG o AM
abogasya	ɑ AK b AG ɔ AM ɡ AC ɑ AK ɕ AH ɑ AK
aborsyonista	ɑ AK b AG ɔ AM r BA ɕ AH ɔ AM n AF i AK s AH t AC ɑ AK
abot	ʔ AJ a AK b AG ɔ AM t AC
abrasyete	ɑ AK b AG r BA ɑ AK ɕ AH ɛ AK t AC ɛ AK
abrazado	ʔ AJ a AK b AG ɾ BD a AK s AH a AK d AC o AM
abrenica	ʔ AJ a AK b AG ɾ BD ɛ AK n AF i AK k AC a AK
abril	a AK b AG ɾ BD i AK l AD
abueg	ʔ AJ a AK b AG w AI ɛ AK ɡ AC
abulencia	ʔ AJ a AK b AG u AM l AD ɛ AK n AF s AH j AB a AK
abusado	ʔ AJ a AK b AG u AM s AH a AK d AC o AM
abusuhin	ʔ AJ a AK b AG u AM s AH u AM h AA i AK n AF
abutin	ʔ AJ a AK b AG u AM t AC i AK n AF
