't	t
'y	i AD
aa	ʔ a AD a AD ʔ
aam	ʔ a AD a AD m
aba	ʔ a AD b a AD ʔ
abadiano	a AD b a AD d d ʒ a AD n o AF
abaka	a AD b a AD k a AD
abako	a AD b a AD k o AF
abakus	a AD b a AD k u AF s
abala	ɐ AF b ɐ AF l a AD
abalos	ʔ a AD b a AD l o AF s
abandonado	ʔ a AD b a AD n d o AF n a AD d o AF
abangan	ʔ a AD b a AD ŋ a AD n
abaniko	ʔ a AD b a AD n i AD k o AF
abay	ʔ a AD b a AD j AB
abayan	ʔ a AD b a AD j AB a AD n
abejuela	ʔ a AD b ɛ AD d ʒ u AF ɛ AD l a AD
abelgas	ʔ a AD b ɛ AD l ɡ a AD s
abellera	ʔ a AD b ɛ AD l l ɛ AD ɾ a AD
abenida	a AD b ɛ AD n iː AE d a AD
aberya	ɑ AD b ɛ AD r j AB ɑ AD
abing	ʔ a AD b i AD ŋ
abiso	a AD b i AD s ɔ AF
abisuhan	ʔ a AD b i AD s u AF h AA a AD n
abitsuwelas	a AD b i AD t s u AF ɛ AD l a AD s
abnoy	a AD b n ɔ AF j AB
abo	ʔ a AD b o AF
abogasya	ɑ AD b ɔ AF ɡ ɑ AD ɕ ɑ AD
aborsyonista	ɑ AD b ɔ AF r ɕ ɔ AF n i AD s t ɑ AD
abot	ʔ a AD b ɔ AF t
abrasyete	ɑ AD b r ɑ AD ɕ ɛ AD t ɛ AD
abrazado	ʔ a AD b ɾ a AD s a AD d o AF
abrenica	ʔ a AD b ɾ ɛ AD n i AD k a AD
abril	a AD b ɾ i AD l
abueg	ʔ a AD b w AC ɛ AD ɡ
abulencia	ʔ a AD b u AF l ɛ AD n s j AB a AD
abusado	ʔ a AD b u AF s a AD d o AF
abusuhin	ʔ a AD b u AF s u AF h AA i AD n
abutin	ʔ a AD b u AF t i AD n
abyad	ʔ a AD b j AB a AD d
abyador	ʔ a AD b j AB a AD d o AF ɾ
abyasyon	ɑ AD b j AB ɑ AD ɕ ɔ AF n
acierto	ʔ a AD s j AB ɛ AD ɾ t o AF
acorda	ʔ a AD k o AF ɾ d a AD
acuzar	ʔ a AD k u AF s a AD ɾ
adajar	ʔ a AD d a AD d ʒ a AD ɾ
adelpa	a AD d e AD l p a AD
adidas	a AD d i AD d a AD s
adik	ʔ a AD d i AD k
adiksyon	ɑ AD d i AD k̚ ɕ ɔ AF n
adisyunal	ɑ AD d i AD ɕ u AF n ɑ AD l
adlawan	ʔ a AD d l a AD w AC a AD n
administrasyon	ɑ AD d m i AD n i AD s t r ɑ AD ɕ ɔ AF n
adopsyon	ɑ AD d ɔ AF p̚ ɕ ɔ AF n
adres	ʔ a AD d ɾ ɛ AD s
