'y	ɪ AM
aba	ʔ AL ɐ BA b AG a AM ʔ AL
abalos	ʔ AL ɐ BA b AG ɐ BA l AD o BA s AH
abandonado	ʔ AL ɐ BA b AG ɐ BA n AF d AI o BA n AF ɐ BA d AI o BA
abaniko	ʔ AL ɐ BA b AG ɐ BA n AF ɪ AM x BC o BA
abejuela	ʔ AL ɐ BA b AG ɛ AM d AI ʒ AH ʊ BA ɛ AM l AD ɐ BA
abelgas	ʔ AL ɐ BA b AG ɛ AM l AD ɡ AC ɐ BA s AH
abellera	ʔ AL ɐ BA b AG ɛ AM l AD l AD ɛ AM ɾ BE ɐ BA
abing	ʔ AL ɐ BA b AG ɪ AM ŋ AK
abisuhan	ʔ AL ɐ BA b AG ɪ AM s AH ʊ BA h AA ɐ BA n AF
abo	ʔ AL ɐ BA b AG o BA
abrazado	ʔ AL ɐ BA b AG ɾ BE ɐ BA s AH ɐ BA d AI o BA
abrenica	ʔ AL ɐ BA b AG ɾ BE ɛ AM n AF ɪ AM x BC ɐ BA
abueg	ʔ AL ɐ BA b AG w AJ ɛ AM ɡ AC
abulencia	ʔ AL ɐ BA b AG ʊ BA l AD ɛ AM n AF ʃ AH ɐ BA
abusado	ʔ AL ɐ BA b AG ʊ BA s AH ɐ BA d AI o BA
abyad	ʔ AL ɐ BA b AG j AB ɐ BA d AI
abyador	ʔ AL ɐ BA b AG j AB ɐ BA d AI o BA ɾ BE
acierto	ʔ AL ɐ BA ʃ AH ɛ AM ɾ BE t AI o BA
acorda	ʔ AL ɐ BA x BC o BA ɾ BE d AI ɐ BA
acuzar	ʔ AL ɐ BA x BC ʊ BA s AH ɐ BA ɾ BE
adajar	ʔ AL ɐ BA d AI ɐ BA d AI ʒ AH ɐ BA ɾ BE
adik	ʔ AL a AM d AI ɪ AM k AC
adlawan	ʔ AL ɐ BA d AI l AD ɐ BA w AJ ɐ BA n AF
adres	ʔ AL ɐ BA d AI ɾ BE ɛ AM s AH
adrias	ʔ AL ɐ BA d AI ɾ BE ɪ AM ɐ BA s AH
agapay	ʔ AL ɐ BA ɰ AB ɐ BA p AG a AM ɪ̯ AB
agila	ʔ AL a AM ɰ AB ɪ AM l AD ɐ BA
agiw	ʔ AL a AM ɰ AB ɪ AM ʊ̯ AJ
agrabyado	ʔ AL ɐ BA ɡ AC ɾ BE ɐ BA b AG j AB a AM d AI o BA
aguas	ʔ AL ɐ BA ɰ AB ʊ BA ɐ BA s AH
aguda	ʔ AL ɐ BA ɰ AB ʊ BA d AI ɐ BA
aguilera	ʔ AL ɐ BA ɰ AB ɪ AM l AD ɛ AM ɾ BE ɐ BA
aguirre	ʔ AL ɐ BA ɰ AB ɪ AM ɾ BE ɛ AM
agustin	ʔ AL ɐ BA ɰ AB ʊ BA s AH t AI ɪ AM n AF
agwat	ʔ AL ɐ BA ɡ AC w AJ ɐ BA t AI
aksayado	ʔ AL ɐ BA k AC s AH ɐ BA j AB a AM d AI o BA
alambre	ʔ AL ɐ BA l AD a AM m AE b AG ɾ BE ɛ AM
alcaide	ʔ AL ɐ BA l AD k AC a AM ɪ̯ AB d AI ɛ AM
aldover	ʔ AL ɐ BA l AD d AI o BA b AG ɛ AM ɾ BE
alegre	ʔ AL ɐ BA l AD ɛ AM ɡ AC ɾ BE ɛ AM
alila	ʔ AL ɐ BA l AD i AM l AD ɐ BA ʔ AL
alimasag	ʔ AL ɐ BA l AD ɪ AM m AE a AM s AH ɐ BA ɡ AC
alipin	ʔ AL ɐ BA l AD ɪ AM p AG ɪ AM n AF
alis	ʔ AL a AM l AD ɪ AM s AH
alkansya	a AM l AD k AC a AM n AF ɕ BC a AM
almaden	ʔ AL ɐ BA l AD m AE ɐ BA d AI ɛ AM n AF
almarez	ʔ AL ɐ BA l AD m AE ɐ BA ɾ BE ɛ AM s AH
almario	ʔ AL ɐ BA l AD m AE ɐ BA ɾ BE ɪ AM o BA
almendrala	ʔ AL ɐ BA l AD m AE ɛ AM n AF d AI ɾ BE ɐ BA l AD ɐ BA
almirol	ʔ AL ɐ BA l AD m AE ɪ AM ɾ BE o BA l AD
alonte	ʔ AL ɐ BA l AD o BA n AF t AI ɛ AM
alonto	ʔ AL ɐ BA l AD o BA n AF t AI o BA
alperes	ʔ AL ɐ BA l AD p AG ɛ AM ɾ BE ɛ AM s AH
altapresyon	ʔ AL ɐ BA l AD t AI ɐ BA p AG ɾ BE ɛ AM ʃ AH o BA n AF
alviar	ʔ AL ɐ BA l AD b AG j AB ɐ BA ɾ BE
amante	ʔ AL ɐ BA m AE ɐ BA n AF t AI ɛ AM
ambag	ʔ AL ɐ BA m AE b AG a AM ɡ AC
amerikana	ʔ AL ɐ BA m AE ɛ AM ɾ BE ɪ AM x BC a AM n AF ɐ BA
amin	ʔ AL a AM m AE ɪ AM n AF
aminado	ʔ AL ɐ BA m AE ɪ AM n AF ɐ BA d AI o BA
amon	ʔ AL ɐ BA m AE o BA n AF
amoranto	ʔ AL ɐ BA m AE o BA ɾ BE ɐ BA n AF t AI o BA
ampaw	ʔ AL ɐ BA m AE p AG a AM ʊ̯ AJ
amurao	ʔ AL ɐ BA m AE ʊ BA ɾ BE a AM ʊ̯ AJ
analisis	ʔ AL ɐ BA n AF ɐ BA l AD i AM s AH ɪ AM s AH
anatomiya	ʔ AL ɐ BA n AF ɐ BA t AI o BA m AE i AM ɐ BA
anay	ʔ AL a AM n AF a AM ɪ̯ AB
anayin	ʔ AL ɐ BA n AF ɐ BA j AB ɪ AM n AF
andal	ʔ AL ɐ BA n AF d AI ɐ BA l AD
anggo	ʔ AL ɐ BA ŋ AK ɡ AC o BA
anghel	ʔ AL ɐ BA ŋ AK h AA ɛ AM l AD
angkla	ʔ AL ɐ BA ŋ AK k AC l AD ɐ BA
ango	ʔ AL ɐ BA ŋ AK o BA
angot	ʔ AL ɐ BA ŋ AK o BA t AI
anim	ʔ AL a AM n AF ɪ AM m AE
anis	ʔ AL ɐ BA n AF i AM s AH
antipona	ʔ AL ɐ BA n AF t AI i AM p AG o BA n AF ɐ BA
antok	ʔ AL ɐ BA n AF t AI o BA k AC
antukin	ʔ AL ɐ BA n AF t AI ʊ BA x BC ɪ AM n AF
anyayahan	ʔ AL ɐ BA ɲ AK ɐ BA j AB ɐ BA h AA ɐ BA n AF
apela	ʔ AL ɐ BA p AG ɛ AM l AD a AM
apilado	ʔ AL ɐ BA p AG ɪ AM l AD ɐ BA d AI o BA
apostasiya	ʔ AL ɐ BA p AG o BA s AH t AI ɐ BA s AH ɪ AM ɐ BA
aranda	ʔ AL ɐ BA ɾ BE ɐ BA n AF d AI ɐ BA
aray	ʔ AL ɐ BA ɾ BE a AM ɪ̯ AB
arañas	ʔ AL ɐ BA ɾ BE ɐ BA ɲ AK ɐ BA s AH
arce	ʔ AL ɐ BA ɾ BE s AH ɛ AM
arcega	ʔ AL ɐ BA ɾ BE s AH ɛ AM ɰ AB ɐ BA
arceo	ʔ AL ɐ BA ɾ BE s AH ɛ AM o BA
arcilla	ʔ AL ɐ BA ɾ BE s AH ɪ AM l AD l AD ɐ BA
arcillas	ʔ AL ɐ BA ɾ BE s AH ɪ AM l AD l AD ɐ BA s AH
arcinas	ʔ AL ɐ BA ɾ BE s AH ɪ AM n AF ɐ BA s AH
arenas	ʔ AL ɐ BA ɾ BE ɛ AM n AF ɐ BA s AH
arevalo	ʔ AL ɐ BA ɾ BE ɛ AM b AG ɐ BA l AD o BA
argente	ʔ AL ɐ BA ɾ BE ɡ AC ɛ AM n AF t AI ɛ AM
arkila	ʔ AL ɐ BA ɾ BE k AC ɪ AM l AD a AM
