'y	ɪ AD
aba	ʔ ɐ AF b a AD ʔ
abalos	ʔ ɐ AF b ɐ AF l o AF s
abandonado	ʔ ɐ AF b ɐ AF n d o AF n ɐ AF d o AF
abaniko	ʔ ɐ AF b ɐ AF n ɪ AD x o AF
abejuela	ʔ ɐ AF b ɛ AD d ʒ ʊ AF ɛ AD l ɐ AF
abelgas	ʔ ɐ AF b ɛ AD l ɡ ɐ AF s
abellera	ʔ ɐ AF b ɛ AD l l ɛ AD ɾ ɐ AF
abing	ʔ ɐ AF b ɪ AD ŋ
abisuhan	ʔ ɐ AF b ɪ AD s ʊ AF h AA ɐ AF n
abo	ʔ ɐ AF b o AF
abrazado	ʔ ɐ AF b ɾ ɐ AF s ɐ AF d o AF
abrenica	ʔ ɐ AF b ɾ ɛ AD n ɪ AD x ɐ AF
abueg	ʔ ɐ AF b w AC ɛ AD ɡ
abulencia	ʔ ɐ AF b ʊ AF l ɛ AD n ʃ ɐ AF
abusado	ʔ ɐ AF b ʊ AF s ɐ AF d o AF
abyad	ʔ ɐ AF b j AB ɐ AF d
abyador	ʔ ɐ AF b j AB ɐ AF d o AF ɾ
acierto	ʔ ɐ AF ʃ ɛ AD ɾ t o AF
acorda	ʔ ɐ AF x o AF ɾ d ɐ AF
acuzar	ʔ ɐ AF x ʊ AF s ɐ AF ɾ
adajar	ʔ ɐ AF d ɐ AF d ʒ ɐ AF ɾ
adik	ʔ a AD d ɪ AD k
adlawan	ʔ ɐ AF d l ɐ AF w AC ɐ AF n
adres	ʔ ɐ AF d ɾ ɛ AD s
adrias	ʔ ɐ AF d ɾ ɪ AD ɐ AF s
agapay	ʔ ɐ AF ɰ AB ɐ AF p a AD ɪ̯ AG
agila	ʔ a AD ɰ AB ɪ AD l ɐ AF
agiw	ʔ a AD ɰ AB ɪ AD ʊ̯ AH
agrabyado	ʔ ɐ AF ɡ ɾ ɐ AF b j AB a AD d o AF
aguas	ʔ ɐ AF ɰ AB ʊ AF ɐ AF s
aguda	ʔ ɐ AF ɰ AB ʊ AF d ɐ AF
aguilera	ʔ ɐ AF ɰ AB ɪ AD l ɛ AD ɾ ɐ AF
aguirre	ʔ ɐ AF ɰ AB ɪ AD ɾ ɛ AD
agustin	ʔ ɐ AF ɰ AB ʊ AF s t ɪ AD n
agwat	ʔ ɐ AF ɡ w AC ɐ AF t
aksayado	ʔ ɐ AF k s ɐ AF j AB a AD d o AF
alambre	ʔ ɐ AF l a AD m b ɾ ɛ AD
alcaide	ʔ ɐ AF l k a AD ɪ̯ AG d ɛ AD
aldover	ʔ ɐ AF l d o AF b ɛ AD ɾ
alegre	ʔ ɐ AF l ɛ AD ɡ ɾ ɛ AD
alila	ʔ ɐ AF l i AD l ɐ AF ʔ
alimasag	ʔ ɐ AF l ɪ AD m a AD s ɐ AF ɡ
alipin	ʔ ɐ AF l ɪ AD p ɪ AD n
alis	ʔ a AD l ɪ AD s
alkansya	a AD l k a AD n ɕ a AD
almaden	ʔ ɐ AF l m ɐ AF d ɛ AD n
almarez	ʔ ɐ AF l m ɐ AF ɾ ɛ AD s
almario	ʔ ɐ AF l m ɐ AF ɾ ɪ AD o AF
almendrala	ʔ ɐ AF l m ɛ AD n d ɾ ɐ AF l ɐ AF
almirol	ʔ ɐ AF l m ɪ AD ɾ o AF l
alonte	ʔ ɐ AF l o AF n t ɛ AD
alonto	ʔ ɐ AF l o AF n t o AF
alperes	ʔ ɐ AF l p ɛ AD ɾ ɛ AD s
altapresyon	ʔ ɐ AF l t ɐ AF p ɾ ɛ AD ʃ o AF n
alviar	ʔ ɐ AF l b j AB ɐ AF ɾ
amante	ʔ ɐ AF m ɐ AF n t ɛ AD
ambag	ʔ ɐ AF m b a AD ɡ
amerikana	ʔ ɐ AF m ɛ AD ɾ ɪ AD x a AD n ɐ AF
amin	ʔ a AD m ɪ AD n
aminado	ʔ ɐ AF m ɪ AD n ɐ AF d o AF
amon	ʔ ɐ AF m o AF n
amoranto	ʔ ɐ AF m o AF ɾ ɐ AF n t o AF
ampaw	ʔ ɐ AF m p a AD ʊ̯ AH
amurao	ʔ ɐ AF m ʊ AF ɾ a AD ʊ̯ AH
analisis	ʔ ɐ AF n ɐ AF l i AD s ɪ AD s
anatomiya	ʔ ɐ AF n ɐ AF t o AF m i AD ɐ AF
anay	ʔ a AD n a AD ɪ̯ AG
anayin	ʔ ɐ AF n ɐ AF j AB ɪ AD n
andal	ʔ ɐ AF n d ɐ AF l
anggo	ʔ ɐ AF ŋ ɡ o AF
anghel	ʔ ɐ AF ŋ h AA ɛ AD l
angkla	ʔ ɐ AF ŋ k l ɐ AF
ango	ʔ ɐ AF ŋ o AF
angot	ʔ ɐ AF ŋ o AF t
anim	ʔ a AD n ɪ AD m
anis	ʔ ɐ AF n i AD s
antipona	ʔ ɐ AF n t i AD p o AF n ɐ AF
antok	ʔ ɐ AF n t o AF k
antukin	ʔ ɐ AF n t ʊ AF x ɪ AD n
anyayahan	ʔ ɐ AF ɲ ɐ AF j AB ɐ AF h AA ɐ AF n
apela	ʔ ɐ AF p ɛ AD l a AD
apilado	ʔ ɐ AF p ɪ AD l ɐ AF d o AF
apostasiya	ʔ ɐ AF p o AF s t ɐ AF s ɪ AD ɐ AF
aranda	ʔ ɐ AF ɾ ɐ AF n d ɐ AF
aray	ʔ ɐ AF ɾ a AD ɪ̯ AG
arañas	ʔ ɐ AF ɾ ɐ AF ɲ ɐ AF s
