aba	ɑː AE b ɑː AE
abacı	a AD b a AD d ʒ ɯ AD
abacılar	a AD b a AD d ʒ ɯ AD l a AD ɾ
abacılık	a AD b a AD d ʒ ɯ AD ɫ ɯ AD k
abajur	a AD b a AD ʒ u AF ɾ
abajurcu	a AD b a AD ʒ u AF ɾ d ʒ u AF
abajurcular	a AD b a AD ʒ u AF ɾ d ʒ u AF l a AD ɾ
abajurculuk	a AD b a AD ʒ u AF ɾ d ʒ u AF ɫ u AF k
abaküs	ɑ AD b ɑ AD c y AF s
abalı	a AD b a AD ɫ ɯ AD
abanoz	ɑ AD b ɑ AD n o AF ʐ
abartı	a AD b a AD r t ɯ AD
abartılı	a AD b a AD ɾ t ɯ AD l ɯ AD
abece	ɑː AE b eː AE d ʒ eː AE
abide	aː AE b i AD d e AD
acaba	a AD d ʒ a AD b aː AE
ad	ɑ AD t̪
adal	a AD d a AD ɫ
adalar	a AD d a AD l a AD ɾ
adam	ɑ AD d ɑ AD m
adamı	a AD d a AD m ɯ AD
aday	ɑ AD d ɑ AD j AB
adaylar	a AD d a AD j AB l a AD ɾ
adayı	a AD d a AD j AB ɯ AD
adi	aː AE d iː AE
adı	a AD d̪ ɯ AD
adım	ɑ AD d ɯ AD m
ahbap	ɑ AD h AA b ɑ AD p
ahlat	a AD h AA ɫ a AD t
ahtapotlar	ɑ AD h AA t ɑ AD p o AF t l a AD ɾ
ahududu	aː AE h AA u AF d u AF d u AF
ahududular	aː AE h AA u AF d u AF d u AF l a AD ɾ
aile	ɑ AD i AD l e AD
ajanda	ɑ AD ʒ ɑ AD n d ɑ AD
ak	ɑ AD k
akciğer	a AD k d ʒ iː AE e AD ɾ
akrabalar	a AD k ɾ a AD b aː AE l a AD ɾ
akrabayla	a AD k ɾ a AD b aː AE j AB l a AD
akrabayı	a AD k ɾ a AD b aː AE j AB ɯ AD
aksamak	ɑ AD k s ɑ AD m ɑ AD k
aksan	a AD k s a AD n
aksanlar	a AD k s a AD n l a AD ɾ
aktris	ɑ AD k t ɾ i AD s
aktör	ɑ AD k t œ AF ɾ
akvaryum	ɑ AD k v ɑ AD ɾ j AB u AF m
akıl	ɑ AD k ɯ AD ɫ
akın	a AD k ɯ AD n
akışkan	a AD k ɯ AD ʃ k a AD n
akışkanlar	a AD k ɯ AD ʃ k a AD n l a AD ɾ
akşamlar	a AD k ʃ a AD m l a AD ɾ
ala	ɑ AD ɫ ɑ AD
alabalık	ɑ AD ɫ ɑ AD b ɑ AD ɫ ɯ AD k
alacakaranlık	ɑ AD ɫ ɑ AD d ʒ ɑ AD k ɑ AD ɾ ɑ AD n ɫ ɯ AD k
alan	ɑ AD ɫ ɑ AD n
alaşım	ɑ AD ɫ ɑ AD ʃ ɯ AD m
albatros	a AD ɫ b a AD t r o AF s
albüm	ɑ AD l b y AF m
alet	ɑː AE l e AD t
