abiye	a AC b i AC j AB e AC
abla	a AC b ɫ a AC
acaba	ɑ AH d ʒ ɑ AH b ɑː AJ
acemi	a AC d ʒ e AC m iː AD
acı	ɑ AH d ʒ ɯ AH
acıkmak	ɑ AH d ʒ ɯ AH k m ɑ AH k
ada	a AC d a AC
adenozin	a AC d e AC n o AE z i AC n
afiyet	aː AD f i AC j AB e AC t
afyonkarahisar	ɑ AH f j AB o AE n k ɑ AH r ɑ AH h AA ɪ AC s ɑ AH r
ahize	aː AD h AA i AC z e AC
ahizeler	aː AD h AA i AC z e AC ɫ e AC ɾ
ahizem	aː AD h AA i AC z e AC m
ahizen	aː AD h AA i AC z e AC n
ahizenin	aː AD h AA i AC z e AC n i AC n
ahizesi	aː AD h AA i AC z e AC s i AC
ahizeyi	aː AD h AA i AC z e AC j AB i AC
ahmak	ɑ AH h AA m ɑ AH k
akbaba	ɑ AH k b ɑ AH b ɑ AH
akbil	ɑ AH k b i AC l
akrep	ɑ AH k ɾ ɛ AC p
akrobat	ɑ AH k ɾ o AE b ɑ AH t
akşam	ɑ AH k ʃ ɑ AH m
alamet	ɑ AH l aː AD m ɛ AC t
alem	a AC l ɛ AC m
alemi	a AC l ɛ AC m i AC
alemler	a AC l ɛ AC m l ɛ AC ɾ
algoloji	a AC l ɡ ɔ AE l ɔ AE ʒ i AC
allık	ɑ AH ɫ ɫ ɯ AH k
alman	ɑ AH ɫ m ɑ AH n
almanca	ɑ AH ɫ m ɑ AH n d ʒ ɑ AH
almancı	ɑ AH ɫ m ɑ AH n d ʒ ɯ AH
almanya	ɑ AH ɫ m ɑ AH n j AB ɑ AH
alt	a AC ɫ t
altmış	ɑ AH ɫ t m ɯ AH ʃ
altıgen	a AC l t ɯ AH ɟ e AC n
alıç	ɑ AH ɫ ɯ AH t ʃ
amaç	ɑ AH m ɑ AH t ʃ
ambulans	ɑ AH m b u AE l a AC n s
anahtarlık	a AC n a AC h AA t a AC ɾ ɫ ɯ AH k
anarat	ɑ AH n ɑ AH ɾ ɑ AH t
anarşi	a AC n a AC ɾ ʃ i AC
ancak	ɑ AH n d ʒ ɑ AH k
andaval	ɑ AH n d ɑ AH β ɑ AH ɫ
andavallı	ɑ AH n d ɑ AH β ɑ AH ɫ ɫ ɯ AH
animasyon	a AC n i AC m a AC s j AB o AE n
anjiyografi	a AC n ʒ i AC j AB o AE ɟ ɾ a AC f i AC
ankara	ɑ AH n k ɑ AH ɾ ɑ AH
ankaralı	ɑ AH n k ɑ AH ɾ ɑ AH ɫ ɯ AH
anlamak	a AC n ɫ a AC m a AC k
anlatmak	ɑ AH n ɫ ɑ AH t m ɑ AH k
anne	ɑ AH n n e AC
annelik	ɑ AH n n ɛ AC l i AC c
antakya	ɑ AH n t ɑ AH k j AB ɑ AH
antibiyotik	ɑ AH n t i AC b i AC j AB ɔ AE t i AC c
apeninler	a AC p e AC n i AC n ɫ e AC ɾ
argo	a AC ɾ ɟ o AE
arjantinli	ɑ AH ɾ ʒ ɑ AH n t i AC n l i AC
arkadaşa	a AC ɾ k a AC d a AC ʃ a AC
arkadaşlar	a AC ɾ k a AC d a AC ʃ l a AC ɾ
arkadaşlara	a AC ɾ k a AC d a AC ʃ l a AC ɾ a AC
arkadaşlarda	a AC ɾ k a AC d a AC ʃ l a AC ɾ d a AC
arkadaşlardan	a AC ɾ k a AC d a AC ʃ l a AC ɾ d a AC n
arkadaşların	a AC ɾ k a AC d a AC ʃ l a AC ɾ d a AC n
arkadaşlık	a AC ɾ k a AC d a AC ʃ ɫ ɯ AH k
arkadaşta	a AC ɾ k a AC d a AC ʃ t a AC
arkadaştan	a AC ɾ k a AC d a AC ʃ t a AC n
arkadaşı	a AC ɾ k a AC d a AC ʃ ɯ AH
arkadaşın	a AC ɾ k a AC d a AC ʃ ɯ AH n
artı	a AC ɾ t ɯ AH
artık	ɑ AH ɾ t ɯ AH k
arz	a AC ɾ z
aseksüel	ɑ AH s ɛ AC c s y AG e AC l
aseton	ɑ AH s ɛ AC t ɔ AE n
asimptot	ɑ AH s i AC m p t ɔ AE t
asyalı	ɑ AH s j AB ɑ AH ɫ ɯ AH
ataşe	ɑ AH t ɑ AH ʃ ɛ AC
atina	ɑ AH t i AC n ɑ AH
atlı	ɑ AH t ɫ ɯ AH
atom	ɑ AH t ɔ AE m
avanak	ɑ AH β ɑ AH n ɑ AH k
avize	ɑ AH v i AC z e AC
avizeler	aː AD v i AC z e AC ɫ e AC ɾ
avizem	aː AD v i AC z e AC m
avizen	aː AD v i AC z e AC n
avizenin	aː AD v i AC z e AC n i AC n
avizesi	aː AD v i AC z e AC s i AC
avizeyi	aː AD v i AC z e AC j AB i AC
avokado	ɑ AH β o AE k ɑː AJ d o AE
avrasya	ɑ AH β ɾ ɑ AH s j AB ɑ AH
ayak	ɑ AH j AB ɑ AH k
ayakkabıcı	ɑ AH j AB ɑ AH k k ɑ AH b ɯ AH d ʒ ɯ AH
ayaz	a AC j AB a AC z
ayazlı	a AC j AB a AC z ɫ ɯ AH
ayazsız	a AC j AB a AC z s ɯ AH z
aydınlık	a AC j AB d ɯ AH n ɫ ɯ AH k
ayin	ɑː AJ j AB i AC n
aynı	ɑ AH j AB n ɯ AH
ayva	a AC j AB v a AC
ayça	ɑ AH j AB t ʃ ɑ AH
ayı	ɑ AH j AB ɯ AH
ayşe	ɑ AH j AB ʃ ɛ AC
az	ɑ AH z
azap	ɑ AH z ɑː AJ b
azrail	ɑ AH z ɾ ɑː AJ i AC l
azınlık	a AC z ɯ AH n ɫ ɯ AH k
aç	ɑ AH t ʃ
açlık	a AC t ʃ ɫ ɯ AH k
ağa	ɑ AH ɑ AH
ağdacı	ɑː AJ d ɑ AH d ʒ ɯ AH
ağlaşmak	aː AD ɫ a AC ʃ m a AC k
ağıt	ɑ AH ɰ AI ɯ AH t
ağız	a AC ɯ AH z
aşiret	a AC ʃ iː AD ɾ e AC t
aşçı	a AC ʃ t ʃ ɯ AH
aşık	ɑ AH ʃ ɯ AH k
babaları	b a AC b a AC l a AC ɾ ɯ AH
babalı	b a AC b a AC ɫ ɯ AH
babalık	b a AC b a AC ɫ ɯ AH k
babasız	b a AC b a AC s ɯ AH z
bahadır	b ɑ AH h AA ɑ AH d ɯ AH r
baharat	b a AC h AA a AC r a AC t
bahçe	b ɑ AH h AA t ʃ ɛ AC
bahçıvan	b ɑ AH h AA t ʃ ɯ AH v ɑ AH n
bakıcı	b ɑ AH k ɯ AH d ʒ ɯ AH
bakır	b a AC k ɯ AH ɾ
balalayka	b ɑ AH ɫ ɑ AH ɫ ɑ AH j AB k ɑ AH
baldız	b ɑ AH ɫ d ɯ AH z
