a_còng	ʔ AL aː AN k AC a AM w AJ ŋ AK m AE
a_di_đà_phật	ʔ AL aː AN z AH i AM ʔ AL ɗ BC aː AN f AG ə AM t̚ ʔ AL
a_dua	ʔ AL aː AN z AH u BA ə AM
a_hoàn	ʔ AL aː AN h AA w AJ aː AN n AF
a_lịch_sơn	ʔ AL aː AN l AD ï k̟̚ ʔ AL s AH əː AN n AF
a_lịch_sơn_đắc_lộ	ʔ AL aː AN l AD ï k̟̚ ʔ AL s AH əː AN n AF ʔ AL ɗ BC a AM k̚ l AD o BA ʔ AL
a_móc	ʔ AL aː AN m AE a AM w AJ k AC p̚
a_phiến	ʔ AL aː AN f AG i AM ə AM n AF
a_phú_hãn	ʔ AL aː AN f AG u BA h AA aː AN nˀ BE
a_tu_la	ʔ AL aː AN t AH u BA l AD aː AN
ace	ʔ AL a AM j AB ŋ̟ AK t AH ɕ AH i AM ʔ AL ʔ AL ɛ AM m AE
actini	ʔ AL aː AN k̚ t AH i AM n AF i AM
adn	ʔ AL aː AN ʔ AL ɗ BC e AM ʔ AL ɛ AM n AF
agon	ʔ AL aː AN ɣ AC ə AM w AJ ŋ AK m AE
ai	ʔ AL aː AN j AB
ai_ai	ʔ AL aː AN j AB ʔ AL aː AN j AB
ai_cập	ʔ AL aː AN j AB k AC ə AM p̚ ʔ AL
ai_dè	ʔ AL aː AN j AB z AH ɛ AM
ai_lao	ʔ AL aː AN j AB l AD aː AN w AJ
ai_nấy	ʔ AL aː AN j AB n AF ə AM j AB
alexanđê	ʔ AL aː AN l AD ɛ AM k̚ s AH aː AN n AF ʔ AL ɗ BC e AM
am	ʔ AL aː AN m AE
am_hiểu	ʔ AL aː AN m AE h AA i AM ə AM w AJ
am_tường	ʔ AL aː AN m AE t AH ɨ AM ə AM ŋ AK
ambrôsiô	ʔ AL aː AN m AE ʔ AL ɓ BB ɹ BG o BA s AH i AM ʔ AL o BA
amerixi	ʔ AL aː AN m AE e AM ɹ BG i AM s AH i AM
amoni	ʔ AL aː AN m AE o BA n AF i AM
an	ʔ AL aː AN n AF
an_bài	ʔ AL aː AN n AF ʔ AL ɓ BB aː AN j AB
an_giang	ʔ AL aː AN n AF z AH aː AN ŋ AK
an_huy	ʔ AL aː AN n AF h AA w AJ i AM
an_khang_thịnh_vượng	ʔ AL aː AN n AF x AC aː AN ŋ AK tʰ AI ï ŋ AK ʔ AL v AG ɨ AM ə AM ŋ AK ʔ AL
an_lành	ʔ AL aː AN n AF l AD a AM j AB ŋ̟ AK
an_lê_mân	ʔ AL aː AN n AF l AD e AM m AE ə AM n AF
an_lạc	ʔ AL aː AN n AF l AD aː AN k̚ ʔ AL
an_nam	ʔ AL aː AN n AF n AF aː AN m AE
an_nhiên	ʔ AL aː AN n AF ɲ AF i AM ə AM n AF
an_nhàn	ʔ AL aː AN n AF ɲ AF aː AN n AF
an_ninh	ʔ AL aː AN n AF n AF ï ŋ AK
an_phong	ʔ AL aː AN n AF f AG a AM w AJ ŋ AK m AE
an_phận	ʔ AL aː AN n AF f AG ə AM n AF ʔ AL
an_sinh	ʔ AL aː AN n AF s AH ï ŋ AK
an_toàn	ʔ AL aː AN n AF t AH w AJ aː AN n AF
an_toàn_là_trên_hết	ʔ AL aː AN n AF t AH w AJ aː AN n AF l AD aː AN t AH ɕ AH e AM n AF h AA e AM t̚
an_toàn_đệ_nhất	ʔ AL aː AN n AF t AH w AJ aː AN n AF ʔ AL ɗ BC e AM ʔ AL ɲ AF ə AM t̚
an_toạ	ʔ AL aː AN n AF t AH w AJ aː AN ʔ AL
