Iso 639-3,Coverage,WER,CER,Type ref,Type list,Num words list
cmn,87.5,2.3,0.84,,broad,133\,686
deu,75.0,0.77,0.52,broad,broad,34\,145
deu,22.22,0.98,0.82,narrow,narrow,10\,984
deu,75.0,0.85,0.52,narrow,broad,34\,145
deu,22.22,0.98,0.83,broad,narrow,10\,984
ell,6.14,1.0,0.9,,narrow,408
ell,22.81,0.94,0.85,,broad,10\,547
eng,92.04,0.92,0.38,broad,broad,57\,230
eng,7.08,1.01,0.83,narrow,narrow,1\,633
eng,7.08,1.0,0.83,broad,narrow,1\,633
eng,92.04,0.92,0.36,narrow,broad,57\,230
eus,5.75,0.97,0.85,broad,broad,1\,742
eus,0.0,1.0,0.92,narrow,narrow,186
eus,0.0,1.0,0.89,broad,narrow,186
eus,5.75,0.98,0.89,narrow,broad,1\,742
heb,0.0,1.28,0.92,,broad,1\,439
heb,0.0,1.28,0.92,,narrow,146
ind,22.22,0.97,0.8,,broad,1\,555
ind,1.85,1.0,0.91,,narrow,2\,637
kat,43.66,0.86,0.66,broad,broad,15\,123
mya,7.14,0.98,0.93,broad,broad,4\,631
spa,64.95,0.51,0.41,broad,broad,60\,677
spa,35.05,0.99,0.69,narrow,narrow,52\,190
spa,35.05,1.0,0.62,broad,narrow,52\,190
spa,64.95,0.84,0.56,narrow,broad,60\,677
tha,20.0,1.0,0.98,,broad,15\,050
tur,18.46,1.0,0.91,,broad,1\,789
tur,6.15,1.0,0.96,,narrow,1\,812
hin,31.78,1.03,0.69,,narrow,9\,563
hin,57.36,0.93,0.52,,broad,10\,812
kor,18.64,1.0,0.96,,narrow,14\,141
pes,50.0,1.09,0.75,,broad,6\,128
pes,18.0,1.1,0.91,,narrow,1\,922
